phrases,tagged_phrases,dummy_labels,POS_TAGS_OF_PHRASE
bolts ok,bolts nns ok vbp,1,<NNS><VBP>
bolts present,bolts nns present jj,1,<NNS><JJ>
bolts reinstall,bolts nns reinstall vbp,1,<NNS><VBP>
bolts reinstalled,bolts nns reinstalled vbd,1,<NNS><VBD>
bolts remote,bolts nns remote vbp,1,<NNS><VBP>
bolts tight,bolts nns tight vbd,1,<NNS><VBD>
bolts tightened,bolts nns tightened vbd,1,<NNS><VBD>
bolts was,bolts nns was vbd,1,<NNS><VBD>
bolts were,bolts nns were vbd,1,<NNS><VBD>
bond checked,bond nn checked vbd,1,<NN><VBD>
bond in place,bond nn in in_pos place nn,1,<NN><IN><NN>
bond measured,bond nn measured vbd,1,<NN><VBD>
bond on motor,bond nn on in_pos motor nn,1,<NN><IN><NN>
bond was,bond nn was vbd,1,<NN><VBD>
bonding was,bonding nn was vbd,1,<NN><VBD>
bonds af,bonds nns af vbp,1,<NNS><VBP>
bonds are,bonds nns are vbp,1,<NNS><VBP>
bonds checked,bonds nns checked vbd,1,<NNS><VBD>
bonds confirmed,bonds nns confirmed vbd,1,<NNS><VBD>
bonds earth,bonds nns earth vbp,1,<NNS><VBP>
bonds ensured,bonds nns ensured vbd,1,<NNS><VBD>
bonds inspected,bonds nns inspected vbd,1,<NNS><VBD>
bonds jb,bonds nns jb vbp,1,<NNS><VBP>
bonds look,bonds nns look vbp,1,<NNS><VBP>
bonds note,bonds nns note vbp,1,<NNS><VBP>
bonds present,bonds nns present jj,1,<NNS><JJ>
bonds was,bonds nns was vbd,1,<NNS><VBD>
bonds were,bonds nns were vbd,1,<NNS><VBD>
boosted,boosted vbn,1,<VBN>
bop closed,bop nn closed vbd,1,<NN><VBD>
both heaters were,both dt heaters nns were vbd,1,<DT><NNS><VBD>
both main,both dt main jj,1,<DT><JJ>
both motors greased,both dt motors nns greased vbd,1,<DT><NNS><VBD>
both motors opened,both dt motors nns opened vbd,1,<DT><NNS><VBD>
both motors were,both dt motors nns were vbd,1,<DT><NNS><VBD>
both nondrive,both dt nondrive jj,1,<DT><JJ>
both parties confirmed,both dt parties nns confirmed vbd,1,<DT><NNS><VBD>
both standpipes was,both dt standpipes nns was vbd,1,<DT><NNS><VBD>
both were,both dt were vbd,1,<DT><VBD>
boths was,boths nns was vbd,1,<NNS><VBD>
box for dirt,box nn for in_pos dirt nn,1,<NN><IN><NN>
box for integrity,box nn for in_pos integrity nn,1,<NN><IN><NN>
box for water,box nn for in_pos water nn,1,<NN><IN><NN>
box opened,box nn opened vbd,1,<NN><VBD>
box performed,box nn performed vbd,1,<NN><VBD>
box reconnected,box nn reconnected vbd,1,<NN><VBD>
box removed,box nn removed vbd,1,<NN><VBD>
box was,box nn was vbd,1,<NN><VBD>
boxes appear,boxes nns appear vbp,1,<NNS><VBP>
boxes checked,boxes nns checked vbd,1,<NNS><VBD>
boxes etc,boxes nns etc vbp,1,<NNS><VBP>
boxes recorded,boxes nns recorded vbd,1,<NNS><VBD>
boxes were,boxes nns were vbd,1,<NNS><VBD>
bracket were,bracket nn were vbd,1,<NN><VBD>
breaker examined,breaker nn examined vbd,1,<NN><VBD>
brushed,brushed vbn,1,<VBN>
bucket for hand,bucket nn for in_pos hand nn,1,<NN><IN><NN>
bucket inspected,bucket nn inspected vbd,1,<NN><VBD>
bucket was,bucket nn was vbd,1,<NN><VBD>
buildup observed,buildup nn observed vbd,1,<NN><VBD>
buildup of dirt,buildup nn of in_pos dirt nn,1,<NN><IN><NN>
buttons are,buttons nns are vbp,1,<NNS><VBP>
by accident,by in_pos accident nn,1,<IN><NN>
by aneesh,by in_pos aneesh jj,1,<IN><JJ>
by comparrison,by in_pos comparrison nn,1,<IN><NN>
by driller,by in_pos driller nn,1,<IN><NN>
by engineer,by in_pos engineer nn,1,<IN><NN>
by maint,by in_pos maint nn,1,<IN><NN>
by maurice,by in_pos maurice nn,1,<IN><NN>
by motor,by in_pos motor nn,1,<IN><NN>
by mrgopal anf,by in_pos mrgopal jj anf nn,1,<IN><JJ><NN>
by noticeable vibration,by in_pos noticeable jj vibration nn,1,<IN><JJ><NN>
by nov refer,by in_pos nov nns refer vbp,1,<IN><NNS><VBP>
by other shift,by in_pos other jj shift nn,1,<IN><JJ><NN>
by paint,by in_pos paint nn,1,<IN><NN>
by personel,by in_pos personel nns,1,<IN><NNS>
by ratheesh,by in_pos ratheesh nn,1,<IN><NN>
by rd,by in_pos rd nn,1,<IN><NN>
by shimmer,by in_pos shimmer nn,1,<IN><NN>
by tfs,by in_pos tfs nn,1,<IN><NN>
by third party,by in_pos third jj party nn,1,<IN><JJ><NN>
by transocean policy,by in_pos transocean jj policy nn,1,<IN><JJ><NN>
by traume,by in_pos traume nn,1,<IN><NN>
by vijay,by in_pos vijay nn,1,<IN><NN>
by visual checksmoreover,by in_pos visual jj checksmoreover nn,1,<IN><JJ><NN>
c c,c nns c vbp,1,<NNS><VBP>
c cooling,c nns cooling vbg,1,<NNS><VBG>
cabinet isolated,cabinet nn isolated vbd,1,<NN><VBD>
cabinet observed,cabinet nn observed vbd,1,<NN><VBD>
cabinet swapped,cabinet nn swapped vbd,1,<NN><VBD>
cabint performed,cabint nn performed vbd,1,<NN><VBD>
cable found,cable nn found vbd,1,<NN><VBD>
cable was,cable nn was vbd,1,<NN><VBD>
cableing,cableing vbg,1,<VBG>
cables are,cables nns are vbp,1,<NNS><VBP>
cables closed,cables nns closed vbd,1,<NNS><VBD>
cables have,cables nns have vbp,1,<NNS><VBP>
cables id,cables nns id vbp,1,<NNS><VBP>
cables look,cables nns look vbp,1,<NNS><VBP>
cables read,cables nns read vbp,1,<NNS><VBP>
cables show,cables nns show vbp,1,<NNS><VBP>
cables were,cables nns were vbd,1,<NNS><VBD>
cabling,cabling vbg,1,<VBG>
cabling was,cabling nn was vbd,1,<NN><VBD>
calibrated,calibrated vbn,1,<VBN>
call from mud,call nn from in_pos mud nn,1,<NN><IN><NN>
called,called vbn,1,<VBN>
came,came vbd,1,<VBD>
can be checked,can md be vb checked vbn,1,<MD><VB><VBN>
can be cloased,can md be vb cloased vbn,1,<MD><VB><VBN>
can be closed,can md be vb closed vbn,1,<MD><VB><VBN>
can be controlled,can md be vb controlled vbn,1,<MD><VB><VBN>
can be done,can md be vb done vbn,1,<MD><VB><VBN>
can be expected,can md be vb expected vbn,1,<MD><VB><VBN>
can be found,can md be vb found vbn,1,<MD><VB><VBN>
can be noticed,can md be vb noticed vbn,1,<MD><VB><VBN>
can be put,can md be vb put vbn,1,<MD><VB><VBN>
can be seen,can md be vb seen vbn,1,<MD><VB><VBN>
can be stopped,can md be vb stopped vbn,1,<MD><VB><VBN>
can be used,can md be vb used vbn,1,<MD><VB><VBN>
cancelled,cancelled vbn,1,<VBN>
cards created,cards nns created vbd,1,<NNS><VBD>
carried,carried vbn,1,<VBN>
casing,casing vbg,1,<VBG>
caused,caused vbn,1,<VBN>
center for damage,center nn for in_pos damage nn,1,<NN><IN><NN>
center found,center nn found vbd,1,<NN><VBD>
certified,certified vbn,1,<VBN>
challenging,challenging vbg,1,<VBG>
changed,changed vbn,1,<VBN>
changing,changing vbg,1,<VBG>
characteristics are,characteristics nns are vbp,1,<NNS><VBP>
charged,charged vbn,1,<VBN>
charging,charging vbg,1,<VBG>
charles f,charles nns f vbp,1,<NNS><VBP>
chart attached,chart nn attached vbd,1,<NN><VBD>
charts are,charts nns are vbp,1,<NNS><VBP>
chattering,chattering vbg,1,<VBG>
check listed,check nn listed vbd,1,<NN><VBD>
checking,checking vbg,1,<VBG>
checking for damage,checking vbg for in_pos damage nn,1,<VBG><IN><NN>
checks aqll,checks nns aqll vbp,1,<NNS><VBP>
checks completed,checks nns completed vbd,1,<NNS><VBD>
checks good,checks nns good jj,1,<NNS><JJ>
checks need,checks nns need vbp,1,<NNS><VBP>
checks note,checks nns note vbp,1,<NNS><VBP>
checks observed,checks nns observed vbd,1,<NNS><VBD>
checks ok,checks nns ok vbp,1,<NNS><VBP>
checks were,checks nns were vbd,1,<NNS><VBD>
circuit for motor,circuit nn for in_pos motor nn,1,<NN><IN><NN>
circuit on motor,circuit nn on in_pos motor nn,1,<NN><IN><NN>
circuit on mudpump,circuit nn on in_pos mudpump nn,1,<NN><IN><NN>
circuit was,circuit nn was vbd,1,<NN><VBD>
circulating,circulating vbg,1,<VBG>
cleaned,cleaned vbn,1,<VBN>
cleanning,cleanning vbg,1,<VBG>
clear,clear jj,1,<JJ>
cleared,cleared vbn,1,<VBN>
clockwise deisolated,clockwise nn deisolated vbd,1,<NN><VBD>
close,close rb,1,<RB>
close visual,close rb visual jj,1,<RB><JJ>
closed,closed vbd,1,<VBD>
coat of primer,coat nn of in_pos primer nn,1,<NN><IN><NN>
coating,coating vbg,1,<VBG>
coded,coded vbn,1,<VBN>
collected,collected vbn,1,<VBN>
colling,colling vbg,1,<VBG>
come,come vb,1,<VB>
comes out,comes vbz out rp,1,<VBZ><RP>
coming,coming vbg,1,<VBG>
comming,comming vbg,1,<VBG>
commissioning,commissioning vbg,1,<VBG>
common,common jj,1,<JJ>
communication confirmed,communication nn confirmed vbd,1,<NN><VBD>
company was,company nn was vbd,1,<NN><VBD>
company were,company nn were vbd,1,<NN><VBD>
compared,compared vbn,1,<VBN>
comperable,comperable jj,1,<JJ>
complete,complete jj,1,<JJ>
completed,completed vbn,1,<VBN>
completely dead,completely rb dead jj,1,<RB><JJ>
completion in gom,completion nn in in_pos gom nn,1,<NN><IN><NN>
completions work,completions nns work vbp,1,<NNS><VBP>
components appear,components nns appear vbp,1,<NNS><VBP>
components are,components nns are vbp,1,<NNS><VBP>
components performed,components nns performed vbd,1,<NNS><VBD>
components show,components nns show vbp,1,<NNS><VBP>
components were,components nns were vbd,1,<NNS><VBD>
compressed,compressed vbn,1,<VBN>
compromised,compromised vbn,1,<VBN>
conations are,conations nns are vbp,1,<NNS><VBP>
condensation found,condensation nn found vbd,1,<NN><VBD>
condition made,condition nn made vbd,1,<NN><VBD>
condition of blower,condition nn of in_pos blower nn,1,<NN><IN><NN>
condition of demister,condition nn of in_pos demister nn,1,<NN><IN><NN>
condition of equipment,condition nn of in_pos equipment nn,1,<NN><IN><NN>
condition of motor,condition nn of in_pos motor nn,1,<NN><IN><NN>
condition was,condition nn was vbd,1,<NN><VBD>
conditions are,conditions nns are vbp,1,<NNS><VBP>
conditions checked,conditions nns checked vbd,1,<NNS><VBD>
conditions confirmed,conditions nns confirmed vbd,1,<NNS><VBD>
conditions did,conditions nns did vbd,1,<NNS><VBD>
conditions dont,conditions nns dont vbp,1,<NNS><VBP>
conditions dont,conditions nns dont vbp,1,<NNS><VBP>
conditions earth,conditions nns earth vbp,1,<NNS><VBP>
conditions ensured,conditions nns ensured vbd,1,<NNS><VBD>
conditions examine,conditions nns examine vbp,1,<NNS><VBP>
conditions examined,conditions nns examined vbd,1,<NNS><VBD>
conditions found,conditions nns found vbd,1,<NNS><VBD>
conditions gland,conditions nns gland vbp,1,<NNS><VBP>
conditions inspected,conditions nns inspected vbd,1,<NNS><VBD>
conditions mechanical,conditions nns mechanical jj,1,<NNS><JJ>
conditions n,conditions nns n vbp,1,<NNS><VBP>
conditions note,conditions nns note vbp,1,<NNS><VBP>
conditions ok,conditions nns ok vbp,1,<NNS><VBP>
conditions recorded,conditions nns recorded vbd,1,<NNS><VBD>
conditions sent,conditions nns sent vbd,1,<NNS><VBD>
conditions take,conditions nns take vbp,1,<NNS><VBP>
conditions took,conditions nns took vbd,1,<NNS><VBD>
conditions was,conditions nns was vbd,1,<NNS><VBD>
conditionsok have,conditionsok nns have vbp,1,<NNS><VBP>
conditons were,conditons nns were vbd,1,<NNS><VBD>
conducted,conducted vbn,1,<VBN>
conductor was,conductor nn was vbd,1,<NN><VBD>
cone undamaged,cone nn undamaged vbd,1,<NN><VBD>
confimed,confimed vbn,1,<VBN>
confirmed,confirmed vbn,1,<VBN>
confirmed that fault,confirmed vbn that in_pos fault nn,1,<VBN><IN><NN>
confusion during pms,confusion nn during in_pos pms nn,1,<NN><IN><NN>
conirmed,conirmed vbn,1,<VBN>
connected,connected vbn,1,<VBN>
connectedfunction tested,connectedfunction nn tested vbd,1,<NN><VBD>
connection checked,connection nn checked vbd,1,<NN><VBD>
connection on bus,connection nn on in_pos bus nn,1,<NN><IN><NN>
connection was,connection nn was vbd,1,<NN><VBD>
connection were,connection nn were vbd,1,<NN><VBD>
connections are,connections nns are vbp,1,<NNS><VBP>
connections complete,connections nns complete vbp,1,<NNS><VBP>
connections didnt,connections nns didnt vbp,1,<NNS><VBP>
connections found,connections nns found vbd,1,<NNS><VBD>
connections good,connections nns good jj,1,<NNS><JJ>
connections have,connections nns have vbp,1,<NNS><VBP>
connections inspected,connections nns inspected vbd,1,<NNS><VBD>
connections megged,connections nns megged vbd,1,<NNS><VBD>
connections sealed,connections nns sealed vbd,1,<NNS><VBD>
connections tightened,connections nns tightened vbd,1,<NNS><VBD>
connections torqued,connections nns torqued vbd,1,<NNS><VBD>
connections was,connections nns was vbd,1,<NNS><VBD>
connections were,connections nns were vbd,1,<NNS><VBD>
consumables are,consumables nns are vbp,1,<NNS><VBP>
consumables changed,consumables nns changed vbd,1,<NNS><VBD>
contacting,contacting vbg,1,<VBG>
contactors are,contactors nns are vbp,1,<NNS><VBP>
contactors mcc,contactors nns mcc vbp,1,<NNS><VBP>
contacts are,contacts nns are vbp,1,<NNS><VBP>
contains reduced,contains nns reduced vbd,1,<NNS><VBD>
continued,continued jj,1,<JJ>
continuing,continuing vbg,1,<VBG>
continuity on contact,continuity nn on in_pos contact nn,1,<NN><IN><NN>
controllers make,controllers nns make vbp,1,<NNS><VBP>
controls are,controls nns are vbp,1,<NNS><VBP>
converter changed,converter nn changed vbd,1,<NN><VBD>
converter for mud,converter nn for in_pos mud nn,1,<NN><IN><NN>
converter from mud,converter nn from in_pos mud nn,1,<NN><IN><NN>
cooled,cooled vbn,1,<VBN>
cooling,cooling vbg,1,<VBG>
copy of test,copy nn of in_pos test nn,1,<NN><IN><NN>
correctly amp,correctly rb amp nn,1,<RB><NN>
correctly amps,correctly rb amps nns,1,<RB><NNS>
correctly checked,correctly rb checked vbn,1,<RB><VBN>
correctly closed,correctly rb closed vbd,1,<RB><VBD>
correctly if drilling,correctly rb if in_pos drilling nn,1,<RB><IN><NN>
correctly mpa,correctly rb mpa nn,1,<RB><NN>
correctly removed,correctly rb removed vbn,1,<RB><VBN>
correctly torque,correctly rb torque nn,1,<RB><NN>
correctly visualized,correctly rb visualized vbn,1,<RB><VBN>
correctlyok checked,correctlyok nn checked vbd,1,<NN><VBD>
correctlypulling,correctlypulling vbg,1,<VBG>
correspondence with engineering,correspondence nn with in_pos engineering nn,1,<NN><IN><NN>
corroded,corroded vbn,1,<VBN>
corrosion observed,corrosion nn observed vbd,1,<NN><VBD>
corrosion of build,corrosion nn of in_pos build nn,1,<NN><IN><NN>
corrosion on motor,corrosion nn on in_pos motor nn,1,<NN><IN><NN>
corrosion was,corrosion nn was vbd,1,<NN><VBD>
costing,costing vbg,1,<VBG>
could be removed,could md be vb removed vbn,1,<MD><VB><VBN>
could have attributed,could md have vb attributed vbn,1,<MD><VB><VBN>
could have been,could md have vb been vbn,1,<MD><VB><VBN>
could have caused,could md have vb caused vbn,1,<MD><VB><VBN>
couldnt measured,couldnt nn measured vbd,1,<NN><VBD>
counted,counted vbn,1,<VBN>
counter for number,counter nn for in_pos number nn,1,<NN><IN><NN>
counters are,counters nns are vbp,1,<NNS><VBP>
counters checked,counters nns checked vbd,1,<NNS><VBD>
counters were,counters nns were vbd,1,<NNS><VBD>
counters work,counters nns work vbp,1,<NNS><VBP>
coupling,coupling vbg,1,<VBG>
cover fitted,cover nn fitted vbd,1,<NN><VBD>
cover for motor,cover nn for in_pos motor nn,1,<NN><IN><NN>
cover found,cover nn found vbd,1,<NN><VBD>
cover had,cover nn had vbd,1,<NN><VBD>
cover make,cover nns make vbp,1,<NNS><VBP>
cover on motor,cover nn on in_pos motor nn,1,<NN><IN><NN>
cover opened,cover nn opened vbd,1,<NN><VBD>
cover removed,cover nn removed vbd,1,<NN><VBD>
cover was,cover nn was vbd,1,<NN><VBD>
covered,covered vbn,1,<VBN>
covers are,covers nns are vbp,1,<NNS><VBP>
covers cleaned,covers nns cleaned vbd,1,<NNS><VBD>
covers confirmed,covers nns confirmed vbd,1,<NNS><VBD>
covers earth,covers nns earth vbp,1,<NNS><VBP>
covers glands,covers nns glands nns,1,<NNS><NNS>
covers have,covers nns have vbp,1,<NNS><VBP>
covers inspected,covers nns inspected vbd,1,<NNS><VBD>
covers installed,covers nns installed vbd,1,<NNS><VBD>
covers made,covers nns made vbd,1,<NNS><VBD>
covers n,covers nns n vbp,1,<NNS><VBP>
covers ok,covers nns ok vbp,1,<NNS><VBP>
covers on drive,covers nns on in_pos drive nn,1,<NNS><IN><NN>
covers open,covers nns open vbp,1,<NNS><VBP>
covers opened,covers nns opened vbd,1,<NNS><VBD>
covers removed,covers nns removed vbd,1,<NNS><VBD>
covers repaired,covers nns repaired vbd,1,<NNS><VBD>
covers secure,covers nns secure vbp,1,<NNS><VBP>
covers turned,covers nns turned vbd,1,<NNS><VBD>
covers visualized,covers nns visualized vbd,1,<NNS><VBD>
covers while i,covers nns while in_pos i nn,1,<NNS><IN><NN>
cracked,cracked vbn,1,<VBN>
cracks free,cracks nns free vbp,1,<NNS><VBP>
cracks inspected,cracks nns inspected vbd,1,<NNS><VBD>
cracks nameplate,cracks nns nameplate vbp,1,<NNS><VBP>
cracks present,cracks nns present jj,1,<NNS><JJ>
cracks suiatble,cracks nns suiatble jj,1,<NNS><JJ>
cracks washout,cracks nns washout vbp,1,<NNS><VBP>
created,created vbn,1,<VBN>
crew disconnected,crew nn disconnected vbd,1,<NN><VBD>
crew had,crew nn had vbd,1,<NN><VBD>
crew noticed,crew nn noticed vbd,1,<NN><VBD>
crew on mud,crew nn on in_pos mud nn,1,<NN><IN><NN>
crew ran,crew nn ran vbd,1,<NN><VBD>
crew with motor,crew nn with in_pos motor nn,1,<NN><IN><NN>
critical,critical jj,1,<JJ>
cubical,cubical jj,1,<JJ>
cubicle was,cubicle nn was vbd,1,<NN><VBD>
current,current jj,1,<JJ>
currently available,currently rb available jj,1,<RB><JJ>
currently in lt isolation,currently rb in in_pos lt jj isolation nn,1,<RB><IN><JJ><NN>
currently on warm stack,currently rb on in_pos warm jj stack nn,1,<RB><IN><JJ><NN>
cuts ok,cuts nns ok vbp,1,<NNS><VBP>
cuts was,cuts nns was vbd,1,<NNS><VBD>
cycle of pms,cycle nn of in_pos pms nn,1,<NN><IN><NN>
damage brushed,damage nn brushed vbd,1,<NN><VBD>
damage checked,damage nn checked vbd,1,<NN><VBD>
damage ensured,damage nn ensured vbd,1,<NN><VBD>
damage found,damage nn found vbd,1,<NN><VBD>
damage made,damage nn made vbd,1,<NN><VBD>
damage maked,damage nn maked vbd,1,<NN><VBD>
damage noted,damage nn noted vbd,1,<NN><VBD>
damage observed,damage nn observed vbd,1,<NN><VBD>
damage on cover,damage nn on in_pos cover nn,1,<NN><IN><NN>
damage on duct,damage nn on in_pos duct nn,1,<NN><IN><NN>
damage performed,damage nn performed vbd,1,<NN><VBD>
damage visualized,damage nn visualized vbd,1,<NN><VBD>
damage was,damage nn was vbd,1,<NN><VBD>
damage were,damage nn were vbd,1,<NN><VBD>
damagechecks ok,damagechecks nns ok vbp,1,<NNS><VBP>
damaged,damaged vbn,1,<VBN>
damagefound on motor,damagefound nn on in_pos motor nn,1,<NN><IN><NN>
damages dirt,damages nns dirt vbp,1,<NNS><VBP>
dampeners are,dampeners nns are vbp,1,<NNS><VBP>
dampers try,dampers nns try vbp,1,<NNS><VBP>
dampers were,dampers nns were vbd,1,<NNS><VBD>
date completed,date nn completed vbd,1,<NN><VBD>
date was,date nn was vbd,1,<NN><VBD>
dates are,dates nns are vbp,1,<NNS><VBP>
david had,david nn had vbd,1,<NN><VBD>
day crew,day nn crew vbd,1,<NN><VBD>
day pm,day nn pm vb,1,<NN><VB>
days pm,days nns pm vbp,1,<NNS><VBP>
days pms,days nns pms vbp,1,<NNS><VBP>
dc used,dc nn used vbn,1,<NN><VBN>
de assigned,de nns assigned vbd,1,<NNS><VBD>
de isolated,de rb isolated vbn,1,<RB><VBN>
de of motor,de in_pos of in_pos motor nn,1,<IN><IN><NN>
debris around motor,debris nn around in_pos motor nn,1,<NN><IN><NN>
debris found,debris nn found vbd,1,<NN><VBD>
debris on blower,debris nn on in_pos blower nn,1,<NN><IN><NN>
debris on motor,debris nn on in_pos motor nn,1,<NN><IN><NN>
debrisok checked,debrisok nn checked vbd,1,<NN><VBD>
decided,decided vbd,1,<VBD>
dedicated,dedicated vbn,1,<VBN>
deemed,deemed vbn,1,<VBN>
defect found,defect nn found vbd,1,<NN><VBD>
degraded,degraded vbn,1,<VBN>
degrading,degrading vbg,1,<VBG>
degrees celsius,degrees nns celsius vbp,1,<NNS><VBP>
degrees checked,degrees nns checked vbd,1,<NNS><VBD>
degreesthis was,degreesthis nn was vbd,1,<NN><VBD>
deisolate for function,deisolate nn for in_pos function nn,1,<NN><IN><NN>
deisolated,deisolated vbn,1,<VBN>
department removed,department nn removed vbd,1,<NN><VBD>
department seated,department nn seated vbd,1,<NN><VBD>
department were,department nn were vbd,1,<NN><VBD>
dept adjusted,dept nn adjusted vbd,1,<NN><VBD>
designed,designed vbn,1,<VBN>
details confirmed,details nns confirmed vbd,1,<NNS><VBD>
details new,details nns new jj,1,<NNS><JJ>
detected,detected vbn,1,<VBN>
deteriorating,deteriorating vbg,1,<VBG>
devices are,devices nns are vbp,1,<NNS><VBP>
did,did vbd,1,<VBD>
different,different jj,1,<JJ>
directed,directed vbn,1,<VBN>
dirt cleaned,dirt nn cleaned vbd,1,<NN><VBD>
dirt found,dirt nn found vbd,1,<NN><VBD>
dirt of debris,dirt nn of in_pos debris nn,1,<NN><IN><NN>
dirt on motor,dirt nn on in_pos motor nn,1,<NN><IN><NN>
disappeared,disappeared vbd,1,<VBD>
disassemble,disassemble jj,1,<JJ>
disassembled,disassembled vbn,1,<VBN>
disconnected,disconnected vbn,1,<VBN>
disconnecting,disconnecting vbg,1,<VBG>
disconnection for motor,disconnection nn for in_pos motor nn,1,<NN><IN><NN>
discussed,discussed vbn,1,<VBN>
dismanteling,dismanteling vbg,1,<VBG>
dismantled,dismantled vbn,1,<VBN>
dismantling,dismantling vbg,1,<VBG>
do feed,do vbp feed vb,1,<VBP><VB>
doc attached,doc nn attached vbd,1,<NN><VBD>
documented,documented vbn,1,<VBN>
doesnt have,doesnt nns have vbp,1,<NNS><VBP>
done,done vbn,1,<VBN>
dont found,dont nn found vbd,1,<NN><VBD>
dont have,dont nns have vbp,1,<NNS><VBP>
dont found,dont nn found vbd,1,<NN><VBD>
door fitted,door nn fitted vbd,1,<NN><VBD>
door prepared,door nn prepared vbd,1,<NN><VBD>
double,double rb,1,<RB>
down next,down rb next jj,1,<RB><JJ>
downloaded,downloaded vbn,1,<VBN>
drawing,drawing vbg,1,<VBG>
dressed,dressed vbn,1,<VBN>
drilled,drilled vbn,1,<VBN>
driller reported,driller nn reported vbd,1,<NN><VBD>
drillers confirmed,drillers nns confirmed vbd,1,<NNS><VBD>
drillers console,drillers nns console vbp,1,<NNS><VBP>
drillers consolestand,drillers nns consolestand vbp,1,<NNS><VBP>
drive did,drive nn did vbd,1,<NN><VBD>
drive on drive,drive nn on in_pos drive nn,1,<NN><IN><NN>
drive was,drive nn was vbd,1,<NN><VBD>
drives n,drives nns n vbp,1,<NNS><VBP>
drives were,drives nns were vbd,1,<NNS><VBD>
dry compressed,dry nns compressed vbd,1,<NNS><VBD>
dry comressed,dry nns comressed vbd,1,<NNS><VBD>
dryer removed,dryer nn removed vbd,1,<NN><VBD>
duckting,duckting vbg,1,<VBG>
duct ensured,duct nn ensured vbd,1,<NN><VBD>
ducting,ducting vbg,1,<VBG>
ducting checked,ducting vbg checked vbd,1,<VBG><VBD>
ducting for water,ducting vbg for in_pos water nn,1,<VBG><IN><NN>
ducting lifted,ducting nn lifted vbd,1,<NN><VBD>
ducting of mpa,ducting nn of in_pos mpa nn,1,<NN><IN><NN>
ducting was,ducting nn was vbd,1,<NN><VBD>
ducts belt,ducts nns belt vbd,1,<NNS><VBD>
due,due jj,1,<JJ>
during annual survey,during in_pos annual jj survey nn,1,<IN><JJ><NN>
during eow maint,during in_pos eow jj maint nn,1,<IN><JJ><NN>
during inspection,during in_pos inspection nn,1,<IN><NN>
during intrusive inspection,during in_pos intrusive jj inspection nn,1,<IN><JJ><NN>
during mcc,during in_pos mcc nn,1,<IN><NN>
during normal inspection,during in_pos normal jj inspection nn,1,<IN><JJ><NN>
during normal operation,during in_pos normal jj operation nn,1,<IN><JJ><NN>
during operation,during in_pos operation nn,1,<IN><NN>
during recent run,during in_pos recent jj run nn,1,<IN><JJ><NN>
during run,during in_pos run nn,1,<IN><NN>
dust of ac,dust nn of in_pos ac nn,1,<NN><IN><NN>
ea new,ea rb new jj,1,<RB><JJ>
each failed,each dt failed vbd,1,<DT><VBD>
each motor important,each dt motor nn important jj,1,<DT><NN><JJ>
each other,each dt other jj,1,<DT><JJ>
earth was,earth nn was vbd,1,<NN><VBD>
earthing,earthing vbg,1,<VBG>
effort was,effort nn was vbd,1,<NN><VBD>
eic replaced,eic nn replaced vbd,1,<NN><VBD>
elected,elected vbn,1,<VBN>
electricain repaired,electricain nn repaired vbd,1,<NN><VBD>
electrical,electrical jj,1,<JJ>
electrician,electrician jj,1,<JJ>
electronic,electronic jj,1,<JJ>
elements remote,elements nns remote vbp,1,<NNS><VBP>
enclosures did,enclosures nns did vbd,1,<NNS><VBD>
encoder fitted,encoder nn fitted vbd,1,<NN><VBD>
end of test,end nn of in_pos test nn,1,<NN><IN><NN>
end was,end nn was vbd,1,<NN><VBD>
ended,ended vbn,1,<VBN>
ending,ending vbg,1,<VBG>
ends are,ends nns are vbp,1,<NNS><VBP>
engineers interior,engineers nns interior vbp,1,<NNS><VBP>
engineers n,engineers nns n vbp,1,<NNS><VBP>
engineers perform,engineers nns perform vbp,1,<NNS><VBP>
engineers test,engineers nns test vbp,1,<NNS><VBP>
enlarged,enlarged vbn,1,<VBN>
enlarging,enlarging vbg,1,<VBG>
ensured,ensured vbn,1,<VBN>
entered,entered vbn,1,<VBN>
equal,equal jj,1,<JJ>
equiped,equiped vbd,1,<VBD>
equipment by vendor,equipment nn by in_pos vendor nn,1,<NN><IN><NN>
equipment put,equipment nn put vbd,1,<NN><VBD>
equipment was,equipment nn was vbd,1,<NN><VBD>
equipment were,equipment nn were vbd,1,<NN><VBD>
equipped,equipped vbn,1,<VBN>
eremoved,eremoved vbn,1,<VBN>
estop had,estop nn had vbd,1,<NN><VBD>
estop was,estop nn was vbd,1,<NN><VBD>
estop were,estop nn were vbd,1,<NN><VBD>
estops are,estops nns are vbp,1,<NNS><VBP>
estops due,estops nns due jj,1,<NNS><JJ>
estops working,estops nns working vbg,1,<NNS><VBG>
ets keep,ets nns keep vbp,1,<NNS><VBP>
evaluated,evaluated vbn,1,<VBN>
evening,evening vbg,1,<VBG>
event was,event nn was vbd,1,<NN><VBD>
every new,every dt new jj,1,<DT><JJ>
examined,examined vbn,1,<VBN>
except hex pump,except in_pos hex jj pump nn,1,<IN><JJ><NN>
except mud charge,except in_pos mud jj charge nn,1,<IN><JJ><NN>
except number,except in_pos number nn,1,<IN><NN>
excessive,excessive jj,1,<JJ>
exchangers are,exchangers nns are vbp,1,<NNS><VBP>
exchangers were,exchangers nns were vbd,1,<NNS><VBD>
existing,existing vbg,1,<VBG>
exists commisioning,exists nns commisioning vbg,1,<NNS><VBG>
expected,expected vbn,1,<VBN>
