phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE,dummy_labels
condition referred,condition nn referred vbd,NN VBD,<NN><VBD>,1
condition sealed,condition nn sealed vbd,NN VBD,<NN><VBD>,1
condition tightened,condition nn tightened vbd,NN VBD,<NN><VBD>,1
condition took,condition nn took vbd,NN VBD,<NN><VBD>,1
condition was,condition nn was vbd,NN VBD,<NN><VBD>,1
condition with surface,condition nn with in_pos surface nn,NN IN NN,<NN><IN><NN>,1
conditions are,conditions nns are vbp,NNS VBP,<NNS><VBP>,1
conditions checked,conditions nns checked vbd,NNS VBD,<NNS><VBD>,1
conditions confirmed,conditions nns confirmed vbd,NNS VBD,<NNS><VBD>,1
conditions did,conditions nns did vbd,NNS VBD,<NNS><VBD>,1
conditions dont,conditions nns dont vbp,NNS VBP,<NNS><VBP>,1
conditions dont,conditions nns dont vbp,NNS VBP,<NNS><VBP>,1
conditions earth,conditions nns earth vbp,NNS VBP,<NNS><VBP>,1
conditions ensured,conditions nns ensured vbd,NNS VBD,<NNS><VBD>,1
conditions examine,conditions nns examine vbp,NNS VBP,<NNS><VBP>,1
conditions examined,conditions nns examined vbd,NNS VBD,<NNS><VBD>,1
conditions found,conditions nns found vbd,NNS VBD,<NNS><VBD>,1
conditions gland,conditions nns gland vbp,NNS VBP,<NNS><VBP>,1
conditions inspected,conditions nns inspected vbd,NNS VBD,<NNS><VBD>,1
conditions mechanical,conditions nns mechanical jj,NNS JJ,<NNS><JJ>,1
conditions n,conditions nns n vbp,NNS VBP,<NNS><VBP>,1
conditions note,conditions nns note vbp,NNS VBP,<NNS><VBP>,1
conditions ok,conditions nns ok vbp,NNS VBP,<NNS><VBP>,1
conditions recorded,conditions nns recorded vbd,NNS VBD,<NNS><VBD>,1
conditions sent,conditions nns sent vbd,NNS VBD,<NNS><VBD>,1
conditions take,conditions nns take vbp,NNS VBP,<NNS><VBP>,1
conditions took,conditions nns took vbd,NNS VBD,<NNS><VBD>,1
conditions was,conditions nns was vbd,NNS VBD,<NNS><VBD>,1
conditionsok have,conditionsok nns have vbp,NNS VBP,<NNS><VBP>,1
conditionunit was,conditionunit nn was vbd,NN VBD,<NN><VBD>,1
conditons were,conditons nns were vbd,NNS VBD,<NNS><VBD>,1
conducted,conducted vbn,VBN,<VBN>,1
conductor was,conductor nn was vbd,NN VBD,<NN><VBD>,1
cone undamaged,cone nn undamaged vbd,NN VBD,<NN><VBD>,1
configured,configured vbn,VBN,<VBN>,1
confimed,confimed vbn,VBN,<VBN>,1
confirm,confirm nn,NN,<NN>,1
confirmed,confirmed vbn,VBN,<VBN>,1
confusion during pms,confusion nn during in_pos pms nn,NN IN NN,<NN><IN><NN>,1
conirmed,conirmed vbn,VBN,<VBN>,1
connected,connected vbn,VBN,<VBN>,1
connectedfunction tested,connectedfunction nn tested vbd,NN VBD,<NN><VBD>,1
connection on bus,connection nn on in_pos bus nn,NN IN NN,<NN><IN><NN>,1
connection was,connection nn was vbd,NN VBD,<NN><VBD>,1
connection were,connection nn were vbd,NN VBD,<NN><VBD>,1
connections are,connections nns are vbp,NNS VBP,<NNS><VBP>,1
connections didnt,connections nns didnt vbp,NNS VBP,<NNS><VBP>,1
connections found,connections nns found vbd,NNS VBD,<NNS><VBD>,1
connections good,connections nns good jj,NNS JJ,<NNS><JJ>,1
connections have,connections nns have vbp,NNS VBP,<NNS><VBP>,1
connections inspected,connections nns inspected vbd,NNS VBD,<NNS><VBD>,1
connections megged,connections nns megged vbd,NNS VBD,<NNS><VBD>,1
connections sealed,connections nns sealed vbd,NNS VBD,<NNS><VBD>,1
connections tightened,connections nns tightened vbd,NNS VBD,<NNS><VBD>,1
connections torqued,connections nns torqued vbd,NNS VBD,<NNS><VBD>,1
connections was,connections nns was vbd,NNS VBD,<NNS><VBD>,1
connections were,connections nns were vbd,NNS VBD,<NNS><VBD>,1
consistant,consistant nn,NN,<NN>,1
consistent,consistent nn,NN,<NN>,1
consulted,consulted vbn,VBN,<VBN>,1
consumables are,consumables nns are vbp,NNS VBP,<NNS><VBP>,1
consumables changed,consumables nns changed vbd,NNS VBD,<NNS><VBD>,1
contacting,contacting vbg,VBG,<VBG>,1
contactors mcc,contactors nns mcc vbp,NNS VBP,<NNS><VBP>,1
contacts are,contacts nns are vbp,NNS VBP,<NNS><VBP>,1
contains reduced,contains nns reduced vbd,NNS VBD,<NNS><VBD>,1
continued,continued jj,JJ,<JJ>,1
continuing,continuing vbg,VBG,<VBG>,1
continuity on contact,continuity nn on in_pos contact nn,NN IN NN,<NN><IN><NN>,1
continuity to earth,continuity nn to to_pos earth vb,NN TO VB,<NN><TO><VB>,1
contion was,contion nn was vbd,NN VBD,<NN><VBD>,1
control,control nn,NN,<NN>,1
control was,control nn was vbd,NN VBD,<NN><VBD>,1
controllers make,controllers nns make vbp,NNS VBP,<NNS><VBP>,1
controls are,controls nns are vbp,NNS VBP,<NNS><VBP>,1
converter changed,converter nn changed vbd,NN VBD,<NN><VBD>,1
converter for mud,converter nn for in_pos mud nn,NN IN NN,<NN><IN><NN>,1
converter from mud,converter nn from in_pos mud nn,NN IN NN,<NN><IN><NN>,1
cooled,cooled vbn,VBN,<VBN>,1
cooling,cooling vbg,VBG,<VBG>,1
correct,correct nn,NN,<NN>,1
corrective,corrective nn,NN,<NN>,1
correctly amp,correctly rb amp nn,RB NN,<RB><NN>,1
correctly amps,correctly rb amps nns,RB NNS,<RB><NNS>,1
correctly checked,correctly rb checked vbn,RB VBN,<RB><VBN>,1
correctly closed,correctly rb closed vbd,RB VBD,<RB><VBD>,1
correctly if drilling,correctly rb if in_pos drilling nn,RB IN NN,<RB><IN><NN>,1
correctly mpa,correctly rb mpa nn,RB NN,<RB><NN>,1
correctly removed,correctly rb removed vbn,RB VBN,<RB><VBN>,1
correctly torque,correctly rb torque nn,RB NN,<RB><NN>,1
correctly visualized,correctly rb visualized vbn,RB VBN,<RB><VBN>,1
correctly working note,correctly rb working vbg note nn,RB VBG NN,<RB><VBG><NN>,1
correctlyok checked,correctlyok nn checked vbd,NN VBD,<NN><VBD>,1
correctlypulling,correctlypulling vbg,VBG,<VBG>,1
correspondence with engineering,correspondence nn with in_pos engineering nn,NN IN NN,<NN><IN><NN>,1
corroded,corroded vbn,VBN,<VBN>,1
corrosion observed,corrosion nn observed vbd,NN VBD,<NN><VBD>,1
corrosion was,corrosion nn was vbd,NN VBD,<NN><VBD>,1
costing,costing vbg,VBG,<VBG>,1
could be removed,could md be vb removed vbn,MD VB VBN,<MD><VB><VBN>,1
could have attributed,could md have vb attributed vbn,MD VB VBN,<MD><VB><VBN>,1
could have been,could md have vb been vbn,MD VB VBN,<MD><VB><VBN>,1
could have caused,could md have vb caused vbn,MD VB VBN,<MD><VB><VBN>,1
couldnt measured,couldnt nn measured vbd,NN VBD,<NN><VBD>,1
counted,counted vbn,VBN,<VBN>,1
counter for number,counter nn for in_pos number nn,NN IN NN,<NN><IN><NN>,1
counters are,counters nns are vbp,NNS VBP,<NNS><VBP>,1
counters checked,counters nns checked vbd,NNS VBD,<NNS><VBD>,1
counters were,counters nns were vbd,NNS VBD,<NNS><VBD>,1
counters work,counters nns work vbp,NNS VBP,<NNS><VBP>,1
coupling,coupling vbg,VBG,<VBG>,1
cover fitted,cover nn fitted vbd,NN VBD,<NN><VBD>,1
cover for motor,cover nn for in_pos motor nn,NN IN NN,<NN><IN><NN>,1
cover found,cover nn found vbd,NN VBD,<NN><VBD>,1
cover had,cover nn had vbd,NN VBD,<NN><VBD>,1
cover make,cover nns make vbp,NNS VBP,<NNS><VBP>,1
cover on motor,cover nn on in_pos motor nn,NN IN NN,<NN><IN><NN>,1
cover opened,cover nn opened vbd,NN VBD,<NN><VBD>,1
cover removed,cover nn removed vbd,NN VBD,<NN><VBD>,1
cover was,cover nn was vbd,NN VBD,<NN><VBD>,1
covered,covered vbn,VBN,<VBN>,1
covers are,covers nns are vbp,NNS VBP,<NNS><VBP>,1
covers cleaned,covers nns cleaned vbd,NNS VBD,<NNS><VBD>,1
covers confirmed,covers nns confirmed vbd,NNS VBD,<NNS><VBD>,1
covers earth,covers nns earth vbp,NNS VBP,<NNS><VBP>,1
covers have,covers nns have vbp,NNS VBP,<NNS><VBP>,1
covers inspected,covers nns inspected vbd,NNS VBD,<NNS><VBD>,1
covers installed,covers nns installed vbd,NNS VBD,<NNS><VBD>,1
covers made,covers nns made vbd,NNS VBD,<NNS><VBD>,1
covers n,covers nns n vbp,NNS VBP,<NNS><VBP>,1
covers ok,covers nns ok vbp,NNS VBP,<NNS><VBP>,1
covers on drive,covers nns on in_pos drive nn,NNS IN NN,<NNS><IN><NN>,1
covers open,covers nns open vbp,NNS VBP,<NNS><VBP>,1
covers opened,covers nns opened vbd,NNS VBD,<NNS><VBD>,1
covers removed,covers nns removed vbd,NNS VBD,<NNS><VBD>,1
covers repaired,covers nns repaired vbd,NNS VBD,<NNS><VBD>,1
covers secure,covers nns secure vbp,NNS VBP,<NNS><VBP>,1
covers turned,covers nns turned vbd,NNS VBD,<NNS><VBD>,1
covers visualized,covers nns visualized vbd,NNS VBD,<NNS><VBD>,1
covers while i,covers nns while in_pos i nn,NNS IN NN,<NNS><IN><NN>,1
cracked,cracked vbn,VBN,<VBN>,1
cracks free,cracks nns free vbp,NNS VBP,<NNS><VBP>,1
cracks inspected,cracks nns inspected vbd,NNS VBD,<NNS><VBD>,1
cracks nameplate,cracks nns nameplate vbp,NNS VBP,<NNS><VBP>,1
cracks suiatble,cracks nns suiatble jj,NNS JJ,<NNS><JJ>,1
cracks washout,cracks nns washout vbp,NNS VBP,<NNS><VBP>,1
created,created vbn,VBN,<VBN>,1
crew,crew nn,NN,<NN>,1
crew disconnected,crew nn disconnected vbd,NN VBD,<NN><VBD>,1
crew had,crew nn had vbd,NN VBD,<NN><VBD>,1
crew noticed,crew nn noticed vbd,NN VBD,<NN><VBD>,1
crew on mud,crew nn on in_pos mud nn,NN IN NN,<NN><IN><NN>,1
crew ran,crew nn ran vbd,NN VBD,<NN><VBD>,1
crew to run,crew nn to to_pos run vb,NN TO VB,<NN><TO><VB>,1
crew with motor,crew nn with in_pos motor nn,NN IN NN,<NN><IN><NN>,1
critical,critical jj,JJ,<JJ>,1
cubical,cubical jj,JJ,<JJ>,1
current,current jj,JJ,<JJ>,1
currently available,currently rb available jj,RB JJ,<RB><JJ>,1
currently in lt isolation,currently rb in in_pos lt jj isolation nn,RB IN JJ NN,<RB><IN><JJ><NN>,1
currently on warm stack,currently rb on in_pos warm jj stack nn,RB IN JJ NN,<RB><IN><JJ><NN>,1
currently running production,currently rb running vbg production nn,RB VBG NN,<RB><VBG><NN>,1
cut,cut nn,NN,<NN>,1
cuts ok,cuts nns ok vbp,NNS VBP,<NNS><VBP>,1
cuts was,cuts nns was vbd,NNS VBD,<NNS><VBD>,1
cycle of pms,cycle nn of in_pos pms nn,NN IN NN,<NN><IN><NN>,1
cyprina,cyprina nn,NN,<NN>,1
damage checked,damage nn checked vbd,NN VBD,<NN><VBD>,1
damage ensured,damage nn ensured vbd,NN VBD,<NN><VBD>,1
damage found,damage nn found vbd,NN VBD,<NN><VBD>,1
damage made,damage nn made vbd,NN VBD,<NN><VBD>,1
damage on cover,damage nn on in_pos cover nn,NN IN NN,<NN><IN><NN>,1
damage on duct,damage nn on in_pos duct nn,NN IN NN,<NN><IN><NN>,1
damage to exterior,damage nn to to_pos exterior vb,NN TO VB,<NN><TO><VB>,1
damage to hoses,damage nn to to_pos hoses nns,NN TO NNS,<NN><TO><NNS>,1
damage to pipes,damage nn to to_pos pipes vb,NN TO VB,<NN><TO><VB>,1
damage to report,damage nn to to_pos report vb,NN TO VB,<NN><TO><VB>,1
damage to rubber,damage nn to to_pos rubber vb,NN TO VB,<NN><TO><VB>,1
damage visualized,damage nn visualized vbd,NN VBD,<NN><VBD>,1
damage was,damage nn was vbd,NN VBD,<NN><VBD>,1
damage were,damage nn were vbd,NN VBD,<NN><VBD>,1
damagechecks ok,damagechecks nns ok vbp,NNS VBP,<NNS><VBP>,1
damaged,damaged vbn,VBN,<VBN>,1
damagefound on motor,damagefound nn on in_pos motor nn,NN IN NN,<NN><IN><NN>,1
dampeners are,dampeners nns are vbp,NNS VBP,<NNS><VBP>,1
dampers try,dampers nns try vbp,NNS VBP,<NNS><VBP>,1
dampers were,dampers nns were vbd,NNS VBD,<NNS><VBD>,1
date completed,date nn completed vbd,NN VBD,<NN><VBD>,1
date was,date nn was vbd,NN VBD,<NN><VBD>,1
dates are,dates nns are vbp,NNS VBP,<NNS><VBP>,1
david had,david nn had vbd,NN VBD,<NN><VBD>,1
day to come,day nn to to_pos come vb,NN TO VB,<NN><TO><VB>,1
days pm,days nns pm vbp,NNS VBP,<NNS><VBP>,1
days pms,days nns pms vbp,NNS VBP,<NNS><VBP>,1
dc,dc nn,NN,<NN>,1
dc used,dc nn used vbn,NN VBN,<NN><VBN>,1
de assigned,de nns assigned vbd,NNS VBD,<NNS><VBD>,1
de isolated,de rb isolated vbn,RB VBN,<RB><VBN>,1
de of motor,de in_pos of in_pos motor nn,IN IN NN,<IN><IN><NN>,1
dear,dear nn,NN,<NN>,1
debris,debris nn,NN,<NN>,1
debris found,debris nn found vbd,NN VBD,<NN><VBD>,1
debris on blower,debris nn on in_pos blower nn,NN IN NN,<NN><IN><NN>,1
debrisok checked,debrisok nn checked vbd,NN VBD,<NN><VBD>,1
december,december nn,NN,<NN>,1
decided,decided vbd,VBD,<VBD>,1
dedicated,dedicated vbn,VBN,<VBN>,1
deemed,deemed vbn,VBN,<VBN>,1
degraded,degraded vbn,VBN,<VBN>,1
degrading,degrading vbg,VBG,<VBG>,1
degrees celsius,degrees nns celsius vbp,NNS VBP,<NNS><VBP>,1
degrees checked,degrees nns checked vbd,NNS VBD,<NNS><VBD>,1
degreesthis,degreesthis nn,NN,<NN>,1
degreesthis was,degreesthis nn was vbd,NN VBD,<NN><VBD>,1
deisolate for function,deisolate nn for in_pos function nn,NN IN NN,<NN><IN><NN>,1
deisolated,deisolated vbn,VBN,<VBN>,1
department removed,department nn removed vbd,NN VBD,<NN><VBD>,1
department seated,department nn seated vbd,NN VBD,<NN><VBD>,1
department to remove,department nn to to_pos remove vb,NN TO VB,<NN><TO><VB>,1
department were,department nn were vbd,NN VBD,<NN><VBD>,1
dept,dept nn,NN,<NN>,1
dept adjusted,dept nn adjusted vbd,NN VBD,<NN><VBD>,1
desc,desc nn,NN,<NN>,1
designed,designed vbn,VBN,<VBN>,1
details confirmed,details nns confirmed vbd,NNS VBD,<NNS><VBD>,1
details new,details nns new jj,NNS JJ,<NNS><JJ>,1
detected,detected vbn,VBN,<VBN>,1
deteriorating,deteriorating vbg,VBG,<VBG>,1
devices are,devices nns are vbp,NNS VBP,<NNS><VBP>,1
did,did vbd,VBD,<VBD>,1
didnt,didnt nn,NN,<NN>,1
different,different jj,JJ,<JJ>,1
digital,digital nn,NN,<NN>,1
dirt,dirt nn,NN,<NN>,1
dirt cleaned,dirt nn cleaned vbd,NN VBD,<NN><VBD>,1
disappeared,disappeared vbd,VBD,<VBD>,1
disassemble,disassemble jj,JJ,<JJ>,1
disassembled,disassembled vbn,VBN,<VBN>,1
disconnect,disconnect nn,NN,<NN>,1
disconnected,disconnected vbn,VBN,<VBN>,1
disconnecting,disconnecting vbg,VBG,<VBG>,1
disconnection for motor,disconnection nn for in_pos motor nn,NN IN NN,<NN><IN><NN>,1
discussed,discussed vbn,VBN,<VBN>,1
dismanteling,dismanteling vbg,VBG,<VBG>,1
dismantled,dismantled vbn,VBN,<VBN>,1
dismantling,dismantling vbg,VBG,<VBG>,1
do feed,do vbp feed vb,VBP VB,<VBP><VB>,1
dobe,dobe nn,NN,<NN>,1
doc attached,doc nn attached vbd,NN VBD,<NN><VBD>,1
documented,documented vbn,VBN,<VBN>,1
doesnt have,doesnt nns have vbp,NNS VBP,<NNS><VBP>,1
done,done vbn,VBN,<VBN>,1
dont complete,dont nn complete jj,NN JJ,<NN><JJ>,1
dont found,dont nn found vbd,NN VBD,<NN><VBD>,1
dont have,dont nns have vbp,NNS VBP,<NNS><VBP>,1
dont found,dont nn found vbd,NN VBD,<NN><VBD>,1
door,door nn,NN,<NN>,1
door prepared,door nn prepared vbd,NN VBD,<NN><VBD>,1
double,double rb,RB,<RB>,1
down next,down rb next jj,RB JJ,<RB><JJ>,1
downloaded,downloaded vbn,VBN,<VBN>,1
drawing,drawing vbg,VBG,<VBG>,1
dressed,dressed vbn,VBN,<VBN>,1
drilled,drilled vbn,VBN,<VBN>,1
driller reported,driller nn reported vbd,NN VBD,<NN><VBD>,1
drillers confirmed,drillers nns confirmed vbd,NNS VBD,<NNS><VBD>,1
drillers console,drillers nns console vbp,NNS VBP,<NNS><VBP>,1
drillers consolestand,drillers nns consolestand vbp,NNS VBP,<NNS><VBP>,1
drilling,drilling nn,NN,<NN>,1
drive,drive nn,NN,<NN>,1
drive on drive,drive nn on in_pos drive nn,NN IN NN,<NN><IN><NN>,1
drives were,drives nns were vbd,NNS VBD,<NNS><VBD>,1
dry,dry nn,NN,<NN>,1
dry compressed,dry nns compressed vbd,NNS VBD,<NNS><VBD>,1
dry comressed,dry nns comressed vbd,NNS VBD,<NNS><VBD>,1
dryer removed,dryer nn removed vbd,NN VBD,<NN><VBD>,1
duckting,duckting vbg,VBG,<VBG>,1
ducting,ducting vbg,VBG,<VBG>,1
ducting lifted,ducting nn lifted vbd,NN VBD,<NN><VBD>,1
ducting of mpa,ducting nn of in_pos mpa nn,NN IN NN,<NN><IN><NN>,1
ducting was,ducting nn was vbd,NN VBD,<NN><VBD>,1
ducts belt,ducts nns belt vbd,NNS VBD,<NNS><VBD>,1
due,due jj,JJ,<JJ>,1
durinf,durinf nn,NN,<NN>,1
during annual,during in_pos annual jj,IN JJ,<IN><JJ>,1
during eow,during in_pos eow nn,IN NN,<IN><NN>,1
during inspection,during in_pos inspection nn,IN NN,<IN><NN>,1
during intrusive,during in_pos intrusive jj,IN JJ,<IN><JJ>,1
during mcc,during in_pos mcc nn,IN NN,<IN><NN>,1
during normal,during in_pos normal jj,IN JJ,<IN><JJ>,1
during operation,during in_pos operation nn,IN NN,<IN><NN>,1
during previous,during in_pos previous jj,IN JJ,<IN><JJ>,1
during recent,during in_pos recent jj,IN JJ,<IN><JJ>,1
during regular,during in_pos regular jj,IN JJ,<IN><JJ>,1
during run,during in_pos run nn,IN NN,<IN><NN>,1
during wireline,during in_pos wireline nn,IN NN,<IN><NN>,1
dust of ac,dust nn of in_pos ac nn,NN IN NN,<NN><IN><NN>,1
e increased,e nn increased vbd,NN VBD,<NN><VBD>,1
ea new,ea rb new jj,RB JJ,<RB><JJ>,1
each bearing,each dt bearing nn,DT NN,<DT><NN>,1
each bearings,each dt bearings nns,DT NNS,<DT><NNS>,1
each blower,each dt blower nn,DT NN,<DT><NN>,1
each condition,each dt condition nn,DT NN,<DT><NN>,1
each failed,each dt failed vbd,DT VBD,<DT><VBD>,1
each heater,each dt heater nn,DT NN,<DT><NN>,1
each job,each dt job nn,DT NN,<DT><NN>,1
each motor,each dt motor nn,DT NN,<DT><NN>,1
each other,each dt other jj,DT JJ,<DT><JJ>,1
each phase,each dt phase nn,DT NN,<DT><NN>,1
each pump,each dt pump nn,DT NN,<DT><NN>,1
each shot,each dt shot nn,DT NN,<DT><NN>,1
each side,each dt side nn,DT NN,<DT><NN>,1
earth,earth nn,NN,<NN>,1
earthing,earthing vbg,VBG,<VBG>,1
earths,earths nns,NNS,<NNS>,1
effort was,effort nn was vbd,NN VBD,<NN><VBD>,1
eic,eic nn,NN,<NN>,1
eic replaced,eic nn replaced vbd,NN VBD,<NN><VBD>,1
either motor,either dt motor nn,DT NN,<DT><NN>,1
elected,elected vbn,VBN,<VBN>,1
electricain repaired,electricain nn repaired vbd,NN VBD,<NN><VBD>,1
electrical,electrical jj,JJ,<JJ>,1
electrician,electrician jj,JJ,<JJ>,1
electronic,electronic jj,JJ,<JJ>,1
email,email nn,NN,<NN>,1
enclosure,enclosure nn,NN,<NN>,1
enclosures did,enclosures nns did vbd,NNS VBD,<NNS><VBD>,1
end of test,end nn of in_pos test nn,NN IN NN,<NN><IN><NN>,1
end was,end nn was vbd,NN VBD,<NN><VBD>,1
ended,ended vbn,VBN,<VBN>,1
ending,ending vbg,VBG,<VBG>,1
ends are,ends nns are vbp,NNS VBP,<NNS><VBP>,1
engineers interior,engineers nns interior vbp,NNS VBP,<NNS><VBP>,1
engineers perform,engineers nns perform vbp,NNS VBP,<NNS><VBP>,1
enlarged,enlarged vbn,VBN,<VBN>,1
enlarging,enlarging vbg,VBG,<VBG>,1
ensured,ensured vbn,VBN,<VBN>,1
entered,entered vbn,VBN,<VBN>,1
eow,eow nn,NN,<NN>,1
equal,equal jj,JJ,<JJ>,1
equiped,equiped vbd,VBD,<VBD>,1
equipment by vendor,equipment nn by in_pos vendor nn,NN IN NN,<NN><IN><NN>,1
equipment put,equipment nn put vbd,NN VBD,<NN><VBD>,1
equipment was,equipment nn was vbd,NN VBD,<NN><VBD>,1
equipment were,equipment nn were vbd,NN VBD,<NN><VBD>,1
equipped,equipped vbn,VBN,<VBN>,1
eremoved,eremoved vbn,VBN,<VBN>,1
estop was,estop nn was vbd,NN VBD,<NN><VBD>,1
estops due,estops nns due jj,NNS JJ,<NNS><JJ>,1
estops working,estops nns working vbg,NNS VBG,<NNS><VBG>,1
etc,etc nn,NN,<NN>,1
evaluated,evaluated vbn,VBN,<VBN>,1
evening,evening vbg,VBG,<VBG>,1
every days,every dt days nns,DT NNS,<DT><NNS>,1
every hour,every dt hour nn,DT NN,<DT><NN>,1
every hrs,every dt hrs nn,DT NN,<DT><NN>,1
every new,every dt new jj,DT JJ,<DT><JJ>,1
every year,every dt year nn,DT NN,<DT><NN>,1
evident,evident nn,NN,<NN>,1
examied,examied vbn,VBN,<VBN>,1
examine,examine nn,NN,<NN>,1
examine closed,examine nn closed vbd,NN VBD,<NN><VBD>,1
examined,examined vbn,VBN,<VBN>,1
except hex,except in_pos hex nn,IN NN,<IN><NN>,1
except mud,except in_pos mud nn,IN NN,<IN><NN>,1
except number,except in_pos number nn,IN NN,<IN><NN>,1
except task,except in_pos task nn,IN NN,<IN><NN>,1
excess,excess nn,NN,<NN>,1
excessive,excessive jj,JJ,<JJ>,1
exchangers are,exchangers nns are vbp,NNS VBP,<NNS><VBP>,1
exchangers were,exchangers nns were vbd,NNS VBD,<NNS><VBD>,1
exhaust,exhaust nn,NN,<NN>,1
existing,existing vbg,VBG,<VBG>,1
exists commisioning,exists nns commisioning vbg,NNS VBG,<NNS><VBG>,1
expected,expected vbn,VBN,<VBN>,1
exterior,exterior nn,NN,<NN>,1
exterior are,exterior nns are vbp,NNS VBP,<NNS><VBP>,1
exterior cover,exterior rb cover nn,RB NN,<RB><NN>,1
exterior of motor,exterior nn of in_pos motor nn,NN IN NN,<NN><IN><NN>,1
external,external jj,JJ,<JJ>,1
extract,extract nn,NN,<NN>,1
extremely low,extremely rb low jj,RB JJ,<RB><JJ>,1
eyes are,eyes nns are vbp,NNS VBP,<NNS><VBP>,1
f,f nn,NN,<NN>,1
f make,f nns make vbp,NNS VBP,<NNS><VBP>,1
fabricated,fabricated vbn,VBN,<VBN>,1
fail,fail nn,NN,<NN>,1
failed,failed vbd,VBD,<VBD>,1
failure to rotate,failure nn to to_pos rotate vb,NN TO VB,<NN><TO><VB>,1
fan,fan nn,NN,<NN>,1
fan had,fan nn had vbd,NN VBD,<NN><VBD>,1
fan made,fan nn made vbd,NN VBD,<NN><VBD>,1
fan to be,fan nn to to_pos be vb,NN TO VB,<NN><TO><VB>,1
fan was,fan nn was vbd,NN VBD,<NN><VBD>,1
fans n,fans nns n vbp,NNS VBP,<NNS><VBP>,1
fast,fast nn,NN,<NN>,1
fasteners are,fasteners nns are vbp,NNS VBP,<NNS><VBP>,1
fasteners cleaned,fasteners nns cleaned vbd,NNS VBD,<NNS><VBD>,1
fasteners dirt,fasteners nns dirt vbp,NNS VBP,<NNS><VBP>,1
fasteners exterior,fasteners nns exterior vbp,NNS VBP,<NNS><VBP>,1
fasteners secure,fasteners nns secure vbp,NNS VBP,<NNS><VBP>,1
fasteners were,fasteners nns were vbd,NNS VBD,<NNS><VBD>,1
fastening,fastening vbg,VBG,<VBG>,1
fastners are,fastners nns are vbp,NNS VBP,<NNS><VBP>,1
fault on mud,fault nn on in_pos mud nn,NN IN NN,<NN><IN><NN>,1
faulting,faulting vbg,VBG,<VBG>,1
features are,features nns are vbp,NNS VBP,<NNS><VBP>,1
features were,features nns were vbd,NNS VBD,<NNS><VBD>,1
feed,feed nn,NN,<NN>,1
feedback made,feedback nn made vbd,NN VBD,<NN><VBD>,1
feel ac,feel nn ac nns,NN NNS,<NN><NNS>,1
felt,felt nn,NN,<NN>,1
few,few jj,JJ,<JJ>,1
figured,figured vbn,VBN,<VBN>,1
file installed,file nn installed vbd,NN VBD,<NN><VBD>,1
filling,filling vbg,VBG,<VBG>,1
filter checked,filter nn checked vbd,NN VBD,<NN><VBD>,1
filter closed,filter nn closed vbd,NN VBD,<NN><VBD>,1
filters are,filters nns are vbp,NNS VBP,<NNS><VBP>,1
filters were,filters nns were vbd,NNS VBD,<NNS><VBD>,1
find fwd,find vb fwd nn,VB NN,<VB><NN>,1
fine,fine nn,NN,<NN>,1
fins are,fins nns are vbp,NNS VBP,<NNS><VBP>,1
fins debris,fins nns debris vbp,NNS VBP,<NNS><VBP>,1
fins for fwd,fins nns for in_pos fwd nn,NNS IN NN,<NNS><IN><NN>,1
fins found,fins nns found vbd,NNS VBD,<NNS><VBD>,1
fins n,fins nns n vbp,NNS VBP,<NNS><VBP>,1
fire watched,fire nn watched vbd,NN VBD,<NN><VBD>,1
fit,fit nn,NN,<NN>,1
fitted,fitted vbn,VBN,<VBN>,1
fitting,fitting nn,NN,<NN>,1
fixed,fixed vbn,VBN,<VBN>,1
flange secuered,flange nn secuered vbd,NN VBD,<NN><VBD>,1
flange to mm,flange nn to to_pos mm vb,NN TO VB,<NN><TO><VB>,1
flexing,flexing vbg,VBG,<VBG>,1
floor ran,floor nn ran vbd,NN VBD,<NN><VBD>,1
floor to check,floor nn to to_pos check vb,NN TO VB,<NN><TO><VB>,1
floor to run,floor nn to to_pos run vb,NN TO VB,<NN><TO><VB>,1
followed,followed vbd,VBD,<VBD>,1
following,following vbg,VBG,<VBG>,1
follows closed,follows vbz closed vbd,VBZ VBD,<VBZ><VBD>,1
for abnormal,for in_pos abnormal jj,IN JJ,<IN><JJ>,1
for access,for in_pos access nn,IN NN,<IN><NN>,1
for additional,for in_pos additional jj,IN JJ,<IN><JJ>,1
for advice,for in_pos advice nn,IN NN,<IN><NN>,1
for air,for in_pos air nn,IN NN,<IN><NN>,1
for analysis,for in_pos analysis nn,IN NN,<IN><NN>,1
for approval,for in_pos approval nn,IN NN,<IN><NN>,1
for ay,for in_pos ay nn,IN NN,<IN><NN>,1
for b,for in_pos b nn,IN NN,<IN><NN>,1
for base,for in_pos base nn,IN NN,<IN><NN>,1
for below task,for in_pos below in_pos task nn,IN IN NN,<IN><IN><NN>,1
for choke,for in_pos choke nn,IN NN,<IN><NN>,1
for cleanliness,for in_pos cleanliness nn,IN NN,<IN><NN>,1
for conditionsand,for in_pos conditionsand nn,IN NN,<IN><NN>,1
for confirmation,for in_pos confirmation nn,IN NN,<IN><NN>,1
for correct,for in_pos correct nn,IN NN,<IN><NN>,1
for corrosion,for in_pos corrosion nn,IN NN,<IN><NN>,1
for couple,for in_pos couple nn,IN NN,<IN><NN>,1
for crane,for in_pos crane nn,IN NN,<IN><NN>,1
for damage,for in_pos damage nn,IN NN,<IN><NN>,1
for debris,for in_pos debris nn,IN NN,<IN><NN>,1
