phrases,tagged_phrases,Tags,indicator_valid_eng_phrase
cover from abb motor,cover nn from in_pos abb jj motor nn,NN IN JJ NN,1
cover in good condition,cover nn in in_pos good jj condition nn,NN IN JJ NN,1
cover near crimp area,cover nn near in_pos crimp jj area nn,NN IN JJ NN,1
cover of pipe handler,cover nn of in_pos pipe jj handler nn,NN IN JJ NN,1
cover of upper guide,cover nn of in_pos upper jj guide nn,NN IN JJ NN,1
cover on mud pump,cover nn on in_pos mud jj pump nn,NN IN JJ NN,1
cover on prs slew,cover nn on in_pos prs nns slew nns,NN IN NNS NNS,1
cover task,cover nn task nn,NN NN,1
coverage,coverage nn,NN,1
covered,covered vbn,VBN,1
covered as,covered vbn as in_pos,VBN IN,1
covered by,covered vbn by in_pos,VBN IN,1
covered during,covered vbn during in_pos,VBN IN,1
covered in,covered vbn in in_pos,VBN IN,1
covered on,covered vbn on in_pos,VBN IN,1
covered so,covered vbn so rb,VBN RB,1
covered under,covered vbn under in_pos,VBN IN,1
covered with,covered vbn with in_pos,VBN IN,1
covering,covering vbg,VBG,1
covers,covers nns,NNS,1
covers are,covers nns are vbp,NNS VBP,1
covers cable,covers nns cable nn,NNS NN,1
covers damage,covers nns damage nn,NNS NN,1
covers earth,covers nns earth vbp,NNS VBP,1
covers everything,covers nns everything nn,NNS NN,1
covers glands,covers nns glands nns,NNS NNS,1
covers have,covers nns have vbp,NNS VBP,1
covers inspection,covers nns inspection nn,NNS NN,1
covers junction,covers nns junction nn,NNS NN,1
covers modification,covers nns modification nn,NNS NN,1
covers motor,covers nns motor nn,NNS NN,1
covers oil,covers nns oil nn,NNS NN,1
covers open,covers nns open vbp,NNS VBP,1
covers remain,covers nns remain vbp,NNS VBP,1
covers secure,covers nns secure vbp,NNS VBP,1
cow,cow nn,NN,1
cow for solenoid replacement,cow nn for in_pos solenoid jj replacement nn,NN IN JJ NN,1
cowl,cowl nn,NN,1
cox,cox nn,NN,1
cp,cp nn,NN,1
cr,cr nn,NN,1
crack,crack nn,NN,1
cracked,cracked vbn,VBN,1
cracked at,cracked vbn at in_pos,VBN IN,1
cracked breakdown,cracked vbn breakdown rp,VBN RP,1
cracked during,cracked vbn during in_pos,VBN IN,1
cracked hydraulic,cracked vbn hydraulic jj,VBN JJ,1
cracked in,cracked vbn in in_pos,VBN IN,1
cracked just,cracked vbn just rb,VBN RB,1
cracked lug,cracked vbn lug nn,VBN NN,1
cracked on,cracked vbn on in_pos,VBN IN,1
cracked paint,cracked vbn paint nn,VBN NN,1
cracked support,cracked vbn support nn,VBN NN,1
cracked tie,cracked vbn tie nn,VBN NN,1
cracking,cracking vbg,VBG,1
cracks,cracks nns,NNS,1
cracks are,cracks nns are vbp,NNS VBP,1
cracks corrosion,cracks nns corrosion nn,NNS NN,1
cracks damage,cracks nns damage nn,NNS NN,1
cracks deformation,cracks nns deformation nn,NNS NN,1
cracks extensive,cracks nns extensive vbp,NNS VBP,1
cracks free,cracks nns free vbp,NNS VBP,1
cracks groove,cracks nns groove vbp,NNS VBP,1
cracks have,cracks nns have vbp,NNS VBP,1
cracks heavy,cracks nns heavy vbp,NNS VBP,1
cracks leaks,cracks nns leaks nns,NNS NNS,1
cracks loose,cracks nns loose vbp,NNS VBP,1
cracks lug,cracks nns lug vbp,NNS VBP,1
cracks none,cracks nns none nn,NNS NN,1
cracks note,cracks nns note vbp,NNS VBP,1
cracks pipe,cracks nns pipe vbp,NNS VBP,1
cracks present,cracks nns present jj,NNS JJ,1
cracks rubber,cracks nns rubber vbp,NNS VBP,1
cracks see,cracks nns see vbp,NNS VBP,1
cracks trolley,cracks nns trolley vbp,NNS VBP,1
cracks wash,cracks nns wash vbp,NNS VBP,1
cracks washout,cracks nns washout vbp,NNS VBP,1
cracks washouts,cracks nns washouts nns,NNS NNS,1
cracks wear,cracks nns wear vbp,NNS VBP,1
cradle,cradle nn,NN,1
craft,craft nn,NN,1
craft for original job,craft nn for in_pos original jj job nn,NN IN JJ NN,1
crane,crane nn,NN,1
cranes,cranes nns,NNS,1
cranes carry,cranes nns carry vbp,NNS VBP,1
crank,crank nn,NN,1
crankcase,crankcase nn,NN,1
cranks,cranks nns,NNS,1
cranks appear,cranks nns appear vbp,NNS VBP,1
cranks are,cranks nns are vbp,NNS VBP,1
crankshaft,crankshaft nn,NN,1
crap,crap nn,NN,1
crashed,crashed nns,NNS,1
crate,crate nn,NN,1
crated,crated vbn,VBN,1
crawled out,crawled vbn out rp,VBN RP,1
crazy,crazy nn,NN,1
creased as,creased vbn as in_pos,VBN IN,1
create,create nn,NN,1
created,created vbn,VBN,1
created after,created vbn after in_pos,VBN IN,1
created against,created vbn against in_pos,VBN IN,1
created as,created vbn as in_pos,VBN IN,1
created attempt,created vbn attempt nn,VBN NN,1
created automatically,created vbn automatically rb,VBN RB,1
created b,created vbn b nn,VBN NN,1
created because,created vbn because in_pos,VBN IN,1
created between,created vbn between in_pos,VBN IN,1
created by,created vbn by in_pos,VBN IN,1
created close,created vbn close rb,VBN RB,1
created cm,created vbn cm nn,VBN NN,1
created completed,created vbn completed vbd,VBN VBD,1
created corrective,created vbn corrective jj,VBN JJ,1
created dolly,created vbn dolly rb,VBN RB,1
created due,created vbn due jj,VBN JJ,1
created during,created vbn during in_pos,VBN IN,1
created for,created vbn for in_pos,VBN IN,1
created from,created vbn from in_pos,VBN IN,1
created grip,created vbn grip nn,VBN NN,1
created guarantee,created vbn guarantee nn,VBN NN,1
created in,created vbn in in_pos,VBN IN,1
created incorrectly,created vbn incorrectly rb,VBN RB,1
created job,created vbn job nn,VBN NN,1
created just,created vbn just rb,VBN RB,1
created link,created vbn link nn,VBN NN,1
created new,created vbn new jj,VBN JJ,1
created on,created vbn on in_pos,VBN IN,1
created per,created vbn per in_pos,VBN IN,1
created performed,created vbn performed vbd,VBN VBD,1
created post,created vbn post nn,VBN NN,1
created problem,created vbn problem nn,VBN NN,1
created retract,created vbn retract nn,VBN NN,1
created so,created vbn so rb,VBN RB,1
created to be able,created vbn to to_pos be vb able jj,VBN TO VB JJ,1
created to capture routine,created vbn to to_pos capture vb routine vb,VBN TO VB VB,1
created to check clean,created vbn to to_pos check vb clean jj,VBN TO VB JJ,1
created to make sure,created vbn to to_pos make vb sure jj,VBN TO VB JJ,1
created to t s,created vbn to to_pos t vb s nn,VBN TO VB NN,1
created to troubleshoot top,created vbn to to_pos troubleshoot vb top jj,VBN TO VB JJ,1
created top,created vbn top nn,VBN NN,1
created under,created vbn under in_pos,VBN IN,1
created until,created vbn until in_pos,VBN IN,1
created verified,created vbn verified vbd,VBN VBD,1
created while,created vbn while in_pos,VBN IN,1
created with,created vbn with in_pos,VBN IN,1
created wrongly,created vbn wrongly rb,VBN RB,1
creates,creates nns,NNS,1
creating,creating vbg,VBG,1
creator,creator nn,NN,1
creep,creep nn,NN,1
creep off,creep vb off rp,VB RP,1
creeping,creeping vbg,VBG,1
crescent,crescent nn,NN,1
crew,crew nn,NN,1
crew after hard landing,crew nn after in_pos hard jj landing nn,NN IN JJ NN,1
crew are,crew nn are vbp,NN VBP,1
crew as,crew nn as in_pos,NN IN,1
crew during,crew nn during in_pos,NN IN,1
crew during die replacement,crew nn during in_pos die jj replacement nn,NN IN JJ NN,1
crew for normal operation,crew nn for in_pos normal jj operation nn,NN IN JJ NN,1
crew function,crew nn function nn,NN NN,1
crew have,crew nns have vbp,NNS VBP,1
crew hrs,crew nn hrs nn,NN NN,1
crew index,crew nn index nn,NN NN,1
crew note,crew nn note nn,NN NN,1
crew that,crew nn that wdt,NN WDT,1
crew troubleshot,crew nn troubleshot nn,NN NN,1
crew with ht hr,crew nn with in_pos ht nn hr nn,NN IN NN NN,1
crews,crews nns,NNS,1
crimp,crimp nn,NN,1
crimp on straight length,crimp nn on in_pos straight jj length nn,NN IN JJ NN,1
crimped,crimped nn,NN,1
crimped deg,crimped vbn deg nn,VBN NN,1
crimped fitting,crimped vbd fitting vbg,VBD VBG,1
crimped on,crimped vbn on in_pos,VBN IN,1
crimper,crimper nn,NN,1
crimping,crimping vbg,VBG,1
crimps,crimps nns,NNS,1
crimps are,crimps nns are vbp,NNS VBP,1
crimps have,crimps nns have vbp,NNS VBP,1
criteria,criteria nns,NNS,1
criteria aa,criteria nns aa vbp,NNS VBP,1
critical,critical jj,JJ,1
criticality,criticality nn,NN,1
cross,cross nn,NN,1
crossbars,crossbars nns,NNS,1
crossbars are,crossbars nns are vbp,NNS VBP,1
crosscheck,crosscheck nn,NN,1
crossed,crossed vbn,VBN,1
crossed checked,crossed vbn checked vbd,VBN VBD,1
crosshead,crosshead nn,NN,1
crossheads,crossheads nns,NNS,1
crossheads look,crossheads nns look vbp,NNS VBP,1
crossover,crossover nn,NN,1
crow,crow nn,NN,1
crown,crown nn,NN,1
crown for,crown nn for in_pos,NN IN,1
crown saver,crown nn saver nn,NN NN,1
crowns,crowns nns,NNS,1
crowns have,crowns nns have vbp,NNS VBP,1
crows foot,crows nns foot nn,NNS NN,1
crush,crush nn,NN,1
crushed,crushed vbn,VBN,1
crushed because,crushed vbn because in_pos,VBN IN,1
crushed during,crushed vbn during in_pos,VBN IN,1
crushed until,crushed vbn until in_pos,VBN IN,1
crushing,crushing vbg,VBG,1
cs,cs nn,NN,1
ct,ct nn,NN,1
cu,cu nn,NN,1
cuber,cuber nn,NN,1
cubical,cubical jj,JJ,1
cubicle,cubicle nn,NN,1
cubicles,cubicles nns,NNS,1
cup,cup nn,NN,1
cupboard,cupboard nn,NN,1
cups,cups nns,NNS,1
cur,cur nn,NN,1
cure,cure nn,NN,1
cured,cured vbn,VBN,1
current,current jj,JJ,1
currently,currently rb,RB,1
currents,currents nns,NNS,1
currents are,currents nns are vbp,NNS VBP,1
curtain,curtain nn,NN,1
curve,curve nn,NN,1
curves,curves nns,NNS,1
cushion,cushion nn,NN,1
customer,customer nn,NN,1
customers,customers nns,NNS,1
cut,cut nn,NN,1
cut again,cut nn again rb,NN RB,1
cut apart,cut vbn apart rb,VBN RB,1
cut at,cut nn at in_pos,NN IN,1
cut by,cut vbn by in_pos,VBN IN,1
cut checked,cut nn checked vbd,NN VBD,1
cut down,cut vb down rp,VB RP,1
cut drill,cut nn drill nn,NN NN,1
cut free,cut nn free jj,NN JJ,1
cut ft,cut nn ft nn,NN NN,1
cut in,cut nn in in_pos,NN IN,1
cut of drill line,cut nn of in_pos drill jj line nn,NN IN JJ NN,1
cut off,cut vbn off rp,VBN RP,1
cut on,cut nn on in_pos,NN IN,1
cut on main drill,cut nn on in_pos main jj drill nn,NN IN JJ NN,1
cut out,cut vbn out rp,VBN RP,1
cut pm,cut nn pm nn,NN NN,1
cut replaced,cut nn replaced vbd,NN VBD,1
cut sense,cut nn sense nn,NN NN,1
cut short,cut vbn short jj,VBN JJ,1
cut through,cut vbn through in_pos,VBN IN,1
cut while,cut nn while in_pos,NN IN,1
cuter,cuter nn,NN,1
cutin,cutin nn,NN,1
cutoff,cutoff nn,NN,1
cutout,cutout nn,NN,1
cuts,cuts nns,NNS,1
cuts abrasion,cuts nns abrasion nn,NNS NN,1
cuts occur,cuts nns occur vbp,NNS VBP,1
cutter,cutter nn,NN,1
cutting,cutting vbg,VBG,1
cuttings,cuttings nns,NNS,1
cw,cw nn,NN,1
cyberspace,cyberspace nn,NN,1
cycle,cycle nn,NN,1
cycled,cycled vbn,VBN,1
cycled drain,cycled vbn drain nn,VBN NN,1
cycled estop,cycled vbn estop nn,VBN NN,1
cycled for,cycled vbn for in_pos,VBN IN,1
cycled from,cycled vbn from in_pos,VBN IN,1
cycled greased,cycled nns greased vbd,NNS VBD,1
cycled hydraulic,cycled vbn hydraulic jj,VBN JJ,1
cycled isolation,cycled vbn isolation nn,VBN NN,1
cycled lube,cycled vbn lube nn,VBN NN,1
cycled on,cycled vbn on in_pos,VBN IN,1
cycled open,cycled vbn open jj,VBN JJ,1
cycled power,cycled jj power nn,JJ NN,1
cycled valve,cycled vbn valve nn,VBN NN,1
cycled while,cycled vbn while in_pos,VBN IN,1
cycled with,cycled vbn with in_pos,VBN IN,1
cycles,cycles nns,NNS,1
cycles are,cycles nns are vbp,NNS VBP,1
cycles display,cycles nns display vbp,NNS VBP,1
cycles have,cycles nns have vbp,NNS VBP,1
cycles measurement,cycles nns measurement nn,NNS NN,1
cycles n,cycles nns n nns,NNS NNS,1
cycles spread,cycles nns spread vbp,NNS VBP,1
cycles t,cycles nns t vbp,NNS VBP,1
cyclical,cyclical jj,JJ,1
cycling,cycling nn,NN,1
cyl,cyl nn,NN,1
cylinder,cylinder nn,NN,1
cylinder as found bent,cylinder nn as in_pos found jj bent nn,NN IN JJ NN,1
cylinder as unforeseen damage,cylinder nn as in_pos unforeseen jj damage nn,NN IN JJ NN,1
cylinder at main air,cylinder nn at in_pos main jj air nn,NN IN JJ NN,1
cylinder for proper function,cylinder nn for in_pos proper jj function nn,NN IN JJ NN,1
cylinder for upper guide,cylinder nn for in_pos upper jj guide nn,NN IN JJ NN,1
cylinder from u deck,cylinder nn from in_pos u jj deck nn,NN IN JJ NN,1
cylinder in acceptable condition,cylinder nn in in_pos acceptable jj condition nn,NN IN JJ NN,1
cylinder in good condition,cylinder nn in in_pos good jj condition nn,NN IN JJ NN,1
cylinder in vertical position,cylinder nn in in_pos vertical jj position nn,NN IN JJ NN,1
cylinder of gripper head,cylinder nn of in_pos gripper jj head nn,NN IN JJ NN,1
cylinder of main arm,cylinder nn of in_pos main jj arm nn,NN IN JJ NN,1
cylinder on aux hydra,cylinder nn on in_pos aux nn hydra nn,NN IN NN NN,1
cylinder on main arm,cylinder nn on in_pos main jj arm nn,NN IN JJ NN,1
cylinder on spare head,cylinder nn on in_pos spare jj head nn,NN IN JJ NN,1
cylinder on upper arm,cylinder nn on in_pos upper jj arm nn,NN IN JJ NN,1
cylinder on upper guide,cylinder nn on in_pos upper jj guide nn,NN IN JJ NN,1
cylinders,cylinders nns,NNS,1
cylinders are,cylinders nns are vbp,NNS VBP,1
cylinders avoid,cylinders nns avoid vbp,NNS VBP,1
cylinders brake,cylinders nns brake vbp,NNS VBP,1
cylinders carry,cylinders nns carry vbp,NNS VBP,1
cylinders clevis,cylinders nns clevis vbp,NNS VBP,1
cylinders do,cylinders nns do vbp,NNS VBP,1
cylinders dripper,cylinders nns dripper vbp,NNS VBP,1
cylinders elevator,cylinders nns elevator vbp,NNS VBP,1
cylinders etc,cylinders nns etc vbp,NNS VBP,1
cylinders fittings,cylinders nns fittings nns,NNS NNS,1
cylinders free,cylinders nns free vbp,NNS VBP,1
cylinders grease,cylinders nns grease vbp,NNS VBP,1
cylinders have,cylinders nns have vbp,NNS VBP,1
cylinders hold,cylinders nns hold vbp,NNS VBP,1
cylinders jaw,cylinders nns jaw vbp,NNS VBP,1
cylinders load,cylinders nns load vbp,NNS VBP,1
cylinders look,cylinders nns look vbp,NNS VBP,1
cylinders ma,cylinders nns ma vbp,NNS VBP,1
cylinders need,cylinders nns need vbp,NNS VBP,1
cylinders note,cylinders nns note vbp,NNS VBP,1
cylinders overhaul,cylinders nns overhaul vbp,NNS VBP,1
cylinders port,cylinders nns port vbp,NNS VBP,1
cylinders ready,cylinders nns ready jj,NNS JJ,1
cylinders receive,cylinders nns receive vbp,NNS VBP,1
cylinders report,cylinders nns report nn,NNS NN,1
cylinders retract,cylinders nns retract vbp,NNS VBP,1
cylinders roads,cylinders nns roads nns,NNS NNS,1
cylinders rod,cylinders nns rod vbp,NNS VBP,1
cylinders rpm,cylinders nns rpm vbp,NNS VBP,1
cylinders secure,cylinders nns secure vbp,NNS VBP,1
cylinders show,cylinders nns show vbp,NNS VBP,1
cylinders test,cylinders nns test vbp,NNS VBP,1
cylinders tie,cylinders nns tie vbp,NNS VBP,1
cylinders work,cylinders nns work vbp,NNS VBP,1
cylindrical,cylindrical jj,JJ,1
d,d nn,NN,1
d are,d nn are vbp,NN VBP,1
d c,d nn c nn,NN NN,1
d during unrelated troubleshooting,d nn during in_pos unrelated jj troubleshooting nn,NN IN JJ NN,1
d for hole section,d nn for in_pos hole jj section nn,NN IN JJ NN,1
dab,dab nn,NN,1
daily,daily jj,JJ,1
dam,dam nn,NN,1
damage,damage nn,NN,1
damage at present moment,damage nn at in_pos present jj moment nn,NN IN JJ NN,1
damage in good condition,damage nn in in_pos good jj condition nn,NN IN JJ NN,1
damage on fast line,damage nn on in_pos fast jj line nn,NN IN JJ NN,1
damage over entire system,damage nn over in_pos entire jj system nn,NN IN JJ NN,1
damage upon visual inspection,damage nn upon in_pos visual jj inspection nn,NN IN JJ NN,1
damaged,damaged vbn,VBN,1
damaged adjacent,damaged vbn adjacent jj,VBN JJ,1
damaged after,damaged vbn after in_pos,VBN IN,1
damaged air,damaged vbn air nn,VBN NN,1
damaged also,damaged vbn also rb,VBN RB,1
damaged at,damaged vbn at in_pos,VBN IN,1
damaged aux,damaged vbn aux nn,VBN NN,1
damaged bearing,damaged vbn bearing nn,VBN NN,1
damaged behind,damaged vbn behind in_pos,VBN IN,1
damaged beyond,damaged vbn beyond in_pos,VBN IN,1
damaged black,damaged vbn black jj,VBN JJ,1
damaged blower,damaged vbn blower nn,VBN NN,1
damaged breaker,damaged vbn breaker nn,VBN NN,1
damaged broken,damaged vbn broken nns,VBN NNS,1
damaged bumper,damaged vbn bumper nn,VBN NN,1
damaged by,damaged vbn by in_pos,VBN IN,1
damaged cable,damaged vbn cable nn,VBN NN,1
damaged cabling,damaged vbn cabling nn,VBN NN,1
damaged cam,damaged vbn cam nn,VBN NN,1
damaged cluster,damaged vbn cluster nn,VBN NN,1
damaged condition,damaged vbn condition nn,VBN NN,1
damaged corrosion,damaged vbn corrosion nn,VBN NN,1
damaged crank,damaged vbn crank nn,VBN NN,1
damaged d,damaged vbn d nn,VBN NN,1
damaged defective,damaged vbn defective jj,VBN JJ,1
damaged die,damaged vbn die nn,VBN NN,1
damaged dirt,damaged vbn dirt nn,VBN NN,1
damaged drag,damaged vbn drag nn,VBN NN,1
damaged drill,damaged vbn drill nn,VBN NN,1
damaged due,damaged vbn due jj,VBN JJ,1
damaged during,damaged vbn during in_pos,VBN IN,1
damaged earth,damaged vbn earth nn,VBN NN,1
damaged encoder,damaged vbn encoder nn,VBN NN,1
damaged equipment,damaged vbn equipment nn,VBN NN,1
damaged ex,damaged vbn ex nn,VBN NN,1
damaged fastener,damaged vbn fastener nn,VBN NN,1
damaged female,damaged vbn female nn,VBN NN,1
damaged finger,damaged vbn finger nn,VBN NN,1
damaged fingerboard,damaged vbn fingerboard nn,VBN NN,1
damaged fitting,damaged vbn fitting nn,VBN NN,1
damaged flexible,damaged vbn flexible jj,VBN JJ,1
damaged for,damaged vbn for in_pos,VBN IN,1
damaged found,damaged vbn found vbd,VBN VBD,1
damaged from,damaged vbn from in_pos,VBN IN,1
damaged fwd,damaged vbn fwd nn,VBN NN,1
damaged gasket,damaged vbn gasket nn,VBN NN,1
damaged gauge,damaged vbn gauge nn,VBN NN,1
damaged gear,damaged vbn gear nn,VBN NN,1
damaged glide,damaged vbn glide nn,VBN NN,1
damaged good,damaged vbn good jj,VBN JJ,1
damaged grease,damaged vbn grease nn,VBN NN,1
damaged ground,damaged vbn ground nn,VBN NN,1
damaged guard,damaged vbn guard nn,VBN NN,1
damaged hardware,damaged vbn hardware nn,VBN NN,1
damaged head,damaged vbn head nn,VBN NN,1
damaged high,damaged vbn high jj,VBN JJ,1
damaged hoist,damaged vbn hoist nn,VBN NN,1
damaged hose,damaged vbn hose nn,VBN NN,1
damaged hr,damaged vbn hr nn,VBN NN,1
damaged hydra,damaged vbn hydra nn,VBN NN,1
damaged hydraulic,damaged vbn hydraulic nn,VBN NN,1
damaged in,damaged vbn in in_pos,VBN IN,1
damaged instrumentation,damaged vbn instrumentation nn,VBN NN,1
damaged jumper,damaged vbn jumper nn,VBN NN,1
damaged junction,damaged vbn junction nn,VBN NN,1
damaged key,damaged vbn key nn,VBN NN,1
damaged large,damaged vbn large jj,VBN JJ,1
damaged link,damaged vbn link nn,VBN NN,1
damaged loose,damaged vbn loose jj,VBN JJ,1
damaged lube,damaged vbn lube nn,VBN NN,1
damaged may,damaged vbn may md,VBN MD,1
damaged motor,damaged vbn motor nn,VBN NN,1
damaged n,damaged vbn n nns,VBN NNS,1
damaged near,damaged vbn near in_pos,VBN IN,1
damaged need,damaged vbn need nn,VBN NN,1
damaged not,damaged vbn not rb,VBN RB,1
damaged noted,damaged vbn noted vbd,VBN VBD,1
damaged nut,damaged vbn nut nn,VBN NN,1
damaged o,damaged vbn o nn,VBN NN,1
damaged old,damaged vbn old jj,VBN JJ,1
damaged on,damaged vbn on in_pos,VBN IN,1
damaged one,damaged vbn one cd,VBN CD,1
damaged outer,damaged vbn outer nn,VBN NN,1
damaged pigtail,damaged vbn pigtail nn,VBN NN,1
damaged pin,damaged vbn pin nn,VBN NN,1
damaged pipe,damaged vbn pipe nn,VBN NN,1
damaged piston,damaged vbn piston nn,VBN NN,1
damaged pneumatic,damaged vbn pneumatic jj,VBN JJ,1
damaged pressure,damaged vbn pressure nn,VBN NN,1
damaged prox,damaged vbn prox nn,VBN NN,1
damaged proximity,damaged vbn proximity nn,VBN NN,1
damaged refer,damaged vbn refer nn,VBN NN,1
damaged remote,damaged vbn remote nn,VBN NN,1
damaged replaced,damaged vbn replaced vbd,VBN VBD,1
damaged roger,damaged vbn roger nn,VBN NN,1
damaged roller,damaged vbn roller nn,VBN NN,1
damaged rubber,damaged vbn rubber nn,VBN NN,1
damaged same,damaged vbn same jj,VBN JJ,1
damaged secondary,damaged vbn secondary jj,VBN JJ,1
damaged sensor,damaged vbn sensor nn,VBN NN,1
damaged shaft,damaged vbn shaft nn,VBN NN,1
damaged shoe,damaged vbn shoe nn,VBN NN,1
damaged slow,damaged vbn slow jj,VBN JJ,1
damaged so,damaged vbn so rb,VBN RB,1
damaged solenoid,damaged vbn solenoid nn,VBN NN,1
damaged something,damaged vbn something nn,VBN NN,1
damaged sphere,damaged vbn sphere rb,VBN RB,1
damaged spring,damaged vbn spring nn,VBN NN,1
damaged st,damaged vbn st nn,VBN NN,1
damaged strut,damaged vbn strut nn,VBN NN,1
damaged suitable,damaged vbn suitable jj,VBN JJ,1
damaged supply,damaged vbn supply nn,VBN NN,1
damaged swivel,damaged vbn swivel nn,VBN NN,1
damaged tail,damaged vbn tail nn,VBN NN,1
damaged tension,damaged vbn tension nn,VBN NN,1
damaged terminal,damaged vbn terminal nn,VBN NN,1
damaged that,damaged vbn that in_pos,VBN IN,1
damaged then,damaged vbn then rb,VBN RB,1
damaged thread,damaged vbn thread nn,VBN NN,1
damaged to motor good,damaged vbn to to_pos motor vb good jj,VBN TO VB JJ,1
damaged tong,damaged vbn tong nn,VBN NN,1
damaged tool,damaged vbn tool nn,VBN NN,1
damaged union,damaged vbn union nn,VBN NN,1
damaged unit,damaged vbn unit nn,VBN NN,1
damaged while,damaged vbn while in_pos,VBN IN,1
damaged winch,damaged vbn winch nn,VBN NN,1
damaged wire,damaged vbn wire nn,VBN NN,1
damaged wiring,damaged vbn wiring nn,VBN NN,1
damaged with,damaged vbn with in_pos,VBN IN,1
damaged within,damaged vbn within in_pos,VBN IN,1
damaged worn,damaged vbn worn nns,VBN NNS,1
damages,damages nns,NNS,1
damages are,damages nns are vbp,NNS VBP,1
damages corrosion,damages nns corrosion nn,NNS NN,1
damages lubricate,damages nns lubricate vbp,NNS VBP,1
damages pressure,damages nns pressure nn,NNS NN,1
damages wear,damages nns wear vbp,NNS VBP,1
damaging,damaging vbg,VBG,1
dampener,dampener nn,NN,1
dampeners,dampeners nns,NNS,1
dampeners are,dampeners nns are vbp,NNS VBP,1
dampening,dampening vbg,VBG,1
damper,damper nn,NN,1
dampers,dampers nns,NNS,1
dampers appear,dampers nns appear vbp,NNS VBP,1
dampers have,dampers nns have vbp,NNS VBP,1
dampers try,dampers nns try vbp,NNS VBP,1
damping,damping vbg,VBG,1
dangerous,dangerous jj,JJ,1
dangers,dangers nns,NNS,1
daric,daric nn,NN,1
dash,dash nn,NN,1
data,data nns,NNS,1
database,database nn,NN,1
date,date nn,NN,1
dated,dated vbn,VBN,1
dated as,dated vbn as in_pos,VBN IN,1
dated label,dated vbn label nn,VBN NN,1
dates,dates nns,NNS,1
dates are,dates nns are vbp,NNS VBP,1
dates n,dates nns n vbp,NNS VBP,1
dating,dating vbg,VBG,1
day,day nn,NN,1
daylight,daylight nn,NN,1
days,days nns,NNS,1
days are,days nns are vbp,NNS VBP,1
days assist,days nns assist vbp,NNS VBP,1
days brake,days nns brake vbp,NNS VBP,1
days cabinet,days nns cabinet nn,NNS NN,1
days inspect,days nns inspect vbp,NNS VBP,1
days inspection,days nns inspection nn,NNS NN,1
days mud,days nns mud vbp,NNS VBP,1
days pm,days nns pm vbp,NNS VBP,1
days rope,days nns rope vbp,NNS VBP,1
days torque,days nns torque nn,NNS NN,1
days verify,days nns verify vbp,NNS VBP,1
db,db nn,NN,1
dc,dc nn,NN,1
dd,dd nn,NN,1
dds c,dds nns c vbp,NNS VBP,1
de,de nns,NNS,1
de bearing,de in_pos bearing vbg,IN VBG,1
de c,de in_pos c nns,IN NNS,1
de deg,de in_pos deg nn,IN NN,1
de isolate,de fw isolate nn,FW NN,1
de of motor,de in_pos of in_pos motor nn,IN IN NN,1
deactivate,deactivate nn,NN,1
deactivated,deactivated vbn,VBN,1
deactivates,deactivates nns,NNS,1
dead,dead jj,JJ,1
deadline,deadline nn,NN,1
deal,deal nn,NN,1
dealing,dealing vbg,VBG,1
dealt,dealt nn,NN,1
dear,dear nn,NN,1
death,death nn,NN,1
debris,debris nn,NN,1
debris damage,debris nn damage nn,NN NN,1
debris water,debris nn water nn,NN NN,1
dec,dec nn,NN,1
decelerate,decelerate nn,NN,1
decent,decent nn,NN,1
decide,decide nn,NN,1
decided,decided vbd,VBD,1
decided by,decided vbn by in_pos,VBN IN,1
decided during,decided vbd during in_pos,VBD IN,1
decided no,decided vbd no dt,VBD DT,1
decided that,decided vbd that in_pos,VBD IN,1
decided with,decided vbn with in_pos,VBN IN,1
decides,decides nns,NNS,1
decision,decision nn,NN,1
decisions,decisions nns,NNS,1
deck,deck nn,NN,1
decks,decks nns,NNS,1
declined,declined vbd,VBD,1
declining,declining vbg,VBG,1
decommissioned,decommissioned vbn,VBN,1
decommissioned for,decommissioned vbn for in_pos,VBN IN,1
decommissioned until,decommissioned vbn until in_pos,VBN IN,1
decompression,decompression nn,NN,1
decouple,decouple nn,NN,1
decoupling,decoupling vbg,VBG,1
decrease,decrease nn,NN,1
decreased,decreased vbn,VBN,1
decreased back,decreased vbn back rp,VBN RP,1
decreased drastically,decreased vbn drastically rb,VBN RB,1
decreased pressure,decreased jj pressure nn,JJ NN,1
decreased repair,decreased vbn repair nn,VBN NN,1
decreasing,decreasing vbg,VBG,1
dedicated,dedicated vbn,VBN,1
dedicated cooling,dedicated vbn cooling nn,VBN NN,1
deduced by,deduced vbn by in_pos,VBN IN,1
deemed,deemed vbn,VBN,1
deemed failure,deemed vbn failure nn,VBN NN,1
deemed functional,deemed vbn functional jj,VBN JJ,1
deemed req,deemed vbn req nn,VBN NN,1
deemed that,deemed vbn that in_pos,VBN IN,1
deemed to be good,deemed vbn to to_pos be vb good jj,VBN TO VB JJ,1
deemed unrepairable,deemed vbn unrepairable jj,VBN JJ,1
deep,deep nn,NN,1
deeper,deeper nn,NN,1
defect,defect nn,NN,1
defective,defective jj,JJ,1
defects,defects nns,NNS,1
defects are,defects nns are vbp,NNS VBP,1
deferential,deferential nn,NN,1
deferral,deferral jj,JJ,1
deferrals,deferrals nns,NNS,1
deferrals are,deferrals nns are vbp,NNS VBP,1
deferred,deferred vbn,VBN,1
deferring,deferring vbg,VBG,1
defiantly,defiantly rb,RB,1
