phrases,tagged_phrases,Tags,POS_TAGS_OF_PHRASE
contacting,contacting vbg,VBG,<VBG>
contactors mcc,contactors nns mcc vbp,NNS VBP,<NNS><VBP>
contacts are,contacts nns are vbp,NNS VBP,<NNS><VBP>
contains reduced,contains nns reduced vbd,NNS VBD,<NNS><VBD>
continued,continued jj,JJ,<JJ>
continuing,continuing vbg,VBG,<VBG>
continuity on contact,continuity nn on in_pos contact nn,NN IN NN,<NN><IN><NN>
continuity to earth,continuity nn to to_pos earth vb,NN TO VB,<NN><TO><VB>
contion was,contion nn was vbd,NN VBD,<NN><VBD>
control,control nn,NN,<NN>
control handbook,control nn handbook nn,NN NN,<NN><NN>
control was,control nn was vbd,NN VBD,<NN><VBD>
controllers make,controllers nns make vbp,NNS VBP,<NNS><VBP>
controls are,controls nns are vbp,NNS VBP,<NNS><VBP>
converter changed,converter nn changed vbd,NN VBD,<NN><VBD>
converter for mud,converter nn for in_pos mud nn,NN IN NN,<NN><IN><NN>
converter from mud,converter nn from in_pos mud nn,NN IN NN,<NN><IN><NN>
cooled,cooled vbn,VBN,<VBN>
cooling,cooling vbg,VBG,<VBG>
correct,correct nn,NN,<NN>
corrective,corrective nn,NN,<NN>
correctly amp,correctly rb amp nn,RB NN,<RB><NN>
correctly amps,correctly rb amps nns,RB NNS,<RB><NNS>
correctly checked,correctly rb checked vbn,RB VBN,<RB><VBN>
correctly closed,correctly rb closed vbd,RB VBD,<RB><VBD>
correctly if drilling,correctly rb if in_pos drilling nn,RB IN NN,<RB><IN><NN>
correctly mpa,correctly rb mpa nn,RB NN,<RB><NN>
correctly removed,correctly rb removed vbn,RB VBN,<RB><VBN>
correctly torque,correctly rb torque nn,RB NN,<RB><NN>
correctly visualized,correctly rb visualized vbn,RB VBN,<RB><VBN>
correctly working note,correctly rb working vbg note nn,RB VBG NN,<RB><VBG><NN>
correctlyok checked,correctlyok nn checked vbd,NN VBD,<NN><VBD>
correctlypulling,correctlypulling vbg,VBG,<VBG>
correspondence with engineering,correspondence nn with in_pos engineering nn,NN IN NN,<NN><IN><NN>
corroded,corroded vbn,VBN,<VBN>
corrosion abnormal,corrosion nn abnormal nn,NN NN,<NN><NN>
corrosion observed,corrosion nn observed vbd,NN VBD,<NN><VBD>
corrosion was,corrosion nn was vbd,NN VBD,<NN><VBD>
costing,costing vbg,VBG,<VBG>
could be removed,could md be vb removed vbn,MD VB VBN,<MD><VB><VBN>
could have attributed,could md have vb attributed vbn,MD VB VBN,<MD><VB><VBN>
could have been,could md have vb been vbn,MD VB VBN,<MD><VB><VBN>
could have caused,could md have vb caused vbn,MD VB VBN,<MD><VB><VBN>
couldnt measured,couldnt nn measured vbd,NN VBD,<NN><VBD>
counted,counted vbn,VBN,<VBN>
counter for number,counter nn for in_pos number nn,NN IN NN,<NN><IN><NN>
counters are,counters nns are vbp,NNS VBP,<NNS><VBP>
counters checked,counters nns checked vbd,NNS VBD,<NNS><VBD>
counters were,counters nns were vbd,NNS VBD,<NNS><VBD>
counters work,counters nns work vbp,NNS VBP,<NNS><VBP>
coupling,coupling vbg,VBG,<VBG>
cover fitted,cover nn fitted vbd,NN VBD,<NN><VBD>
cover for motor,cover nn for in_pos motor nn,NN IN NN,<NN><IN><NN>
cover found,cover nn found vbd,NN VBD,<NN><VBD>
cover had,cover nn had vbd,NN VBD,<NN><VBD>
cover make,cover nns make vbp,NNS VBP,<NNS><VBP>
cover on motor,cover nn on in_pos motor nn,NN IN NN,<NN><IN><NN>
cover opened,cover nn opened vbd,NN VBD,<NN><VBD>
cover removed,cover nn removed vbd,NN VBD,<NN><VBD>
cover was,cover nn was vbd,NN VBD,<NN><VBD>
covered,covered vbn,VBN,<VBN>
covers are,covers nns are vbp,NNS VBP,<NNS><VBP>
covers cleaned,covers nns cleaned vbd,NNS VBD,<NNS><VBD>
covers confirmed,covers nns confirmed vbd,NNS VBD,<NNS><VBD>
covers earth,covers nns earth vbp,NNS VBP,<NNS><VBP>
covers glands,covers nns glands nns,NNS NNS,<NNS><NNS>
covers have,covers nns have vbp,NNS VBP,<NNS><VBP>
covers inspected,covers nns inspected vbd,NNS VBD,<NNS><VBD>
covers installed,covers nns installed vbd,NNS VBD,<NNS><VBD>
covers made,covers nns made vbd,NNS VBD,<NNS><VBD>
covers motor,covers nns motor nn,NNS NN,<NNS><NN>
covers n,covers nns n vbp,NNS VBP,<NNS><VBP>
covers ok,covers nns ok vbp,NNS VBP,<NNS><VBP>
covers on drive,covers nns on in_pos drive nn,NNS IN NN,<NNS><IN><NN>
covers open,covers nns open vbp,NNS VBP,<NNS><VBP>
covers opened,covers nns opened vbd,NNS VBD,<NNS><VBD>
covers removed,covers nns removed vbd,NNS VBD,<NNS><VBD>
covers repaired,covers nns repaired vbd,NNS VBD,<NNS><VBD>
covers secure,covers nns secure vbp,NNS VBP,<NNS><VBP>
covers turned,covers nns turned vbd,NNS VBD,<NNS><VBD>
covers visualized,covers nns visualized vbd,NNS VBD,<NNS><VBD>
covers while i,covers nns while in_pos i nn,NNS IN NN,<NNS><IN><NN>
cracked,cracked vbn,VBN,<VBN>
cracks free,cracks nns free vbp,NNS VBP,<NNS><VBP>
cracks inspected,cracks nns inspected vbd,NNS VBD,<NNS><VBD>
cracks nameplate,cracks nns nameplate vbp,NNS VBP,<NNS><VBP>
cracks suiatble,cracks nns suiatble jj,NNS JJ,<NNS><JJ>
cracks washout,cracks nns washout vbp,NNS VBP,<NNS><VBP>
created,created vbn,VBN,<VBN>
crew,crew nn,NN,<NN>
crew disconnected,crew nn disconnected vbd,NN VBD,<NN><VBD>
crew had,crew nn had vbd,NN VBD,<NN><VBD>
crew noticed,crew nn noticed vbd,NN VBD,<NN><VBD>
crew on mud,crew nn on in_pos mud nn,NN IN NN,<NN><IN><NN>
crew ran,crew nn ran vbd,NN VBD,<NN><VBD>
crew to run,crew nn to to_pos run vb,NN TO VB,<NN><TO><VB>
crew with motor,crew nn with in_pos motor nn,NN IN NN,<NN><IN><NN>
critical,critical jj,JJ,<JJ>
cubical,cubical jj,JJ,<JJ>
current,current jj,JJ,<JJ>
currently available,currently rb available jj,RB JJ,<RB><JJ>
currently in lt isolation,currently rb in in_pos lt jj isolation nn,RB IN JJ NN,<RB><IN><JJ><NN>
currently on warm stack,currently rb on in_pos warm jj stack nn,RB IN JJ NN,<RB><IN><JJ><NN>
currently running production,currently rb running vbg production nn,RB VBG NN,<RB><VBG><NN>
cut,cut nn,NN,<NN>
cuts ok,cuts nns ok vbp,NNS VBP,<NNS><VBP>
cuts was,cuts nns was vbd,NNS VBD,<NNS><VBD>
cycle of pms,cycle nn of in_pos pms nn,NN IN NN,<NN><IN><NN>
cyprina,cyprina nn,NN,<NN>
d aux,d nn aux nn,NN NN,<NN><NN>
damage checked,damage nn checked vbd,NN VBD,<NN><VBD>
damage ensured,damage nn ensured vbd,NN VBD,<NN><VBD>
damage found,damage nn found vbd,NN VBD,<NN><VBD>
damage made,damage nn made vbd,NN VBD,<NN><VBD>
damage n,damage nn n nn,NN NN,<NN><NN>
damage on cover,damage nn on in_pos cover nn,NN IN NN,<NN><IN><NN>
damage on duct,damage nn on in_pos duct nn,NN IN NN,<NN><IN><NN>
damage to exterior,damage nn to to_pos exterior vb,NN TO VB,<NN><TO><VB>
damage to hoses,damage nn to to_pos hoses nns,NN TO NNS,<NN><TO><NNS>
damage to pipes,damage nn to to_pos pipes vb,NN TO VB,<NN><TO><VB>
damage to report,damage nn to to_pos report vb,NN TO VB,<NN><TO><VB>
damage to rubber,damage nn to to_pos rubber vb,NN TO VB,<NN><TO><VB>
damage visualized,damage nn visualized vbd,NN VBD,<NN><VBD>
damage was,damage nn was vbd,NN VBD,<NN><VBD>
damage were,damage nn were vbd,NN VBD,<NN><VBD>
damagechecks ok,damagechecks nns ok vbp,NNS VBP,<NNS><VBP>
damaged,damaged vbn,VBN,<VBN>
damagefound on motor,damagefound nn on in_pos motor nn,NN IN NN,<NN><IN><NN>
dampeners are,dampeners nns are vbp,NNS VBP,<NNS><VBP>
dampers try,dampers nns try vbp,NNS VBP,<NNS><VBP>
dampers were,dampers nns were vbd,NNS VBD,<NNS><VBD>
date completed,date nn completed vbd,NN VBD,<NN><VBD>
date was,date nn was vbd,NN VBD,<NN><VBD>
dates are,dates nns are vbp,NNS VBP,<NNS><VBP>
david had,david nn had vbd,NN VBD,<NN><VBD>
day to come,day nn to to_pos come vb,NN TO VB,<NN><TO><VB>
days pm,days nns pm vbp,NNS VBP,<NNS><VBP>
days pms,days nns pms vbp,NNS VBP,<NNS><VBP>
dc,dc nn,NN,<NN>
dc used,dc nn used vbn,NN VBN,<NN><VBN>
de assigned,de nns assigned vbd,NNS VBD,<NNS><VBD>
de isolated,de rb isolated vbn,RB VBN,<RB><VBN>
de of motor,de in_pos of in_pos motor nn,IN IN NN,<IN><IN><NN>
dear,dear nn,NN,<NN>
debris,debris nn,NN,<NN>
debris found,debris nn found vbd,NN VBD,<NN><VBD>
debris on blower,debris nn on in_pos blower nn,NN IN NN,<NN><IN><NN>
debrisok checked,debrisok nn checked vbd,NN VBD,<NN><VBD>
december,december nn,NN,<NN>
decided,decided vbd,VBD,<VBD>
dedicated,dedicated vbn,VBN,<VBN>
deemed,deemed vbn,VBN,<VBN>
degraded,degraded vbn,VBN,<VBN>
degrading,degrading vbg,VBG,<VBG>
degrees celsius,degrees nns celsius vbp,NNS VBP,<NNS><VBP>
degrees checked,degrees nns checked vbd,NNS VBD,<NNS><VBD>
degreesthis,degreesthis nn,NN,<NN>
degreesthis was,degreesthis nn was vbd,NN VBD,<NN><VBD>
deisolate for function,deisolate nn for in_pos function nn,NN IN NN,<NN><IN><NN>
deisolated,deisolated vbn,VBN,<VBN>
department removed,department nn removed vbd,NN VBD,<NN><VBD>
department seated,department nn seated vbd,NN VBD,<NN><VBD>
department to remove,department nn to to_pos remove vb,NN TO VB,<NN><TO><VB>
department were,department nn were vbd,NN VBD,<NN><VBD>
dept,dept nn,NN,<NN>
dept adjusted,dept nn adjusted vbd,NN VBD,<NN><VBD>
desc,desc nn,NN,<NN>
designed,designed vbn,VBN,<VBN>
details confirmed,details nns confirmed vbd,NNS VBD,<NNS><VBD>
details new,details nns new jj,NNS JJ,<NNS><JJ>
detected,detected vbn,VBN,<VBN>
deteriorating,deteriorating vbg,VBG,<VBG>
devices are,devices nns are vbp,NNS VBP,<NNS><VBP>
did,did vbd,VBD,<VBD>
didnt,didnt nn,NN,<NN>
different,different jj,JJ,<JJ>
digital,digital nn,NN,<NN>
dirt,dirt nn,NN,<NN>
dirt cleaned,dirt nn cleaned vbd,NN VBD,<NN><VBD>
dirt debris,dirt nn debris nn,NN NN,<NN><NN>
disappeared,disappeared vbd,VBD,<VBD>
disassemble,disassemble jj,JJ,<JJ>
disassembled,disassembled vbn,VBN,<VBN>
disconnect,disconnect nn,NN,<NN>
disconnected,disconnected vbn,VBN,<VBN>
disconnecting,disconnecting vbg,VBG,<VBG>
disconnection for motor,disconnection nn for in_pos motor nn,NN IN NN,<NN><IN><NN>
discussed,discussed vbn,VBN,<VBN>
dismanteling,dismanteling vbg,VBG,<VBG>
dismantled,dismantled vbn,VBN,<VBN>
dismantling,dismantling vbg,VBG,<VBG>
do feed,do vbp feed vb,VBP VB,<VBP><VB>
dobe,dobe nn,NN,<NN>
doc attached,doc nn attached vbd,NN VBD,<NN><VBD>
documented,documented vbn,VBN,<VBN>
doesnt have,doesnt nns have vbp,NNS VBP,<NNS><VBP>
done,done vbn,VBN,<VBN>
dont complete,dont nn complete jj,NN JJ,<NN><JJ>
dont found,dont nn found vbd,NN VBD,<NN><VBD>
dont have,dont nns have vbp,NNS VBP,<NNS><VBP>
dont found,dont nn found vbd,NN VBD,<NN><VBD>
door,door nn,NN,<NN>
door prepared,door nn prepared vbd,NN VBD,<NN><VBD>
double,double rb,RB,<RB>
down next,down rb next jj,RB JJ,<RB><JJ>
downloaded,downloaded vbn,VBN,<VBN>
drawing,drawing vbg,VBG,<VBG>
drawworks motor,drawworks nns motor nn,NNS NN,<NNS><NN>
dressed,dressed vbn,VBN,<VBN>
drill crew,drill nn crew nn,NN NN,<NN><NN>
drilled,drilled vbn,VBN,<VBN>
driller reported,driller nn reported vbd,NN VBD,<NN><VBD>
drillers confirmed,drillers nns confirmed vbd,NNS VBD,<NNS><VBD>
drillers console,drillers nns console vbp,NNS VBP,<NNS><VBP>
drillers consolestand,drillers nns consolestand vbp,NNS VBP,<NNS><VBP>
drilling,drilling nn,NN,<NN>
drive,drive nn,NN,<NN>
drive on drive,drive nn on in_pos drive nn,NN IN NN,<NN><IN><NN>
drives were,drives nns were vbd,NNS VBD,<NNS><VBD>
dry,dry nn,NN,<NN>
dry compressed,dry nns compressed vbd,NNS VBD,<NNS><VBD>
dry comressed,dry nns comressed vbd,NNS VBD,<NNS><VBD>
dryer removed,dryer nn removed vbd,NN VBD,<NN><VBD>
duckting,duckting vbg,VBG,<VBG>
ducting,ducting vbg,VBG,<VBG>
ducting lifted,ducting nn lifted vbd,NN VBD,<NN><VBD>
ducting of mpa,ducting nn of in_pos mpa nn,NN IN NN,<NN><IN><NN>
ducting was,ducting nn was vbd,NN VBD,<NN><VBD>
ducts belt,ducts nns belt vbd,NNS VBD,<NNS><VBD>
due,due jj,JJ,<JJ>
durinf,durinf nn,NN,<NN>
during annual,during in_pos annual jj,IN JJ,<IN><JJ>
during eow,during in_pos eow nn,IN NN,<IN><NN>
during inspection,during in_pos inspection nn,IN NN,<IN><NN>
during intrusive,during in_pos intrusive jj,IN JJ,<IN><JJ>
during mcc,during in_pos mcc nn,IN NN,<IN><NN>
during normal,during in_pos normal jj,IN JJ,<IN><JJ>
during operation,during in_pos operation nn,IN NN,<IN><NN>
during previous,during in_pos previous jj,IN JJ,<IN><JJ>
during recent,during in_pos recent jj,IN JJ,<IN><JJ>
during regular,during in_pos regular jj,IN JJ,<IN><JJ>
during run,during in_pos run nn,IN NN,<IN><NN>
during wireline,during in_pos wireline nn,IN NN,<IN><NN>
dust of ac,dust nn of in_pos ac nn,NN IN NN,<NN><IN><NN>
e increased,e nn increased vbd,NN VBD,<NN><VBD>
ea new,ea rb new jj,RB JJ,<RB><JJ>
each bearing,each dt bearing nn,DT NN,<DT><NN>
each bearings,each dt bearings nns,DT NNS,<DT><NNS>
each blower,each dt blower nn,DT NN,<DT><NN>
each condition,each dt condition nn,DT NN,<DT><NN>
each failed,each dt failed vbd,DT VBD,<DT><VBD>
each heater,each dt heater nn,DT NN,<DT><NN>
each job,each dt job nn,DT NN,<DT><NN>
each motor,each dt motor nn,DT NN,<DT><NN>
each other,each dt other jj,DT JJ,<DT><JJ>
each phase,each dt phase nn,DT NN,<DT><NN>
each pump,each dt pump nn,DT NN,<DT><NN>
each shot,each dt shot nn,DT NN,<DT><NN>
each side,each dt side nn,DT NN,<DT><NN>
earth,earth nn,NN,<NN>
earthing,earthing vbg,VBG,<VBG>
earths,earths nns,NNS,<NNS>
effort was,effort nn was vbd,NN VBD,<NN><VBD>
eic,eic nn,NN,<NN>
eic replaced,eic nn replaced vbd,NN VBD,<NN><VBD>
either motor,either dt motor nn,DT NN,<DT><NN>
elected,elected vbn,VBN,<VBN>
electricain repaired,electricain nn repaired vbd,NN VBD,<NN><VBD>
electrical,electrical jj,JJ,<JJ>
electrician,electrician jj,JJ,<JJ>
electronic,electronic jj,JJ,<JJ>
email,email nn,NN,<NN>
enclosure,enclosure nn,NN,<NN>
enclosures did,enclosures nns did vbd,NNS VBD,<NNS><VBD>
encoder alignment,encoder nn alignment nn,NN NN,<NN><NN>
end of test,end nn of in_pos test nn,NN IN NN,<NN><IN><NN>
end was,end nn was vbd,NN VBD,<NN><VBD>
ended,ended vbn,VBN,<VBN>
ending,ending vbg,VBG,<VBG>
ends are,ends nns are vbp,NNS VBP,<NNS><VBP>
engineer present,engineer nn present nn,NN NN,<NN><NN>
engineers interior,engineers nns interior vbp,NNS VBP,<NNS><VBP>
engineers perform,engineers nns perform vbp,NNS VBP,<NNS><VBP>
enlarged,enlarged vbn,VBN,<VBN>
enlarging,enlarging vbg,VBG,<VBG>
ensured,ensured vbn,VBN,<VBN>
entered,entered vbn,VBN,<VBN>
eow,eow nn,NN,<NN>
equal,equal jj,JJ,<JJ>
equiped,equiped vbd,VBD,<VBD>
equipment by vendor,equipment nn by in_pos vendor nn,NN IN NN,<NN><IN><NN>
equipment put,equipment nn put vbd,NN VBD,<NN><VBD>
equipment was,equipment nn was vbd,NN VBD,<NN><VBD>
equipment were,equipment nn were vbd,NN VBD,<NN><VBD>
equipped,equipped vbn,VBN,<VBN>
eremoved,eremoved vbn,VBN,<VBN>
estop was,estop nn was vbd,NN VBD,<NN><VBD>
estops due,estops nns due jj,NNS JJ,<NNS><JJ>
estops working,estops nns working vbg,NNS VBG,<NNS><VBG>
etc,etc nn,NN,<NN>
evaluated,evaluated vbn,VBN,<VBN>
evening,evening vbg,VBG,<VBG>
every days,every dt days nns,DT NNS,<DT><NNS>
every hour,every dt hour nn,DT NN,<DT><NN>
every hrs,every dt hrs nn,DT NN,<DT><NN>
every new,every dt new jj,DT JJ,<DT><JJ>
every year,every dt year nn,DT NN,<DT><NN>
evident,evident nn,NN,<NN>
examied,examied vbn,VBN,<VBN>
examine,examine nn,NN,<NN>
examine ac,examine nn ac nn,NN NN,<NN><NN>
examine closed,examine nn closed vbd,NN VBD,<NN><VBD>
examine ducting,examine nn ducting nn,NN NN,<NN><NN>
examined,examined vbn,VBN,<VBN>
except hex,except in_pos hex nn,IN NN,<IN><NN>
except mud,except in_pos mud nn,IN NN,<IN><NN>
except number,except in_pos number nn,IN NN,<IN><NN>
except task,except in_pos task nn,IN NN,<IN><NN>
excess,excess nn,NN,<NN>
excessive,excessive jj,JJ,<JJ>
exchangers are,exchangers nns are vbp,NNS VBP,<NNS><VBP>
exchangers were,exchangers nns were vbd,NNS VBD,<NNS><VBD>
exhaust,exhaust nn,NN,<NN>
existing,existing vbg,VBG,<VBG>
exists commisioning,exists nns commisioning vbg,NNS VBG,<NNS><VBG>
expected,expected vbn,VBN,<VBN>
exterior,exterior nn,NN,<NN>
exterior are,exterior nns are vbp,NNS VBP,<NNS><VBP>
exterior cover,exterior rb cover nn,RB NN,<RB><NN>
exterior of motor,exterior nn of in_pos motor nn,NN IN NN,<NN><IN><NN>
external,external jj,JJ,<JJ>
extract,extract nn,NN,<NN>
extremely low,extremely rb low jj,RB JJ,<RB><JJ>
eyes are,eyes nns are vbp,NNS VBP,<NNS><VBP>
f,f nn,NN,<NN>
f make,f nns make vbp,NNS VBP,<NNS><VBP>
f mar,f nn mar nn,NN NN,<NN><NN>
fabricated,fabricated vbn,VBN,<VBN>
fail,fail nn,NN,<NN>
failed,failed vbd,VBD,<VBD>
failure to rotate,failure nn to to_pos rotate vb,NN TO VB,<NN><TO><VB>
fan,fan nn,NN,<NN>
fan blade,fan nn blade nn,NN NN,<NN><NN>
fan had,fan nn had vbd,NN VBD,<NN><VBD>
fan made,fan nn made vbd,NN VBD,<NN><VBD>
fan to be,fan nn to to_pos be vb,NN TO VB,<NN><TO><VB>
fan was,fan nn was vbd,NN VBD,<NN><VBD>
fans n,fans nns n vbp,NNS VBP,<NNS><VBP>
fast,fast nn,NN,<NN>
fasteners are,fasteners nns are vbp,NNS VBP,<NNS><VBP>
fasteners cleaned,fasteners nns cleaned vbd,NNS VBD,<NNS><VBD>
fasteners dirt,fasteners nns dirt vbp,NNS VBP,<NNS><VBP>
fasteners exterior,fasteners nns exterior vbp,NNS VBP,<NNS><VBP>
fasteners grounds,fasteners nns grounds nns,NNS NNS,<NNS><NNS>
fasteners secure,fasteners nns secure vbp,NNS VBP,<NNS><VBP>
fasteners were,fasteners nns were vbd,NNS VBD,<NNS><VBD>
fastening,fastening vbg,VBG,<VBG>
fastners are,fastners nns are vbp,NNS VBP,<NNS><VBP>
fault on mud,fault nn on in_pos mud nn,NN IN NN,<NN><IN><NN>
faulting,faulting vbg,VBG,<VBG>
features are,features nns are vbp,NNS VBP,<NNS><VBP>
features were,features nns were vbd,NNS VBD,<NNS><VBD>
feb mp,feb nn mp nn,NN NN,<NN><NN>
feed,feed nn,NN,<NN>
feedback made,feedback nn made vbd,NN VBD,<NN><VBD>
feel ac,feel nn ac nns,NN NNS,<NN><NNS>
felt,felt nn,NN,<NN>
few,few jj,JJ,<JJ>
figured,figured vbn,VBN,<VBN>
file installed,file nn installed vbd,NN VBD,<NN><VBD>
filling,filling vbg,VBG,<VBG>
filter checked,filter nn checked vbd,NN VBD,<NN><VBD>
filter closed,filter nn closed vbd,NN VBD,<NN><VBD>
filter screen,filter nn screen nn,NN NN,<NN><NN>
filters are,filters nns are vbp,NNS VBP,<NNS><VBP>
filters were,filters nns were vbd,NNS VBD,<NNS><VBD>
find fwd,find vb fwd nn,VB NN,<VB><NN>
fine,fine nn,NN,<NN>
fins are,fins nns are vbp,NNS VBP,<NNS><VBP>
fins debris,fins nns debris vbp,NNS VBP,<NNS><VBP>
fins for fwd,fins nns for in_pos fwd nn,NNS IN NN,<NNS><IN><NN>
fins found,fins nns found vbd,NNS VBD,<NNS><VBD>
fins n,fins nns n vbp,NNS VBP,<NNS><VBP>
fire watched,fire nn watched vbd,NN VBD,<NN><VBD>
fit,fit nn,NN,<NN>
fitted,fitted vbn,VBN,<VBN>
fitting,fitting nn,NN,<NN>
fixed,fixed vbn,VBN,<VBN>
flange secuered,flange nn secuered vbd,NN VBD,<NN><VBD>
flange to mm,flange nn to to_pos mm vb,NN TO VB,<NN><TO><VB>
flexing,flexing vbg,VBG,<VBG>
floor ran,floor nn ran vbd,NN VBD,<NN><VBD>
floor to check,floor nn to to_pos check vb,NN TO VB,<NN><TO><VB>
floor to run,floor nn to to_pos run vb,NN TO VB,<NN><TO><VB>
followed,followed vbd,VBD,<VBD>
following,following vbg,VBG,<VBG>
follows closed,follows vbz closed vbd,VBZ VBD,<VBZ><VBD>
for abnormal,for in_pos abnormal jj,IN JJ,<IN><JJ>
for access,for in_pos access nn,IN NN,<IN><NN>
for additional,for in_pos additional jj,IN JJ,<IN><JJ>
for advice,for in_pos advice nn,IN NN,<IN><NN>
for air,for in_pos air nn,IN NN,<IN><NN>
for analysis,for in_pos analysis nn,IN NN,<IN><NN>
for approval,for in_pos approval nn,IN NN,<IN><NN>
for ay,for in_pos ay nn,IN NN,<IN><NN>
for b,for in_pos b nn,IN NN,<IN><NN>
for base,for in_pos base nn,IN NN,<IN><NN>
for below task,for in_pos below in_pos task nn,IN IN NN,<IN><IN><NN>
for choke,for in_pos choke nn,IN NN,<IN><NN>
for cleanliness,for in_pos cleanliness nn,IN NN,<IN><NN>
for conditionsand,for in_pos conditionsand nn,IN NN,<IN><NN>
for confirmation,for in_pos confirmation nn,IN NN,<IN><NN>
for correct,for in_pos correct nn,IN NN,<IN><NN>
for corrosion,for in_pos corrosion nn,IN NN,<IN><NN>
for couple,for in_pos couple nn,IN NN,<IN><NN>
for crane,for in_pos crane nn,IN NN,<IN><NN>
for damage,for in_pos damage nn,IN NN,<IN><NN>
for debris,for in_pos debris nn,IN NN,<IN><NN>
for defect,for in_pos defect nn,IN NN,<IN><NN>
for different,for in_pos different jj,IN JJ,<IN><JJ>
for dirt,for in_pos dirt nn,IN NN,<IN><NN>
for disconnected,for in_pos disconnected vbn,IN VBN,<IN><VBN>
for drill,for in_pos drill nn,IN NN,<IN><NN>
for drive,for in_pos drive nn,IN NN,<IN><NN>
for ex,for in_pos ex nn,IN NN,<IN><NN>
for excessive,for in_pos excessive jj,IN JJ,<IN><JJ>
for explosion,for in_pos explosion nn,IN NN,<IN><NN>
for function,for in_pos function nn,IN NN,<IN><NN>
for further,for in_pos further jj,IN JJ,<IN><JJ>
for future,for in_pos future jj,IN JJ,<IN><JJ>
for galling,for in_pos galling vbg,IN VBG,<IN><VBG>
for good,for in_pos good jj,IN JJ,<IN><JJ>
for hand,for in_pos hand nn,IN NN,<IN><NN>
for hazardous,for in_pos hazardous jj,IN JJ,<IN><JJ>
for high,for in_pos high jj,IN JJ,<IN><JJ>
for hot,for in_pos hot jj,IN JJ,<IN><JJ>
for hrs,for in_pos hrs nn,IN NN,<IN><NN>
for impeller,for in_pos impeller nn,IN NN,<IN><NN>
for in wc,for in_pos in in_pos wc nn,IN IN NN,<IN><IN><NN>
for information,for in_pos information nn,IN NN,<IN><NN>
for inspection,for in_pos inspection nn,IN NN,<IN><NN>
for insulation,for in_pos insulation nn,IN NN,<IN><NN>
for ir,for in_pos ir nn,IN NN,<IN><NN>
for j,for in_pos j nn,IN NN,<IN><NN>
for job,for in_pos job nn,IN NN,<IN><NN>
for leaks,for in_pos leaks nns,IN NNS,<IN><NNS>
for location,for in_pos location nn,IN NN,<IN><NN>
for long,for in_pos long rb,IN RB,<IN><RB>
for loose,for in_pos loose jj,IN JJ,<IN><JJ>
for lubrication,for in_pos lubrication nn,IN NN,<IN><NN>
for main,for in_pos main jj,IN JJ,<IN><JJ>
for major,for in_pos major jj,IN JJ,<IN><JJ>
for make,for in_pos make nn,IN NN,<IN><NN>
for manual,for in_pos manual jj,IN JJ,<IN><JJ>
for mech,for in_pos mech nn,IN NN,<IN><NN>
for mechanical,for in_pos mechanical jj,IN JJ,<IN><JJ>
for minute,for in_pos minute nn,IN NN,<IN><NN>
for motor,for in_pos motor nn,IN NN,<IN><NN>
for mp,for in_pos mp nn,IN NN,<IN><NN>
for mpb,for in_pos mpb nn,IN NN,<IN><NN>
for mud,for in_pos mud nn,IN NN,<IN><NN>
for nov,for in_pos nov nn,IN NN,<IN><NN>
for order,for in_pos order nn,IN NN,<IN><NN>
for overhaul,for in_pos overhaul nn,IN NN,<IN><NN>
for pm,for in_pos pm nn,IN NN,<IN><NN>
for possible,for in_pos possible jj,IN JJ,<IN><JJ>
for proper,for in_pos proper jj,IN JJ,<IN><JJ>
for pump,for in_pos pump nn,IN NN,<IN><NN>
for purpose,for in_pos purpose nn,IN NN,<IN><NN>
for rebuild,for in_pos rebuild nn,IN NN,<IN><NN>
for removal,for in_pos removal nn,IN NN,<IN><NN>
for repleshiment,for in_pos repleshiment nn,IN NN,<IN><NN>
for restore,for in_pos restore nn,IN NN,<IN><NN>
for rewind,for in_pos rewind nn,IN NN,<IN><NN>
for rotation,for in_pos rotation nn,IN NN,<IN><NN>
for rr,for in_pos rr nn,IN NN,<IN><NN>
for safe,for in_pos safe jj,IN JJ,<IN><JJ>
for sec,for in_pos sec nn,IN NN,<IN><NN>
for skid,for in_pos skid nn,IN NN,<IN><NN>
for spare,for in_pos spare nn,IN NN,<IN><NN>
for standpipe,for in_pos standpipe nn,IN NN,<IN><NN>
for step,for in_pos step nn,IN NN,<IN><NN>
for tco,for in_pos tco nn,IN NN,<IN><NN>
for temperature,for in_pos temperature nn,IN NN,<IN><NN>
for test,for in_pos test nn,IN NN,<IN><NN>
for tightness,for in_pos tightness nn,IN NN,<IN><NN>
for timeline,for in_pos timeline nn,IN NN,<IN><NN>
for torque,for in_pos torque nn,IN NN,<IN><NN>
for unusual,for in_pos unusual jj,IN JJ,<IN><JJ>
for use,for in_pos use nn,IN NN,<IN><NN>
for vibration,for in_pos vibration nn,IN NN,<IN><NN>
for visual,for in_pos visual jj,IN JJ,<IN><JJ>
for water,for in_pos water nn,IN NN,<IN><NN>
forward,forward rb,RB,<RB>
forwarded,forwarded vbn,VBN,<VBN>
found,found nn,NN,<NN>
found nothing,found vbn nothing nn,VBN NN,<VBN><NN>
foundation checked,foundation nn checked vbd,NN VBD,<NN><VBD>
foundation got,foundation nn got vbd,NN VBD,<NN><VBD>
foundation in place,foundation nn in in_pos place nn,NN IN NN,<NN><IN><NN>
foundation inspected,foundation nn inspected vbd,NN VBD,<NN><VBD>
