phrases,tagged_phrases,phrases_for_model,phrases_for_model_index,predicted_class,predicted_class_probabilities,indicator_of_score
calibrations,calibrations nns,"['calibrations', 'nns']","[3733, 4376]",2,"[0.04316908, 0.03112486, 0.8456712]",0
call,call nn,"['call', 'nn']","[1413, 4373]",2,"[0.011667669, 0.07724708, 0.9388008]",0
called,called vbn,"['called', 'vbn']","[810, 4372]",2,"[0.25158674, 0.15956429, 0.5128011]",0
calls out,calls nns out rp,"['calls', 'nns', 'out', 'rp']","[4144, 4376, 19, 4384]",2,"[0.03507614, 0.014673382, 0.66420037]",0
cam,cam nn,"['cam', 'nn']","[360, 4373]",2,"[0.0105935335, 0.063623875, 0.92726636]",0
came,came vbd,"['came', 'vbd']","[1017, 4380]",2,"[0.006223649, 0.062096506, 0.9461907]",0
cameras,cameras nns,"['cameras', 'nns']","[4351, 4376]",2,"[0.042319924, 0.02916044, 0.8493385]",0
cams,cams nns,"['cams', 'nns']","[2285, 4376]",2,"[0.041072905, 0.037509978, 0.8512429]",0
can be closed,can md be vb closed vbn,"['can', 'md', 'be', 'vb', 'closed', 'vbn']","[388, 4382, 49, 4383, 182, 4372]",2,"[0.0068682134, 0.10087305, 0.83826935]",0
can be coded,can md be vb coded vbn,"['can', 'md', 'be', 'vb', 'coded', 'vbn']","[388, 4382, 49, 4383, 885, 4372]",2,"[0.001706779, 0.013255984, 0.9820707]",0
can be issued,can md be vb issued vbn,"['can', 'md', 'be', 'vb', 'issued', 'vbn']","[388, 4382, 49, 4383, 23, 4372]",2,"[1.6723854e-07, 5.0577677e-05, 0.9995252]",1
can be located,can md be vb located vbn,"['can', 'md', 'be', 'vb', 'located', 'vbn']","[388, 4382, 49, 4383, 614, 4372]",2,"[0.0025931299, 0.015296966, 0.97770554]",0
can be repaired,can md be vb repaired vbn,"['can', 'md', 'be', 'vb', 'repaired', 'vbn']","[388, 4382, 49, 4383, 616, 4372]",2,"[0.0024878085, 0.016658247, 0.9763837]",0
can be shutdown,can md be vb shutdown vbn,"['can', 'md', 'be', 'vb', 'shutdown', 'vbn']","[388, 4382, 49, 4383, 1211, 4372]",2,"[0.0015611947, 0.01793456, 0.9755128]",0
cancel,cancel nn,"['cancel', 'nn']","[2291, 4373]",2,"[0.037882566, 0.0438132, 0.903245]",0
canceled,canceled vbn,"['canceled', 'vbn']","[919, 4372]",2,"[0.23756373, 0.170295, 0.528277]",0
canceling,canceling vbg,"['canceling', 'vbg']","[3922, 4388]",2,"[0.017652929, 0.03968498, 0.948359]",0
cancelled,cancelled vbn,"['cancelled', 'vbn']","[69, 4372]",1,"[6.483949e-05, 0.9911773, 0.005300075]",1
cancelling,cancelling vbg,"['cancelling', 'vbg']","[3814, 4388]",2,"[0.016491234, 0.042546064, 0.94527537]",0
cancled,cancled vbn,"['cancled', 'vbn']","[3818, 4372]",2,"[0.38933143, 0.045323074, 0.45781395]",0
cancles,cancles nns,"['cancles', 'nns']","[3059, 4376]",2,"[0.041945547, 0.032324135, 0.8492375]",0
canclled,canclled vbn,"['canclled', 'vbn']","[2278, 4372]",2,"[0.33030534, 0.068730116, 0.50344557]",0
cant,cant nn,"['cant', 'nn']","[1836, 4373]",2,"[0.016317636, 0.07457465, 0.935785]",0
cap,cap nn,"['cap', 'nn']","[170, 4373]",2,"[0.0036171377, 0.13878316, 0.86856997]",0
capability,capability nn,"['capability', 'nn']","[1328, 4373]",2,"[0.010705292, 0.07407832, 0.941334]",0
capable,capable jj,"['capable', 'jj']","[3999, 4378]",2,"[0.0939914, 0.019981444, 0.7885426]",0
caps,caps nns,"['caps', 'nns']","[480, 4376]",2,"[0.06295264, 0.09936127, 0.5873474]",0
capscrew,capscrew nn,"['capscrew', 'nn']","[1402, 4373]",2,"[0.008133024, 0.070198864, 0.94615]",0
capss,capss nn,"['capss', 'nn']","[3270, 4373]",2,"[0.031350315, 0.04856336, 0.9159594]",0
captured,captured vbn,"['captured', 'vbn']","[1442, 4372]",2,"[0.20687369, 0.1687977, 0.5777797]",0
carbon,carbon nn,"['carbon', 'nn']","[1428, 4373]",2,"[0.010857075, 0.07224831, 0.9427279]",0
card,card nn,"['card', 'nn']","[1296, 4373]",2,"[0.010821909, 0.0749872, 0.9407803]",0
cards,cards nns,"['cards', 'nns']","[2488, 4376]",2,"[0.04307434, 0.034986734, 0.84656334]",0
care,care nn,"['care', 'nn']","[1737, 4373]",2,"[0.016016096, 0.07255462, 0.93716335]",0
cargo,cargo nn,"['cargo', 'nn']","[3530, 4373]",2,"[0.04492572, 0.035627127, 0.88961434]",0
carlos,carlos nn,"['carlos', 'nn']","[3931, 4373]",2,"[0.045643747, 0.034622967, 0.8883107]",0
carried,carried vbn,"['carried', 'vbn']","[148, 4372]",0,"[0.64519453, 0.36608937, 0.017332405]",0
carrier,carrier nn,"['carrier', 'nn']","[918, 4373]",2,"[0.008289188, 0.060378224, 0.94952667]",0
carring,carring vbg,"['carring', 'vbg']","[3696, 4388]",2,"[0.01699689, 0.04234934, 0.94525194]",0
carry,carry nn,"['carry', 'nn']","[887, 4373]",2,"[0.009098232, 0.06333086, 0.9477072]",0
cart,cart nn,"['cart', 'nn']","[931, 4373]",2,"[0.009495109, 0.06673831, 0.9459033]",0
cartridge,cartridge nn,"['cartridge', 'nn']","[2102, 4373]",2,"[0.021510154, 0.06173119, 0.9337765]",0
cas,cas nn,"['cas', 'nn']","[3669, 4373]",2,"[0.03698179, 0.043203205, 0.90522796]",0
case,case nn,"['case', 'nn']","[169, 4373]",2,"[0.057326376, 0.24038038, 0.41659427]",0
casegood,casegood nn,"['casegood', 'nn']","[4109, 4373]",2,"[0.037827045, 0.04192102, 0.9028324]",0
casing,casing vbg,"['casing', 'vbg']","[1899, 4388]",2,"[0.01708901, 0.062483013, 0.9141751]",0
cast,cast nn,"['cast', 'nn']","[2556, 4373]",2,"[0.021903813, 0.064460844, 0.93146974]",0
castrol,castrol nn,"['castrol', 'nn']","[2225, 4373]",2,"[0.028000534, 0.053389907, 0.92149246]",0
catcher,catcher nn,"['catcher', 'nn']","[2656, 4373]",2,"[0.045086205, 0.036537588, 0.8884015]",0
catching,catching vbg,"['catching', 'vbg']","[3291, 4388]",2,"[0.01793018, 0.042037487, 0.94493663]",0
cause,cause nn,"['cause', 'nn']","[1359, 4373]",2,"[0.011319786, 0.07629952, 0.9398396]",0
caused,caused vbn,"['caused', 'vbn']","[1934, 4372]",2,"[0.24707758, 0.109791756, 0.56693566]",0
causing,causing vbg,"['causing', 'vbg']","[1582, 4388]",2,"[0.014841586, 0.08154106, 0.89284676]",0
cavity,cavity nn,"['cavity', 'nn']","[500, 4373]",2,"[0.010009736, 0.0579468, 0.9396899]",0
cc,cc nn,"['cc', 'nn']","[1273, 4373]",2,"[0.01257804, 0.08072615, 0.9365914]",0
ceded,ceded vbn,"['ceded', 'vbn']","[3172, 4372]",2,"[0.36836565, 0.05123648, 0.47343603]",0
celeste,celeste nn,"['celeste', 'nn']","[1617, 4373]",2,"[0.014291257, 0.07680833, 0.9368998]",0
celestearnoldnovcom,celestearnoldnovcom nn,"['celestearnoldnovcom', 'nn']","[2349, 4373]",2,"[0.020914495, 0.06520787, 0.93307227]",0
cell,cell nn,"['cell', 'nn']","[1550, 4373]",2,"[0.014257431, 0.073699355, 0.9384307]",0
cement,cement nn,"['cement', 'nn']","[1106, 4373]",2,"[0.009857714, 0.072175175, 0.94269896]",0
center,center nn,"['center', 'nn']","[303, 4373]",2,"[0.015385896, 0.037505, 0.92017174]",0
centertop,centertop nn,"['centertop', 'nn']","[3015, 4373]",2,"[0.028831452, 0.050603032, 0.92039406]",0
centre,centre nn,"['centre', 'nn']","[1531, 4373]",2,"[0.0119894445, 0.07846889, 0.9384562]",0
centrifugal,centrifugal nn,"['centrifugal', 'nn']","[2990, 4373]",2,"[0.036317408, 0.043562174, 0.9065732]",0
ceramic,ceramic jj,"['ceramic', 'jj']","[678, 4378]",2,"[0.011529803, 0.09479913, 0.8960893]",0
cert,cert nn,"['cert', 'nn']","[1000, 4373]",2,"[0.010896295, 0.074590325, 0.9409051]",0
certification,certification nn,"['certification', 'nn']","[1278, 4373]",2,"[0.01113081, 0.07659575, 0.9396974]",0
certified,certified vbn,"['certified', 'vbn']","[1677, 4372]",2,"[0.31817245, 0.06939274, 0.52033454]",0
certs,certs nns,"['certs', 'nns']","[1176, 4376]",2,"[0.049130738, 0.04981491, 0.8143555]",0
chain,chain nn,"['chain', 'nn']","[297, 4373]",2,"[0.024338663, 0.10807654, 0.82055664]",0
chains,chains nns,"['chains', 'nns']","[862, 4376]",2,"[0.050878704, 0.056918174, 0.77728134]",0
chair,chair nn,"['chair', 'nn']","[2018, 4373]",2,"[0.018439949, 0.069609225, 0.93587536]",0
chamber,chamber nn,"['chamber', 'nn']","[704, 4373]",2,"[0.010005504, 0.06108293, 0.94364536]",0
chambers,chambers nns,"['chambers', 'nns']","[493, 4376]",2,"[0.05068937, 0.086593926, 0.69126666]",0
chance,chance nn,"['chance', 'nn']","[2471, 4373]",2,"[0.016729593, 0.06891897, 0.93822575]",0
chandra,chandra nn,"['chandra', 'nn']","[2941, 4373]",2,"[0.052805394, 0.031047285, 0.87423515]",0
change,change nn,"['change', 'nn']","[116, 4373]",2,"[0.010480225, 0.43015403, 0.5188217]",0
changed,changed vbn,"['changed', 'vbn']","[55, 4372]",1,"[0.15090176, 0.8569016, 0.022239387]",0
changeout,changeout nn,"['changeout', 'nn']","[3025, 4373]",2,"[0.031181812, 0.050483137, 0.9157108]",0
changes,changes nns,"['changes', 'nns']","[1611, 4376]",2,"[0.043208152, 0.048026294, 0.83939266]",0
changied,changied vbn,"['changied', 'vbn']","[2570, 4372]",2,"[0.36425015, 0.05121723, 0.47855622]",0
changing,changing vbg,"['changing', 'vbg']","[720, 4388]",2,"[0.0067994, 0.2364046, 0.7415049]",0
characteristics,characteristics nns,"['characteristics', 'nns']","[2226, 4376]",2,"[0.045563698, 0.04672402, 0.8327166]",0
charge,charge nn,"['charge', 'nn']","[211, 4373]",2,"[0.015205294, 0.2054117, 0.73970807]",0
charged,charged vbn,"['charged', 'vbn']","[602, 4372]",2,"[0.3113319, 0.15394667, 0.3979177]",0
charger,charger nn,"['charger', 'nn']","[1898, 4373]",2,"[0.013537794, 0.08121514, 0.93546957]",0
charging,charging vbg,"['charging', 'vbg']","[521, 4388]",2,"[0.0037763715, 0.29185766, 0.69608045]",0
chart attached,chart nn attached vbd,"['chart', 'nn', 'attached', 'vbd']","[3348, 4373, 121, 4380]",2,"[0.004662603, 0.006174922, 0.96155536]",0
charted,charted vbn,"['charted', 'vbn']","[3677, 4372]",2,"[0.40358755, 0.029491574, 0.46355963]",0
charts,charts nns,"['charts', 'nns']","[1987, 4376]",2,"[0.04377383, 0.039061785, 0.8406942]",0
check,check nn,"['check', 'nn']","[174, 4373]",2,"[0.03599021, 0.21776801, 0.6069398]",0
checked,checked nns,"['checked', 'nns']","[26, 4376]",0,"[0.8847332, 0.033774644, 0.0059946775]",0
checkedjob,checkedjob nn,"['checkedjob', 'nn']","[3351, 4373]",2,"[0.031217009, 0.048030823, 0.9162786]",0
checkedliner,checkedliner nn,"['checkedliner', 'nn']","[3717, 4373]",2,"[0.04924339, 0.0321334, 0.8808422]",0
checking,checking vbg,"['checking', 'vbg']","[741, 4388]",2,"[0.0077748895, 0.19181272, 0.7862021]",0
checks,checks nns,"['checks', 'nns']","[220, 4376]",1,"[0.067604035, 0.38803607, 0.17702535]",0
cheecking,cheecking vbg,"['cheecking', 'vbg']","[4077, 4388]",2,"[0.017763495, 0.045918792, 0.9394144]",0
chemicals,chemicals nns,"['chemicals', 'nns']","[2820, 4376]",2,"[0.044572353, 0.02751872, 0.84397185]",0
chevron,chevron nn,"['chevron', 'nn']","[2970, 4373]",2,"[0.041885138, 0.038705587, 0.89503616]",0
chief,chief nn,"['chief', 'nn']","[1244, 4373]",2,"[0.012359679, 0.08194417, 0.93598807]",0
china,china nn,"['china', 'nn']","[2157, 4373]",2,"[0.022674322, 0.064322054, 0.92971766]",0
chiselled,chiselled vbn,"['chiselled', 'vbn']","[3675, 4372]",2,"[0.37611303, 0.047941476, 0.46613842]",0
chnage,chnage nn,"['chnage', 'nn']","[2140, 4373]",2,"[0.026020288, 0.058502257, 0.9246657]",0
choke,choke nn,"['choke', 'nn']","[1597, 4373]",2,"[0.013220221, 0.07702047, 0.9379187]",0
christie,christie nn,"['christie', 'nn']","[2748, 4373]",2,"[0.031573057, 0.04972163, 0.9148644]",0
chrome,chrome nn,"['chrome', 'nn']","[2358, 4373]",2,"[0.021625131, 0.06461379, 0.931409]",0
circuit,circuit nn,"['circuit', 'nn']","[1665, 4373]",2,"[0.014811605, 0.07418233, 0.93771946]",0
circulating,circulating vbg,"['circulating', 'vbg']","[1607, 4388]",2,"[0.015274078, 0.072134376, 0.90327305]",0
circulation,circulation nn,"['circulation', 'nn']","[2388, 4373]",2,"[0.023407489, 0.059277177, 0.9302422]",0
cjc,cjc nn,"['cjc', 'nn']","[4052, 4373]",2,"[0.039010644, 0.04083529, 0.9012278]",0
cl,cl nn,"['cl', 'nn']","[2221, 4373]",2,"[0.020713896, 0.05830446, 0.9365747]",0
claim,claim nn,"['claim', 'nn']","[1953, 4373]",2,"[0.019287705, 0.06828928, 0.93493664]",0
clam,clam nn,"['clam', 'nn']","[4099, 4373]",2,"[0.03478709, 0.045916855, 0.9092616]",0
clamp,clamp nn,"['clamp', 'nn']","[986, 4373]",2,"[0.009811133, 0.06933808, 0.9447306]",0
clamped,clamped nn,"['clamped', 'nn']","[3573, 4373]",2,"[0.034448624, 0.04575506, 0.90974545]",0
clamping,clamping vbg,"['clamping', 'vbg']","[377, 4388]",1,"[0.00866881, 0.44998544, 0.43930322]",0
clamps,clamps nns,"['clamps', 'nns']","[426, 4376]",2,"[0.061977, 0.092033535, 0.598023]",0
classed,classed vbn,"['classed', 'vbn']","[2399, 4372]",2,"[0.3116389, 0.07584056, 0.51919156]",0
classification,classification nn,"['classification', 'nn']","[1619, 4373]",2,"[0.012717783, 0.07830888, 0.9379829]",0
clean,clean nn,"['clean', 'nn']","[198, 4373]",2,"[0.00906229, 0.10851744, 0.87741137]",0
clean out,clean nn out rp,"['clean', 'nn', 'out', 'rp']","[198, 4373, 19, 4384]",1,"[0.28784794, 0.4397208, 0.024494857]",0
cleand,cleand nn,"['cleand', 'nn']","[2540, 4373]",2,"[0.018616796, 0.068464786, 0.9359263]",0
cleaned,cleaned vbn,"['cleaned', 'vbn']","[75, 4372]",0,"[0.6953301, 0.33376974, 0.012404472]",0
cleaness,cleaness nn,"['cleaness', 'nn']","[4076, 4373]",2,"[0.024238467, 0.057796746, 0.9287889]",0
cleaning,cleaning nn,"['cleaning', 'nn']","[356, 4373]",2,"[0.013982832, 0.08518118, 0.8941256]",0
cleanout,cleanout nn,"['cleanout', 'nn']","[540, 4373]",2,"[0.011143684, 0.06372163, 0.93334323]",0
cleanouts,cleanouts nns,"['cleanouts', 'nns']","[1044, 4376]",2,"[0.054231703, 0.050257027, 0.7937199]",0
clear,clear jj,"['clear', 'jj']","[590, 4378]",2,"[0.018763214, 0.080711454, 0.9010841]",0
clear flushed,clear jj flushed vbd,"['clear', 'jj', 'flushed', 'vbd']","[590, 4378, 792, 4380]",2,"[0.0080055, 0.018078804, 0.966779]",0
clearance,clearance nn,"['clearance', 'nn']","[105, 4373]",2,"[0.03141901, 0.0068490207, 0.9306996]",0
clearances,clearances nns,"['clearances', 'nns']","[477, 4376]",2,"[0.047862798, 0.050770223, 0.77382994]",0
cleared,cleared vbn,"['cleared', 'vbn']","[1390, 4372]",2,"[0.24829707, 0.11337477, 0.55991125]",0
clearences,clearences nns,"['clearences', 'nns']","[1484, 4376]",2,"[0.045970976, 0.042075634, 0.8382708]",0
clerances,clerances nns,"['clerances', 'nns']","[3803, 4376]",2,"[0.044000357, 0.030156255, 0.842535]",0
client,client nn,"['client', 'nn']","[874, 4373]",2,"[0.0103217065, 0.07445896, 0.94134885]",0
clients,clients nns,"['clients', 'nns']","[1914, 4376]",2,"[0.045958072, 0.046064615, 0.83336157]",0
clipper,clipper nn,"['clipper', 'nn']","[940, 4373]",2,"[0.009806573, 0.06443891, 0.9464437]",0
clogged,clogged vbn,"['clogged', 'vbn']","[526, 4372]",2,"[0.302729, 0.17729416, 0.38578987]",0
clogging,clogging vbg,"['clogging', 'vbg']","[580, 4388]",2,"[0.0069354475, 0.1963532, 0.78237486]",0
clogs,clogs nns,"['clogs', 'nns']","[2423, 4376]",2,"[0.044094294, 0.0425539, 0.83926487]",0
clooging,clooging vbg,"['clooging', 'vbg']","[3115, 4388]",2,"[0.013390273, 0.030240595, 0.9646909]",0
close,close rb,"['close', 'rb']","[390, 4371]",0,"[0.41804135, 0.14730856, 0.26348203]",0
close open,close rb open jj,"['close', 'rb', 'open', 'jj']","[390, 4371, 320, 4378]",0,"[0.99102384, 0.0004182756, 0.012635112]",1
closed,closed vbd,"['closed', 'vbd']","[182, 4380]",1,"[0.0041120946, 0.53303057, 0.40161747]",0
closely monitored,closely rb monitored vbn,"['closely', 'rb', 'monitored', 'vbn']","[2705, 4371, 903, 4372]",0,"[0.94728327, 0.00455004, 0.02963391]",0
closer,closer nn,"['closer', 'nn']","[2044, 4373]",2,"[0.02123022, 0.06407681, 0.93236107]",0
closing,closing nn,"['closing', 'nn']","[679, 4373]",2,"[0.009411424, 0.06778017, 0.94154197]",0
cly,cly nn,"['cly', 'nn']","[1534, 4373]",2,"[0.0207645, 0.06464973, 0.93305224]",0
cm,cm nn,"['cm', 'nn']","[669, 4373]",2,"[0.0056548715, 0.06548709, 0.94811463]",0
cmd,cmd nn,"['cmd', 'nn']","[3962, 4373]",2,"[0.0359478, 0.044172972, 0.9080508]",0
cnr,cnr nn,"['cnr', 'nn']","[3555, 4373]",2,"[0.045428246, 0.035400003, 0.8875028]",0
coat,coat nn,"['coat', 'nn']","[2963, 4373]",2,"[0.042567194, 0.03789714, 0.8938304]",0
coated,coated vbn,"['coated', 'vbn']","[1725, 4372]",2,"[0.25230432, 0.10840306, 0.56225497]",0
code,code nn,"['code', 'nn']","[2519, 4373]",2,"[0.032148182, 0.04861638, 0.91372675]",0
coded,coded vbn,"['coded', 'vbn']","[885, 4372]",2,"[0.26269785, 0.17734748, 0.4794673]",0
coding,coding vbg,"['coding', 'vbg']","[1284, 4388]",2,"[0.012230068, 0.08705506, 0.8917556]",0
codition,codition nn,"['codition', 'nn']","[3816, 4373]",2,"[0.02522394, 0.06063211, 0.92586243]",0
coeect,coeect nn,"['coeect', 'nn']","[3853, 4373]",2,"[0.031026304, 0.05029279, 0.9159475]",0
coffin,coffin nn,"['coffin', 'nn']","[2651, 4373]",2,"[0.027261674, 0.053904086, 0.9230772]",0
coffins,coffins nns,"['coffins', 'nns']","[2421, 4376]",2,"[0.043685943, 0.041805148, 0.84182024]",0
collected,collected vbn,"['collected', 'vbn']","[1506, 4372]",2,"[0.26176354, 0.10079646, 0.55690056]",0
color,color nn,"['color', 'nn']","[1165, 4373]",2,"[0.009421319, 0.07279378, 0.94322014]",0
combined,combined vbn,"['combined', 'vbn']","[3846, 4372]",2,"[0.35639393, 0.053778023, 0.4879918]",0
come,come vb,"['come', 'vb']","[807, 4383]",2,"[0.016448677, 0.19001165, 0.8179699]",0
comfirmation,comfirmation nn,"['comfirmation', 'nn']","[3659, 4373]",2,"[0.04685697, 0.034178823, 0.88590866]",0
coming,coming vbg,"['coming', 'vbg']","[464, 4388]",2,"[0.0069325864, 0.37498713, 0.5692509]",0
comleted,comleted vbn,"['comleted', 'vbn']","[2294, 4372]",2,"[0.32303387, 0.069470614, 0.5107439]",0
command,command nn,"['command', 'nn']","[1192, 4373]",2,"[0.00974375, 0.072107434, 0.9431789]",0
commenced,commenced nns,"['commenced', 'nns']","[2108, 4376]",2,"[0.044210106, 0.030473351, 0.84296465]",0
comments,comments nns,"['comments', 'nns']","[2064, 4376]",2,"[0.046085566, 0.039035052, 0.835144]",0
commissioning,commissioning vbg,"['commissioning', 'vbg']","[3963, 4388]",2,"[0.01495564, 0.032310247, 0.9610035]",0
commitment,commitment nn,"['commitment', 'nn']","[1712, 4373]",2,"[0.014797509, 0.07927418, 0.93517554]",0
commitments,commitments nns,"['commitments', 'nns']","[2370, 4376]",2,"[0.04355377, 0.0422934, 0.8439169]",0
company,company nn,"['company', 'nn']","[1986, 4373]",2,"[0.019568235, 0.06633714, 0.9352547]",0
compare,compare nn,"['compare', 'nn']","[1735, 4373]",2,"[0.015215546, 0.07806212, 0.9352771]",0
compared,compared vbn,"['compared', 'vbn']","[2374, 4372]",2,"[0.32577875, 0.0690175, 0.50882596]",0
comparrison,comparrison nn,"['comparrison', 'nn']","[3926, 4373]",2,"[0.022083342, 0.06141308, 0.93136185]",0
compartment,compartment nn,"['compartment', 'nn']","[2082, 4373]",2,"[0.01919803, 0.06700891, 0.9355293]",0
compartments,compartments nns,"['compartments', 'nns']","[1556, 4376]",2,"[0.047180742, 0.04163426, 0.8339815]",0
compents,compents nns,"['compents', 'nns']","[3994, 4376]",2,"[0.043162286, 0.031458497, 0.8459779]",0
competed,competed vbn,"['competed', 'vbn']","[3027, 4372]",2,"[0.39523503, 0.027427226, 0.47542524]",0
compl,compl nn,"['compl', 'nn']","[518, 4373]",2,"[0.0014184117, 0.099315524, 0.9272514]",0
complete,complete jj,"['complete', 'jj']","[241, 4378]",2,"[0.013144165, 0.25683567, 0.6902472]",0
completed,completed vbn,"['completed', 'vbn']","[72, 4372]",1,"[0.46939144, 0.7301895, 0.0044240355]",0
completely dead,completely rb dead jj,"['completely', 'rb', 'dead', 'jj']","[1343, 4371, 1749, 4378]",0,"[0.98689044, 0.0013366044, 0.00673607]",0
completely excluded,completely rb excluded vbd,"['completely', 'rb', 'excluded', 'vbd']","[1343, 4371, 3068, 4380]",2,"[0.01745513, 0.055512995, 0.944119]",0
completely shut,completely rb shut nn,"['completely', 'rb', 'shut', 'nn']","[1343, 4371, 696, 4373]",0,"[0.88303494, 0.009842604, 0.06607896]",0
completing,completing vbg,"['completing', 'vbg']","[1536, 4388]",2,"[0.01364848, 0.074900925, 0.9033679]",0
completion,completion nn,"['completion', 'nn']","[647, 4373]",2,"[0.009270012, 0.057918966, 0.94624764]",0
completions,completions nns,"['completions', 'nns']","[1964, 4376]",2,"[0.04479018, 0.042998582, 0.8379833]",0
componenets,componenets nns,"['componenets', 'nns']","[1543, 4376]",2,"[0.048117936, 0.04728222, 0.8272169]",0
component,component nn,"['component', 'nn']","[1098, 4373]",2,"[0.0097821355, 0.072689325, 0.9426775]",0
components,components nns,"['components', 'nns']","[302, 4376]",2,"[0.04566163, 0.2572425, 0.38565114]",0
comsuming,comsuming vbg,"['comsuming', 'vbg']","[3366, 4388]",2,"[0.01524356, 0.039946288, 0.95018697]",0
con,con nn,"['con', 'nn']","[2149, 4373]",2,"[0.020579547, 0.062292308, 0.93432367]",0
concentrate,concentrate nn,"['concentrate', 'nn']","[3711, 4373]",2,"[0.033111513, 0.046138823, 0.91379905]",0
concentrations,concentrations nns,"['concentrations', 'nns']","[4041, 4376]",2,"[0.044511586, 0.03459218, 0.83747435]",0
condemn,condemn nn,"['condemn', 'nn']","[3625, 4373]",2,"[0.04172954, 0.03857535, 0.894557]",0
condensate,condensate nn,"['condensate', 'nn']","[474, 4373]",2,"[0.011902839, 0.060032815, 0.9381516]",0
condensatechecked,condensatechecked nns,"['condensatechecked', 'nns']","[2835, 4376]",2,"[0.042493284, 0.034852624, 0.845042]",0
condensated,condensated vbn,"['condensated', 'vbn']","[4366, 4372]",2,"[0.3966614, 0.031819165, 0.46741652]",0
condensatedrained,condensatedrained vbn,"['condensatedrained', 'vbn']","[2826, 4372]",2,"[0.38040334, 0.035286874, 0.48690972]",0
condition,condition nn,"['condition', 'nn']","[63, 4373]",1,"[0.093573034, 0.46872184, 0.12579006]",0
conditions,conditions nns,"['conditions', 'nns']","[146, 4376]",2,"[0.14674789, 0.072515815, 0.27740282]",0
conditionwith,conditionwith nn,"['conditionwith', 'nn']","[4064, 4373]",2,"[0.02540806, 0.05761844, 0.92682]",0
conditon,conditon nn,"['conditon', 'nn']","[1766, 4373]",2,"[0.017929763, 0.069463134, 0.9367833]",0
conditons,conditons nns,"['conditons', 'nns']","[3536, 4376]",2,"[0.041855693, 0.034345686, 0.84982187]",0
condtion,condtion nn,"['condtion', 'nn']","[984, 4373]",2,"[0.0105190575, 0.07017842, 0.9436819]",0
conducted,conducted vbn,"['conducted', 'vbn']","[1384, 4372]",2,"[0.20811585, 0.1376678, 0.60148203]",0
conductied,conductied vbn,"['conductied', 'vbn']","[3993, 4372]",2,"[0.36575425, 0.05095452, 0.47799706]",0
conducting,conducting vbg,"['conducting', 'vbg']","[3830, 4388]",2,"[0.016333133, 0.035884142, 0.9551858]",0
confidential,confidential nn,"['confidential', 'nn']","[3424, 4373]",2,"[0.026795745, 0.05546707, 0.92341447]",0
confimred,confimred vbn,"['confimred', 'vbn']","[2637, 4372]",2,"[0.38265446, 0.036375493, 0.4827385]",0
confirm,confirm nn,"['confirm', 'nn']","[849, 4373]",2,"[0.009695828, 0.067133814, 0.9455577]",0
confirmation,confirmation nn,"['confirmation', 'nn']","[2362, 4373]",2,"[0.021810383, 0.059880316, 0.9326209]",0
confirmed,confirmed vbn,"['confirmed', 'vbn']","[316, 4372]",0,"[0.466704, 0.2763154, 0.11495364]",0
confusing,confusing vbg,"['confusing', 'vbg']","[4127, 4388]",2,"[0.015752733, 0.04157883, 0.9471723]",0
conirmed,conirmed vbn,"['conirmed', 'vbn']","[2757, 4372]",2,"[0.3911599, 0.03400114, 0.47727492]",0
conjuction,conjuction nn,"['conjuction', 'nn']","[1920, 4373]",2,"[0.013639748, 0.080123246, 0.93584824]",0
conjunction,conjunction nn,"['conjunction', 'nn']","[897, 4373]",2,"[0.009239793, 0.066253185, 0.94490623]",0
connect,connect nn,"['connect', 'nn']","[1053, 4373]",2,"[0.009860218, 0.070420474, 0.9441197]",0
connected,connected vbn,"['connected', 'vbn']","[875, 4372]",2,"[0.26310727, 0.16363779, 0.49222448]",0
connecting,connecting vbg,"['connecting', 'vbg']","[438, 4388]",2,"[0.0055024326, 0.26300347, 0.6935413]",0
connection,connection nn,"['connection', 'nn']","[1518, 4373]",2,"[0.011845261, 0.07774362, 0.9386477]",0
connectiong,connectiong nn,"['connectiong', 'nn']","[4335, 4373]",2,"[0.03274101, 0.047691166, 0.9128635]",0
connections,connections nns,"['connections', 'nns']","[881, 4376]",2,"[0.04752198, 0.057170928, 0.7878783]",0
connector,connector nn,"['connector', 'nn']","[2072, 4373]",2,"[0.023656338, 0.060191274, 0.9292047]",0
connectors,connectors nns,"['connectors', 'nns']","[755, 4376]",2,"[0.0516437, 0.06861934, 0.7353611]",0
connectorsno,connectorsno nn,"['connectorsno', 'nn']","[2696, 4373]",2,"[0.036506295, 0.04271382, 0.90604943]",0
conrod,conrod nn,"['conrod', 'nn']","[1904, 4373]",2,"[0.0147264, 0.07501152, 0.9372796]",0
conrods,conrods nns,"['conrods', 'nns']","[2403, 4376]",2,"[0.04321885, 0.041176915, 0.8424943]",0
consecutive,consecutive jj,"['consecutive', 'jj']","[2919, 4378]",2,"[0.109556496, 0.014984459, 0.77047205]",0
consistent,consistent nn,"['consistent', 'nn']","[4011, 4373]",2,"[0.027724355, 0.0552333, 0.92252976]",0
console confirmed,console nn confirmed vbd,"['console', 'nn', 'confirmed', 'vbd']","[1464, 4373, 316, 4380]",2,"[0.0028312206, 0.010584384, 0.9701326]",0
constant,constant jj,"['constant', 'jj']","[2470, 4378]",2,"[0.039481044, 0.048597455, 0.89150476]",0
