,extracted_date,JOBNUM,JOB_DEC_INST_TEXT_COMB_x,AVA_score_pred_khat,AVA_score_pred_khat_bayes,AVA_score_pred_pmi,AVA_class_pred_khat,AVA_class_pred_khat_bayes,AVA_class_pred_pmi,AVA_score_pred_khat_with_negation,AVA_score_pred_khat_bayes_with_negation,AVA_score_pred_pmi_with_negation,AVA_class_pred_khat_with_negation,AVA_class_pred_khat_bayes_with_negation,AVA_class_pred_pmi_with_negation,pred_khat_ava_array_with_neg,pred_khat_bayes_ava_array_with_neg,pred_pmi_ava_array_with_neg,pred_khat_ava_array,pred_khat_bayes_ava_array,pred_pmi_ava_array,JobType,NOV Random Rig Code,SYSTEM,COMPONENT,JOB_DEC_INST_TEXT_COMB_y,Negation_Scope_Processed,Need Repair 3,Repaired as good as new 1,Working fine 2,Combined Labels,JobSchedDate,JobStartDate,JobClosedDate,DatePurchased,DeactivationDate,date_diff_extract_minus_start,number_of_positive,number_of_negative,number_of_neutral,combined_neu_pos_neg,sentence_lenght,AVA_class_pred_pmi_with_negation_numeric,AVA_class_pred_khat_bayes_with_negation_numeric,AVA_class_pred_khat_with_negation_numeric,AVA_class_pred_pmi_numeric,AVA_class_pred_khat_bayes_numeric,AVA_class_pred_khat_numeric
393,2019-01-06 20:21:00,2220014184967, Inspected hoses and fittings replaced as needed. all QD been replaced to parts previously ordered on job 22299002035.. Inspect and replace cooling hoses on MPs liner wash.. Inspect and replace liner wash/cooling hoses on MPs.,"[1.1918, 1.7497, 1.5585]","[1.3119, 1.6525, 1.5356]","[12.3488, 9.2621, -17.1109]",positive,positive,neutral,"[1.187, 1.7108, 1.6022]","[1.3071, 1.6137, 1.5792]","[12.3488, 9.2621, -17.1109]",positive,positive,neutral,"[0.3174597282120144, -0.30859300366244047, -0.1042153261642875]","[0.19730935184792348, -0.18844262730123967, -0.03004789442678519]","[-2.530035283864369, 19.16755821834353, -18.05427928493152]","[0.3174597282120152, -0.29897328572331594, -0.1819135808252639]","[0.19730935184792348, -0.1788229112707774, -0.10771857926964105]","[-2.530035283864369, 19.16755821834353, -18.05427928493152]",Corrective,8060,HPMS,MP, Inspected hoses and fittings replaced as needed. all QD been replaced to parts previously ordered on job 22299002035.. Inspect and replace cooling hoses on MPs liner wash.. Inspect and replace liner wash/cooling hoses on MPs.,,,1.0,,1,1/10/2019 0:00,1/3/2019 16:48,1/6/2019 20:21,2/12/2009 0:00,,3 days 03:33:50,4,1,3,"[3, 4, 1]",37,2,1,1,2,1,1
403,2019-01-16 02:19:00,2220014185369, Equipment is back in Service Replace MP#4 Seat and valve on Discharge #3----------. Replace MP#4 Seat and valve on Discharge #3. Breakdown Job,"[1.0605, 1.6465, 1.793]","[1.1501, 1.6017, 1.7482]","[-2.547, 3.6472, 3.3998]",positive,positive,positive,"[1.0605, 1.6465, 1.793]","[1.1501, 1.6017, 1.7482]","[-2.547, 3.6472, 3.3998]",positive,positive,positive,"[0.4394685043531987, -0.4394685043412687, 0.14648357991383684]","[0.3499428051416836, -0.3499428051348058, 0.14648357991373062]","[4.538040230533486, -3.5559724750074206, 0.2435871096899369]","[0.4394685043532, -0.4394685043532001, 0.14648950138617983]","[0.3499428051416836, -0.3499428051416836, 0.14648950139007408]","[4.538040230533486, -3.5559724750074206, 0.2435871096899369]",Corrective,8060,HPMS,FEND, Equipment is back in Service Replace MP#4 Seat and valve on Discharge #3----------. Replace MP#4 Seat and valve on Discharge #3. Breakdown Job,,,1.0,,1,1/16/2019 0:00,1/16/2019 0:00,1/17/2019 6:01,7/4/2009 0:00,,0 days 02:19:39,3,1,0,"[0, 3, 1]",20,1,1,1,1,1,1
405,2019-01-18 08:40:00,2220014185510, It was informed that bracket/mouting of Liner washer pressure switch for Mud pump #2 broke and the sensor was kept hanging. Replaced the sensor with new one in warehouse as there is no way to fix the bracket/mounting. Adjsuted the pressure setting as per old sensor. Need to test when operation permits.----------. Replace Liner Washer Pressure Switch on Mudpump #2. Breakdown Job,"[1.4163, 1.4999, 1.5838]","[1.4163, 1.4999, 1.5839]","[33.968, -22.8694, -6.5985]",positive,positive,negative,"[1.4153, 1.4597, 1.625]","[1.4153, 1.4597, 1.625]","[33.968, -22.8694, -6.5985]",positive,positive,negative,"[0.07887517392352128, -0.09045895481108718, 0.15952638683755427]","[0.07887517392352089, -0.09045895481108696, 0.15952638684166479]","[-52.97054762219122, 11.965376563390027, -4.231660208808178]","[0.07697435809758543, -0.09045895481310111, 0.07719816564831747]","[0.07697435809758484, -0.09045895481310136, 0.0772475568882185]","[-52.97054762219122, 11.965376563390027, -4.231660208808178]",Corrective,8060,HPMS,MP, It was informed that bracket/mouting of Liner washer pressure switch for Mud pump #2 broke and the sensor was kept hanging. Replaced the sensor with new one in warehouse as there is no way to fix the bracket/mounting. Adjsuted the pressure setting as per old sensor. Need to test when operation permits.----------. Replace Liner Washer Pressure Switch on Mudpump #2. Breakdown Job,there is no way to_fix the bracket mounting. ,,1.0,,1,1/18/2019 0:00,1/18/2019 0:00,1/20/2019 8:42,2/12/2009 0:00,,0 days 08:40:08,2,5,0,"[0, 2, 5]",65,3,1,1,3,1,1
407,2019-01-18 19:15:00,2220014185532, Function Test Mud Pump #3 Blower B observed an abnormal noise and strong vibration. Informed Supervisor. Open PTW and Energy Isolation for Replacing Blower Motor B on Mud Pump #3 disconnected supply cable unbolt all Mounting bolt. Assisted Deck crew on removing the defective Blower Motor. Unbolt all louver assembly ducting and reinstalled on the spare blower Motor. Extracted broken Bolt on Blower Mounting Plate of the Main Mud Pump 3 Motor. Ongoing jobs.----------. Replace Blower B on Mud Pump #3. Breakdown Job,"[1.4509, 1.4646, 1.5845]","[1.4461, 1.4837, 1.5702]","[62.4889, -27.6063, -30.3826]",positive,positive,neutral,"[1.4479, 1.4607, 1.5914]","[1.4439, 1.4742, 1.5819]","[62.4889, -27.6063, -30.3826]",positive,positive,neutral,"[0.03415530814133577, -0.07002233006196638, 0.11273754362989148]","[0.04212568650864621, -0.070022330061967, 0.09373683832374596]","[-90.06137451851562, 31.916448350245158, -31.848706861040796]","[0.028269785655322226, -0.0700223300634112, 0.09898509419820195]","[0.037716670300887684, -0.0700223300634114, 0.07033803657853521]","[-90.06137451851562, 31.916448350245158, -31.848706861040796]",Corrective,8060,HPMS,MTR, Function Test Mud Pump #3 Blower B observed an abnormal noise and strong vibration. Informed Supervisor. Open PTW and Energy Isolation for Replacing Blower Motor B on Mud Pump #3 disconnected supply cable unbolt all Mounting bolt. Assisted Deck crew on removing the defective Blower Motor. Unbolt all louver assembly ducting and reinstalled on the spare blower Motor. Extracted broken Bolt on Blower Mounting Plate of the Main Mud Pump 3 Motor. Ongoing jobs.----------. Replace Blower B on Mud Pump #3. Breakdown Job,pump disconnected supply. ,1.0,,,3,1/18/2019 0:00,1/18/2019 0:00,1/22/2019 10:40,2/9/2009 0:00,,0 days 19:15:58,2,9,1,"[1, 2, 9]",84,2,1,1,2,1,1
408,2019-01-20 19:58:00,2220014185608, Mud Pump #3B Blower Motor Send for Overhaul----------. Mud Pump #3B Blower Motor Send for Overhaul. Mud Pump #3B Blower Motor Send for Overhaul,"[1.212, 1.4992, 1.7888]","[1.4241, 1.4237, 1.6521]","[11.307, -10.5054, 3.6984]",positive,negative,negative,"[1.2049, 1.5367, 1.7584]","[1.4183, 1.4507, 1.6309]","[11.307, -10.5054, 3.6984]",positive,positive,negative,"[0.2517626256614721, -0.33844126197278684, 0.1783885608852569]","[0.045406339560465414, -0.11792445913663048, 0.14393314477164776]","[-23.14789370085394, -3.533920807425737, 0.862809761165817]","[0.23753927965360563, -0.3384412619731541, 0.2392139776831324]","[0.033846026083130566, -0.11792445913675462, 0.18637439901904976]","[-23.14789370085394, -3.533920807425737, 0.862809761165817]",Corrective,8060,HPMS,MTR, Mud Pump #3B Blower Motor Send for Overhaul----------. Mud Pump #3B Blower Motor Send for Overhaul. Mud Pump #3B Blower Motor Send for Overhaul,,1.0,,,3,,1/20/2019 19:57,4/15/2019 0:00,2/9/2009 0:00,,0 days 00:01:44,3,3,0,"[0, 3, 3]",26,3,1,1,3,3,1
416,2019-01-27 05:24:00,2220014185910, Replace discharge strainer flange gasket. Replace one damaged nut.----------. Replace Discharge strainer gasket on MP#4. Breakdown Job,"[1.0375, 1.5633, 1.8992]","[1.2461, 1.5004, 1.7535]","[9.9131, -12.3461, 6.933]",positive,positive,negative,"[1.0375, 1.5486, 1.9139]","[1.2461, 1.4928, 1.7611]","[9.9131, -12.3461, 6.933]",positive,positive,negative,"[0.4624773265706429, -0.46247732655189183, 0.36536965534075333]","[0.2539125387813747, -0.25391253877364284, 0.26828086645078125]","[-26.41451753396901, -9.588336049523473, 1.2775887579526124]","[0.4624773265706451, -0.4624773265706451, 0.3359499751472562]","[0.2539125387813747, -0.2539125387813777, 0.2530966227167038]","[-26.41451753396901, -9.588336049523473, 1.2775887579526124]",Corrective,8060,HPMS,FEND, Replace discharge strainer flange gasket. Replace one damaged nut.----------. Replace Discharge strainer gasket on MP#4. Breakdown Job,,1.0,,,3,1/27/2019 0:00,1/27/2019 0:00,1/29/2019 0:24,7/4/2009 0:00,,0 days 05:24:39,3,4,0,"[0, 3, 4]",19,3,1,1,3,1,1
462,2019-03-20 10:06:00,2220014188130, Parts Requested from ICS:----------. Change out wiper seals and gear oil due to water ingress. Change out wiper seals and gear oil due to water ingress,"[1.5096, 1.4361, 1.5543]","[1.5096, 1.4361, 1.5543]","[22.4883, -15.871, -2.1173]",negative,negative,negative,"[1.5028, 1.4429, 1.5543]","[1.5028, 1.4429, 1.5543]","[22.4883, -15.871, -2.1173]",negative,negative,negative,"[-0.005605988017987009, 0.0, 0.10864166849996937]","[-0.005605988017987005, 0.0, 0.1086416684998604]","[-31.47721443610594, 10.499358915678584, 3.2647243518077484]","[-0.01924261445728179, 0.0, 0.10865088469881432]","[-0.019242614457281763, 0.0, 0.10865088470727066]","[-31.47721443610594, 10.499358915678584, 3.2647243518077484]",Corrective,8060,HPMS,MP, Parts Requested from ICS:----------. Change out wiper seals and gear oil due to water ingress. Change out wiper seals and gear oil due to water ingress,,1.0,,,3,4/6/2019 0:00,3/20/2019 9:50,3/25/2019 4:35,2/12/2009 0:00,,0 days 00:16:35,0,1,0,"[0, 0, 1]",27,3,3,3,3,3,3
518,2017-01-15 11:47:00,2230014156737," Carried out inspection of the Mud Pump blowers All nuts bolts fastening and earth bonds in place and tight and secure. No signs of damage observed. Removed all mechanical and screen filters and cleaned. All filters in good condition.. SPM-C_MTR_ALL-BLOWER_90-ELECTRICAL. NOTE: Perform Task 1 to Task 3 on non-closed loop cooling system. 1. Visually examine AC Motor blower vent for conditions listed below: - damage - dirt - debris build up 2. If fitted, clean or replace filter/screen as required. 3. If fitted, visually examine spark arrester for damage. 4. Make sure that the duct work is free from conditions listed below: - rust - dirt - leaks - damage 5. If fitted, remove plug and drain the housing for the demister/moisture separator. NOT","[1.4325, 1.5904, 1.4771]","[1.4418, 1.5811, 1.4771]","[123.0793, 40.992, -159.5713]",positive,positive,neutral,"[1.4406, 1.5932, 1.4662]","[1.4494, 1.5835, 1.4672]","[123.0793, 40.992, -159.5713]",positive,positive,neutral,"[0.10263310662586723, -0.01618349235907152, -0.08381159235452788]","[0.08504562585125855, -0.01618349235904167, -0.08186871793371978]","[-55.69317815254402, 187.46536864587387, -134.67716083669765]","[0.10830067690877272, -0.02673977521519317, -0.07259223572910153]","[0.09071319613416377, -0.025641075639107364, -0.0715115753996825]","[-55.69317815254402, 187.46536864587387, -134.67716083669765]",Prevent Maint,6060,HPMS,MTR," Carried out inspection of the Mud Pump blowers All nuts bolts fastening and earth bonds in place and tight and secure. No signs of damage observed. Removed all mechanical and screen filters and cleaned. All filters in good condition.. SPM-C_MTR_ALL-BLOWER_90-ELECTRICAL. NOTE: Perform Task 1 to Task 3 on non-closed loop cooling system. 1. Visually examine AC Motor blower vent for conditions listed below: - damage - dirt - debris build up 2. If fitted, clean or replace filter/screen as required. 3. If fitted, visually examine spark arrester for damage. 4. Make sure that the duct work is free from conditions listed below: - rust - dirt - leaks - damage 5. If fitted, remove plug and drain the housing for the demister/moisture separator. NOT",not. no signs of_damage observed. ,,,1.0,2,1/26/2017 0:00,1/15/2017 6:40,1/15/2017 11:47,8/31/2009 0:00,,0 days 05:07:10,5,7,9,"[9, 5, 7]",123,2,1,1,2,1,1
557,2017-02-23 10:27:00,2230014158467, Parts Requested from ICS:. Fluid End Inspection of Mud pumps. Replaced Stem Guide on Fluid end of MP#3 all Suction modules due to wear and tear. Replaced Valve Cap seals on Fluid End of MP#3 Discharge#1 and #3 modules and on Fluid End of MP#4 Discharge#1 and #3 modules due to wear and tear. Replaced Valves on Fluid End of MP#4 Discharge #3 and Suction #3 modules due to wear and tear.,"[1.3867, 1.5208, 1.5925]","[1.4667, 1.4807, 1.5526]","[39.2376, -40.67, 5.9323]",positive,positive,negative,"[1.3839, 1.4063, 1.7098]","[1.4639, 1.4522, 1.5838]","[39.2376, -40.67, 5.9323]",positive,negative,negative,"[0.11640661565785966, -0.11572783946870557, 0.3037826836900667]","[0.03640875533526308, -0.035729979146391394, 0.13196287007476692]","[-44.17489501389369, 31.300327404260777, 40.16501954997196]","[0.10916291981684165, -0.11744604467843572, 0.06764995727348332]","[0.02916505949424508, -0.03744818563766432, 0.06770391492303271]","[-44.17489501389369, 31.300327404260777, 40.16501954997196]",Corrective,6060,HPMS,FEND, Parts Requested from ICS:. Fluid End Inspection of Mud pumps. Replaced Stem Guide on Fluid end of MP#3 all Suction modules due to wear and tear. Replaced Valve Cap seals on Fluid End of MP#3 Discharge#1 and #3 modules and on Fluid End of MP#4 Discharge#1 and #3 modules due to wear and tear. Replaced Valves on Fluid End of MP#4 Discharge #3 and Suction #3 modules due to wear and tear.,,,1.0,,1,2/23/2017 0:00,2/23/2017 10:26,2/23/2017 17:51,9/1/2009 0:00,,0 days 00:01:18,3,8,1,"[1, 3, 8]",68,3,3,1,3,1,1
558,2017-02-28 04:48:00,2230014158683, Parts Requested from ICS:. Fluid end inspection on Mud Pump #2. Cap Seal to be replaced on MP#2 Suction Module #2 due to leak from the weep hole.,"[1.5464, 1.3683, 1.5853]","[1.5464, 1.3681, 1.5855]","[5.1033, -8.0893, 7.486]",negative,negative,negative,"[1.5386, 1.2964, 1.6651]","[1.5386, 1.2964, 1.6651]","[5.1033, -8.0893, 7.486]",negative,negative,negative,"[-0.037594456896227396, 0.039512492516404187, 0.3697040013427636]","[-0.03759445689622738, 0.039512492516556856, 0.36970400136905124]","[-6.975128689388464, 0.2313903579236607, 12.203455340999138]","[-0.058063157592216044, 0.03465731514098961, 0.2053399737396221]","[-0.05806315759221601, 0.034657311518902716, 0.2057141730730399]","[-6.975128689388464, 0.2313903579236607, 12.203455340999138]",Corrective,6060,HPMS,FEND, Parts Requested from ICS:. Fluid end inspection on Mud Pump #2. Cap Seal to be replaced on MP#2 Suction Module #2 due to leak from the weep hole.,,1.0,,,3,2/27/2017 0:00,2/27/2017 20:43,2/28/2017 5:21,9/1/2009 0:00,,0 days 08:05:22,0,4,1,"[1, 0, 4]",24,3,3,3,3,3,3
562,2017-03-04 04:35:00,2230014158915, Replaced Swab on MP#3 Fluid end #2 due to leak.. Replace Swab on MP#3. Replaced Swab On Mud Pump #3 Fluid End #2 due to leak.,"[1.1366, 1.6271, 1.7362]","[1.2517, 1.5695, 1.6788]","[-12.0109, -4.8727, 21.3837]",positive,positive,positive,"[1.1339, 1.5138, 1.8523]","[1.249, 1.5197, 1.7313]","[-12.0109, -4.8727, 21.3837]",positive,positive,positive,"[0.3497494719302024, -0.3823946726128356, 0.32211483044597533]","[0.234679670676681, -0.267324871359807, 0.19519034282075742]","[8.062841519236425, -18.959051270213372, 20.80825890391256]","[0.3443926273298377, -0.38239467261901827, 0.09009357601053039]","[0.22932282607631574, -0.26732487136550115, 0.09023276950140842]","[8.062841519236425, -18.959051270213372, 20.80825890391256]",Corrective,6060,HPMS,FEND, Replaced Swab on MP#3 Fluid end #2 due to leak.. Replace Swab on MP#3. Replaced Swab On Mud Pump #3 Fluid End #2 due to leak.,,,1.0,,1,3/4/2017 0:00,3/4/2017 4:33,3/5/2017 5:55,9/1/2009 0:00,,0 days 00:02:45,3,3,0,"[0, 3, 3]",23,1,1,1,1,1,1
566,2017-03-08 03:04:00,2230014159096, Replaced washed out Swab on MP#4 Module #2.. Replaced Swab on MP# 4 Mod# 2. Replaced washed out Swab on MP#4 Module #2.,"[1.0375, 1.7312, 1.7312]","[1.3228, 1.5886, 1.5886]","[-31.5789, 7.0435, 29.0354]",positive,positive,positive,"[1.0375, 1.5771, 1.8854]","[1.3228, 1.5111, 1.6661]","[-31.5789, 7.0435, 29.0354]",positive,positive,positive,"[0.4624773265706451, -0.4624773265688057, 0.30831783455318296]","[0.17724935337855996, -0.1772493533779201, 0.1549742890620883]","[36.861026928805614, -29.2967502345118, 25.77407884987439]","[0.4624773265706451, -0.4624773265706451, 0.0]","[0.17724935337855996, -0.17724935337855996, 0.0]","[36.861026928805614, -29.2967502345118, 25.77407884987439]",Corrective,6060,HPMS,FEND, Replaced washed out Swab on MP#4 Module #2.. Replaced Swab on MP# 4 Mod# 2. Replaced washed out Swab on MP#4 Module #2.,,,1.0,,1,3/8/2017 0:00,3/8/2017 3:00,3/8/2017 3:04,9/1/2009 0:00,,0 days 00:04:27,3,2,0,"[0, 3, 2]",19,1,1,1,1,1,1
568,2017-03-12 11:13:00,2230014159303," Job completed as per work instruction.All good in working condition.. SPM-S_PRV-HPMS_WEIR-SPM_30-INSTRUMENTATION. NOTE: If any signs of leakage are found, complete remote control unit must be replaced through Weir. 1. Visually examine pneumatic system components listed below for leaks and damage: - Hoses - Tubing - Fittings 2. Make sure that the nitrogen source is sufficient and there are no leaks. 3. Make sure that all gauges are working correctly. 4. Make sure that all control knobs are working correctly","[1.4335, 1.5491, 1.5175]","[1.4335, 1.5488, 1.5177]","[196.9057, -62.5606, -129.8451]",positive,positive,neutral,"[1.4287, 1.5689, 1.5024]","[1.4287, 1.5675, 1.5038]","[196.9057, -62.5606, -129.8451]",positive,positive,neutral,"[0.06993658744093321, -0.07261255189050063, -0.06781901862128163]","[0.06993658744093342, -0.07261255189050128, -0.06507941810381151]","[-205.37505518904467, 185.43638810046568, -77.25382436027503]","[0.06054874409606373, -0.07253382252960251, -0.03759425673482171]","[0.06054874409606325, -0.0725338225452681, -0.03706831891309321]","[-205.37505518904467, 185.43638810046568, -77.25382436027503]",Prevent Maint,6060,HPMS,PRV," Job completed as per work instruction.All good in working condition.. SPM-S_PRV-HPMS_WEIR-SPM_30-INSTRUMENTATION. NOTE: If any signs of leakage are found, complete remote control unit must be replaced through Weir. 1. Visually examine pneumatic system components listed below for leaks and damage: - Hoses - Tubing - Fittings 2. Make sure that the nitrogen source is sufficient and there are no leaks. 3. Make sure that all gauges are working correctly. 4. Make sure that all control knobs are working correctly",there are no leaks. ,,,1.0,2,3/14/2017 0:00,3/12/2017 11:11,3/12/2017 11:13,5/20/2011 0:00,,0 days 00:02:02,2,3,7,"[7, 2, 3]",81,2,1,1,2,1,1
575,2017-03-26 15:46:00,2230014160067, This blower has an abnormal noise coming from this I would suggest if you get a chance when well testing have a look at this. Not sure what the noise is it does not sound like bearings more with the impeller.----------. MP#1 Blower B noise issue. Breakdown Job,"[1.5, 1.5305, 1.4695]","[1.5, 1.5305, 1.4695]","[71.0176, -26.4391, -40.0785]",neutral,neutral,neutral,"[1.5, 1.53, 1.47]","[1.5, 1.53, 1.47]","[71.0176, -26.4391, -40.0785]",neutral,neutral,neutral,"[0.0, 0.0, -0.05997063140660937]","[0.0, 0.0, -0.059970631406652306]","[-79.74064263277373, 59.29452376707942, -23.862404011687467]","[0.0, 0.0, -0.06098598552647108]","[0.0, 0.0, -0.06098304108949076]","[-79.74064263277373, 59.29452376707942, -23.862404011687467]",Corrective,6060,HPMS,MTR, This blower has an abnormal noise coming from this I would suggest if you get a chance when well testing have a look at this. Not sure what the noise is it does not sound like bearings more with the impeller.----------. MP#1 Blower B noise issue. Breakdown Job,not sure what the noise is it does not sound like bearings more with the impeller. ,1.0,,,3,3/26/2017 0:00,3/26/2017 0:00,5/6/2017 11:36,8/31/2009 0:00,,0 days 15:46:02,0,2,3,"[3, 0, 2]",49,2,2,2,2,2,2
599,2017-06-12 15:12:00,2230014163355, Replace Pressure Regulators on Control Panel for pumps 3 and 4. Mud pump 3 & 4 - change out nitrogen regulators for the Weir pop off valves. TP informed that mud pump 3 & 4 nitrogen regulators of weir pop off valves are creeping and need to change .,"[1.4458, 1.4232, 1.631]","[1.4436, 1.4321, 1.6243]","[48.0237, -39.0905, -4.4332]",negative,negative,negative,"[1.4425, 1.3622, 1.6953]","[1.4407, 1.4065, 1.6528]","[48.0237, -39.0905, -4.4332]",negative,negative,negative,"[0.037696344024754906, -0.07728186296711405, 0.3133132475347695]","[0.04131009435241531, -0.07728186296711416, 0.22834579889534234]","[-80.87886678035606, 12.168512539505477, 0.30211678894134053]","[0.031200642698328084, -0.07728186297024779, 0.1848151867013057]","[0.03550783366994959, -0.07728186297024875, 0.17122453304235946]","[-80.87886678035606, 12.168512539505477, 0.30211678894134053]",Corrective,6060,HPMS,MP, Replace Pressure Regulators on Control Panel for pumps 3 and 4. Mud pump 3 & 4 - change out nitrogen regulators for the Weir pop off valves. TP informed that mud pump 3 & 4 nitrogen regulators of weir pop off valves are creeping and need to change .,,1.0,,,3,3/9/2017 0:00,6/12/2017 15:08,6/12/2017 15:12,10/22/2009 0:00,,0 days 00:04:24,1,5,0,"[0, 1, 5]",38,3,3,3,3,3,3
626,2017-08-16 22:36:00,2230014166208, Replaced washed out swab on MP#2 cylinder #1 and #3 during fluid end inspection. Replace Swab on MP#2 Cylinder#3. Replaced washed out swab on MP#2 cylinder #3,"[1.1508, 1.6919, 1.6572]","[1.2611, 1.6368, 1.6021]","[-14.0785, -1.6073, 20.1858]",positive,positive,positive,"[1.1532, 1.5917, 1.7551]","[1.2635, 1.5973, 1.6392]","[-14.0785, -1.6073, 20.1858]",positive,positive,positive,"[0.366527673755158, -0.3270151812328283, 0.18314124700228046]","[0.2562325530515752, -0.21672006052956516, 0.06161171511376605]","[15.390334210492005, -15.766642198948334, 21.60498588768789]","[0.3665276737551586, -0.33187035861416897, -0.017370891736801092]","[0.2562325530515752, -0.22157524153267721, -0.017351840032823328]","[15.390334210492005, -15.766642198948334, 21.60498588768789]",Corrective,6060,HPMS,FEND, Replaced washed out swab on MP#2 cylinder #1 and #3 during fluid end inspection. Replace Swab on MP#2 Cylinder#3. Replaced washed out swab on MP#2 cylinder #3,,,1.0,,1,8/15/2017 0:00,8/15/2017 4:20,8/16/2017 22:36,9/1/2009 0:00,,1 days 18:16:03,3,2,1,"[1, 3, 2]",24,1,1,1,1,1,1
681,2018-06-15 16:04:00,2230014177390, Equipment is back in Service Mud Pump 3 out of service for 1hr replace seal----------. Changed the seal on suction cylinder # 1 mud pump # 3. Changed the seal on suction cylinder # 1 mud pump # 3 due to wear.,"[1.1525, 1.4993, 1.8483]","[1.2345, 1.4848, 1.7807]","[1.1565, -6.5917, 9.9352]",positive,positive,negative,"[1.1463, 1.4829, 1.8708]","[1.2295, 1.4593, 1.8112]","[1.1565, -6.5917, 9.9352]",positive,positive,negative,"[0.31612769132660634, -0.3912875719775712, 0.3503249627987336]","[0.23905895753457496, -0.3019401176943854, 0.3204483395241117]","[-6.037899149029121, -6.7249195531831925, 10.145538185143677]","[0.30379449096762623, -0.3912875719822512, 0.30524663775361377]","[0.2290348983399462, -0.3019401176987346, 0.2594289300089691]","[-6.037899149029121, -6.7249195531831925, 10.145538185143677]",Corrective,6060,HPMS,MP, Equipment is back in Service Mud Pump 3 out of service for 1hr replace seal----------. Changed the seal on suction cylinder # 1 mud pump # 3. Changed the seal on suction cylinder # 1 mud pump # 3 due to wear.,,,1.0,,1,6/15/2018 0:00,6/15/2018 15:56,6/15/2018 16:05,10/22/2009 0:00,,0 days 00:08:29,4,5,0,"[0, 4, 5]",30,3,1,1,3,1,1
689,2018-07-09 20:51:00,2230014178326," Task completed as per check list given nothing in abnormal inspected and cleaned the blower filters recently under RMS job # 2230014177141. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo","[1.4867, 1.5257, 1.4876]","[1.4867, 1.5256, 1.4877]","[270.1355, -121.7586, -143.8769]",positive,positive,neutral,"[1.4815, 1.5333, 1.4852]","[1.4815, 1.5329, 1.4856]","[270.1355, -121.7586, -143.8769]",positive,positive,neutral,"[0.02828471641850567, -0.008737359984231925, -0.03838760193497568]","[0.028284716418505485, -0.008737359984154805, -0.03754373006119778]","[-314.0900329669126, 223.18097017574001, -67.57278407725713]","[0.02259248161243624, -0.004003942392789919, -0.028814822777609602]","[0.022592481612436054, -0.0040039458064675985, -0.028547951860504937]","[-314.0900329669126, 223.18097017574001, -67.57278407725713]",Prevent Maint,6060,HPMS,MTR," Task completed as per check list given nothing in abnormal inspected and cleaned the blower filters recently under RMS job # 2230014177141. SPM-C_MTR_ALL-AC-HOR-MOUNT-500+_30-ELECTRICAL. NOTE: This PM MUST be performed in coordination with drilling department. NOTE: Review all relevant product alerts and bulletins, and make sure that all alerts and bulletins requiring action are addressed. 1. Make sure that the AC Motor meets conditions listed below: - no dirt or debris around motor - no cracks to motor housing - nameplate is present and legible NOTE: Perform Task 2 to Task 4 while Motor is running. 2. Listen to AC Motor for abnormal noises. 3. Feel AC Motor fo",around motor no cracks to motor housing nameplate is. list given nothing in abnormal inspected and cleaned the_blower filters recently under rms_job. ,,,1.0,2,7/7/2018 0:00,7/7/2018 6:18,7/9/2018 20:51,8/17/2009 0:00,,2 days 14:33:09,1,10,7,"[7, 1, 10]",104,2,1,1,2,1,1
778,2019-02-28 04:02:00,2230014188141, Observed leak at piston #1 of Mud pump #1. Performed EI & PTW and replaced the piston the same.----------. mud pump#1 Piston #1. Breakdown Job,"[1.2733, 1.4327, 1.794]","[1.2695, 1.4487, 1.7818]","[10.0114, -1.5869, -3.9245]",positive,positive,neutral,"[1.2677, 1.4223, 1.81]","[1.2645, 1.4333, 1.8022]","[10.0114, -1.5869, -3.9245]",positive,positive,neutral,"[0.1982203478058649, -0.2664650659855895, 0.35352893994115614]","[0.2044503879635068, -0.26646506598559133, 0.33793088957066697]","[-8.735098663790605, 8.287773771554978, -2.561212627571896]","[0.18702187628835928, -0.2664650659879132, 0.3215729497533357]","[0.1944473955652288, -0.2664650659879139, 0.2971057370335085]","[-8.735098663790605, 8.287773771554978, -2.561212627571896]",Corrective,6060,HPMS,MP, Observed leak at piston #1 of Mud pump #1. Performed EI & PTW and replaced the piston the same.----------. mud pump#1 Piston #1. Breakdown Job,,,1.0,,1,2/28/2019 0:00,2/28/2019 0:00,2/28/2019 4:10,10/22/2009 0:00,,0 days 04:02:51,2,4,0,"[0, 2, 4]",22,2,1,1,2,1,1
