DocNO,id,SENTIMENT,SENTENCES
2.61E+17,261630265,positive,Just close your eyes the sun is going down. You'll be alright no one can hurt you now. The morning light you and I will be Safe and Sound...
2.63E+17,339055436,neutral,And tomorrow Swindon Town have a date with Aston Villa. Villa- fans nervous? #STFC
2.59E+17,79762134,neutral,Spending Friday night with my main man Charles Dickens.
2.63E+17,386815711,neutral,"@GSYellin I don't think CNY will be hit too hard, but it may be utilized if there are any power outages #NewhouseSM4"
2.47E+17,18340123,neutral,#DrewPeterson  Are you missing Drew Peterson yet?  Lifetime is re-airing the movie this Sunday.  It stars  *gasp*  ROB LOWE as Peterson
2.56E+17,27973790,neutral,Meet the man making a documentary defending Joe Paterno: http://t.co/nAxv9SSZ (he may look familiar)
2.64E+17,523131934,positive,I'm so gonna snatch up all the leftover #Halloween candy at CVS tomorrow #letmeloveyou
2.51E+17,314452976,negative,@Negigurigleek no thanksgiving in Australia no Halloween no Fourth of July just Australia Day queens bday and Christmas
2.61E+17,47805740,positive,"Happy Valentine's Day, Artemis You remembered. Come on! What kind of jerk would I be if I forgot Valentine's Day?For the 5th year in a row?"
2.46E+17,339010800,positive,I know it's in January but I cant wait for The Royal Rumble #WWE
2.63E+17,32397083,negative,What's worse than being stuck in a time loop of Groundhog day? Being stuck in a Monday loop.
2.55E+17,220844331,positive,"@Childish_MARino LOLOLOLOLOLOLOL Im a SG on the Bucks so Im on a good team, but under Monta Ellis. Whats your position? Were you picked 3rd?"
2.64E+17,251271801,positive,"All I want for my 16th birthday are Taylor Swift tickets. No party, just tickets."
2.56E+17,493371884,positive,@mayhemmiller Nick Diaz is da Best! Smoke weed every day and drop out of school in 6th grade! Fuck Yeah!
2.64E+17,741869066,neutral,"While leaving 4th block I saw Joe in class, I yelled ""JOE"" &amp; he came out and just looked at me. I interrupted him talking 2 a teacher whoops"
2.52E+17,91595676,positive,"October 17th - November 3rd, Don't miss the Company of Fools performance of The Woman In Black!! http://t.co/acSv9rKl"
2.57E+17,634430139,negative,if jenelle comes to the game tomorrow... I'll die #missherlots #itsbeentolong #mybaby
2.64E+17,301139909,positive,"paper finished, cma's over, blake and miranda dominated, accounting hw got pushed to Wednesday. going to bed happy :)"
2.64E+17,24285353,negative,@MarkHalperin Arrogant! Came to 1st debate knowing he's leading in polls so he didn't have to prepare! Then Romney shows he can be POTUS.
2.60E+17,88129701,positive,"@_Joe_Ross starting to think it may be Acta now, but having a guy like Hentgen would be great"
2.62E+17,345296865,positive,Friday night in &amp; 'The Notebook' is on.. better get the tissues ready! #lovestory #noah&amp;ali #tears
2.49E+17,88233326,positive,"Bj Penn, Shogun, Nick Diaz and Swick fighting on the same card...should be PPV but its on Fox?? Dec. 8th cant wait ."
2.64E+17,43563617,negative,Ryan's going to Amsterdam tomorrow :( wahhh but who the fuck even goes there
2.64E+17,79489096,neutral,"Last Saturday, your PHBmates in Cebu, all performed some of Britney's Hits! Basing on this picture, you'll have... http://t.co/55SKckym"
2.63E+17,356074016,negative,"@rioferdy5 Relaxing?U have a match with Chelsea tomorrow.Oh,I see.U don't wanna get owned by Chelsea's youngsters like Bale did.#shame #cfc"
2.62E+17,9849502,positive,Muse on Jonathan Ross  brilliant.        We have some exciting news about Muse to announce Monday  from Gotham Records
2.58E+17,408985438,positive, SOUL TRAIN OCT 27 HALLOWEEN SPECIAL ft T.dot FINEST rocking the mic...CRAZY CACTUS NIGHT CLUB ..ADV ticket $10 wt out costume $15...
2.53E+17,311349016,positive,"First day filming on Dancing on Ice tomorrow, should be interesting."
2.64E+17,237943072,positive,"@MateRiaLGirL1 it will be like Sunday night in Miami, Lmfao"
2.64E+17,7632582,positive,"@adravan I guess we'll see how far we've come on Tuesday. I think, and fervently hope, that Maryland will make us proud."
2.61E+17,227129520,negative,@EdFrankovic so they should've ran the ball on 3rd &amp; 7? Blame Cam all U want but Flacco is the problem. Elite QBs dont have games like that
2.64E+17,296996054,negative,"out Castle sun. and staying there until Tues. Mother said ""It aint safe up dere in that New York wit Sandy all thru dere"" Fvck you, Sandy."
2.64E+17,98144454,positive,"@greysonchance, since you're in Asia, Good Morning! xo Can't wait for November 11. :-)"
2.55E+17,79545828,neutral,Just like when k was a kid Saturday morning and I'm watching Saved By the Bell! Might even watch Soul Train @ 12
2.64E+17,563632286,positive,"Tickets selling well for Northern Lights talk with @kielder_obs on Thurs 8 Nov, 6.30pm Central Library. To book http://t.co/yFM1XAwd"
2.64E+17,80301581,positive,"Another awesome tweetup (this time in Cebu) with a Rafa-tard! Great meeting you @scorpio1641! Thank you! See you, Monday. Zubuchon on us!!!"
2.44E+17,155673215,positive,So apparently tomorrow is National Kissing Day. I'm gonna eat an entire bag of Hershey Kisses and call it a day.
2.64E+17,362681164,positive,The dance parties at the Boys and Girls Club are the closest I've been to clubbing. And some of the 4th grade girls can dance better than me
2.63E+17,132327602,positive,@thecivilwars Just another reminder of my request for you guys to sing kingdom come on Thursday... And Safe and Sound ;)
2.64E+17,245167979,positive,Gotta have me a boyfriend by December that way he'll be good &amp; mended by time Valentine's Day get here! Lol! I need all that!!!
2.64E+17,67229965,negative,because y'all have been complaing about him allll the dam time.. NOT LIKE ME SINCE I WAS IN 3RD GRADE PARKER HAS BEEN MY MAIN BABY &lt;3
2.45E+17,323487086,neutral,About to watch Safe House for the 1st time... #Redbox #Latepass
2.64E+17,476353978,neutral,"Amazon: Extra Strength Hair Nutrient Tablets, 60-Tablets (Packaging May Vary) by Viviscal  649 days in the top 1... http://t.co/jsp8IGcb"
2.59E+17,82330368,positive,"Just thinking about couple days I had in August; Stone Roses one night then Kasabian, Noel G and The Cribs the next. Doesn't get much better"
2.64E+17,363797656,positive,@JLin7 ha.finally i can add you in my circle and come to close to talk with you on 11/6...yeah.1st time to see real Jeremy Lin..so excited..
2.63E+17,37725043,positive,Safe and Sound on 57th and 11th...hoping that they clean up Sandy quickly for those that were in her path. Love you all!
2.64E+17,418203217,neutral,I just did a shit load of typing. My group better call me Queen tomorrow.
2.64E+17,847726032,negative,"'SOS' not an over the top comedy: Ashwni Dhir: Mumbai, Nov 1 (IANS) Forthcoming comedy ""Son Of Sardaar"" might be... http://t.co/cUSIitOF"
2.64E+17,50213088,negative,@Talkmaster Hope you are wrong Sir. And welcome back to Jacksonville tomorrow for your last show here. Sorry I can't make it.
2.61E+17,217761583,neutral,"Smashing melons ain't my thingRT @DoctorGC Okay, Noel Gallagher is playing in Louisville on November 4th. Who's going with me?"
2.63E+17,257224297,positive,"Buzzing for the game tomorrow, gong to be a great atmosphere and a possible upset is on the cards! Bring on Aston Villa! #stfc"
2.63E+17,74584169,positive,Okay so today is Tatum Tuesday! Retweet if you like Channing Tatum!
2.64E+17,185099961,negative,@_JustAnother1 smh I'm just waiting on the black ppl to cuss me out tomorrow about Denzel lol NIGGAS!!!
2.53E+17,410707247,negative,"Apple CEO 'extremely sorry' for problems with new maps: Source: http://t.co/uKRV96Bg --- Sunday, September 30,... http://t.co/SiClT5TP"
2.64E+17,165934482,negative,@From_A_Balcony haha. You know i cant deal with athens after last saturday. Hear their ignorant asses talk about the game. Lord help me
2.60E+17,818725716,positive,"Got a Jennifer Hudson inspired makeup look coming on Monday, excited for the turn out"
2.64E+17,223589395,positive,"It's now or never, Ita now or never! That is why he is the best of his kind. May not play for us but hats off to Ray Lewis  52 #TheGreatest"
2.57E+17,471633847,positive,Have an appointment at the Bellamy tomorrow... Might be moving in there next semester #Excited
2.63E+17,31039654,neutral,@JoshCribbs16 you too. we need you on sunday to knock the purple out of the Ravens.
2.29E+17,64754919,positive,Today (July 28th '12) is Milk Chocolate Day. Bring it on. #milkchocolateday http://t.co/nPZEFpaE
2.64E+17,360044511,positive,Good luck to Infinity's Iain Veitch who competes in the Taiwan #ironman70.3 on Saturday
2.56E+17,471539916,positive,Rg is cleared for the Vikings game Sunday #goodmood   p.s. thank God we got rid of Cuntsniff or is it Cundiff?
2.63E+17,27030690,positive,Still time to order your #Halloween treats! Deadline: 2PM CST TODAY (with Overnight Shipping) to arrive tomorrow! ---&gt; http://t.co/vvT2ImJz
2.61E+17,30216409,positive,gonna meet the cast of Spartacus on the 7th! I am too excited!
2.64E+17,64619995,negative,@DonManolo_ @JakeMcWavyNYC you can't be serious you're acting as if Parker just sat down for those rings. Parker makes the spurs what they r
2.64E+17,861388620,positive,"@realrominarey Way to go.  I dropped my ballot marked OBAMA off on Wednesday in Colorado, gives you a good feeling.  I hope CO goes OBAMA."
2.63E+17,446623531,positive,Everyone talks about eli manning  being the best in the 4th qtr. Jay cutler has the best qbr rating in 4th qtr in the nfl #GetSome #DaBears
2.64E+17,50532153,positive,Can Channing Tatum be a stripper again just for me on my 18th Birthday?! ;)
2.63E+17,79851746,neutral,victor cruz aint do the salsa ALL game...he's overdue....its the 4th quarter...its TIME
2.64E+17,390547648,negative,Think imma go see Flight tomorrow.. Denzel's the shit
2.64E+17,74449410,negative,@mgska55 @laromabella I wanted to smack Eli Manning for falling asleep with the rest of the team during the 2nd half on Sunday. hahahaha
2.39E+17,171607513,negative,"@JaggerHope91 oiler fans are unhappy with, 45 points each season, Gagner as their 2nd line C. Habs fans should hate 28 point Eller as a 2C."
2.63E+17,251485806,positive,NO14 - DEN 34; Peyton and Eli may meet in the Super Bowl if both Denver and the New York Giants keep winning like they did Sunday
2.59E+17,245034403,negative,Fran says Paterno was very congenial to the media in his early years. Age &amp; perhaps betrayal by media may be part of his rift with media.
2.62E+17,259597230,positive,@scubaselia fancy going to the leonard cohen concert with me n my madre november 9? It should be heavenly
2.56E+17,172589611,neutral,"Cundiff got released. I think he's outta the league now, especially if that quote on the TL this past Sunday was real"
2.64E+17,379984862,negative,The new Bruno Mars song is wicked. It sounds like a cross between the Police and Michael Jackson. I may or may not play it 14 times/day..!
2.64E+17,282034984,positive,"Good Morning my Friends, wish You very nice Friday with love, peace, Art and mutual respect -:)"
2.48E+17,778112179,positive,May possibly like Dream High 2 better than the original! #gasp!
2.48E+17,833155597,negative,"@GuildWars2 C'mon guys fix this please, i dont want this to end up how Diablo III did.......        :.("
2.64E+17,57738988,positive,Kendrick Lamar may arguably have the best hip hop album of the year in my opinion
2.48E+17,17747332,neutral,"Rob Lowe who portrayed Drew Peterson, now takes on Casey Anthony prosecutor: On Monday it was revealed that Rob ... http://t.co/vW3sCnbu"
2.63E+17,15633710,positive,"Have you picked up your December issue of WDC yet? It includes a full in-depth review of Nikon's D600,... http://t.co/aM5297hY"
2.64E+17,36042554,neutral,"On 1 Nov: The Duke of Kent - President, will attend the Mersey Weaver District Scout Council Presentation... http://t.co/XYAORdtZ"
2.61E+17,235341109,negative,"Axl Rose is trending worldwide just because he sat his butt on a chair to talk on live tv and drink water out of a mug. Bow down, peasants."
2.64E+17,256555379,positive,"Looking forward to going to Carrow Rd tonight. Last time we were there, Bale scored 2 and we were 3rd. Do not want extra time though"
2.62E+17,129566049,positive,@lukeymoore Good luck tomorrow! I did it once. Big David James and Harry Redknapp started the race. They wore bomber jackets...
2.58E+17,338000640,negative,Seems my new iPod doesn't like Kasabian very much- laptop has crashed every time it's got to syncing Empire. 10th time lucky...
2.40E+17,461010765,positive,Ben Amos doing well @ Hull City.Another clean sheet v Charlton.He says he's enjoying the challenge of playing regular 1st team f'ball. #mufc
2.41E+17,52019048,neutral,"Ideal Home Show at Christmas - Earls Court 14-18 November, has partnered with ITV to bring Dancing on Ice to life at the exhibition."
2.61E+17,122764385,positive,This Friday we celebrate/mock the love of Avril and Chad. https://t.co/BzaPx4Di
2.59E+17,15612308,positive,Like if you're proactive about your health!   Don't miss THIS SUNDAY'S live Google+ Hangout about genetic... http://t.co/EVhaTA6d
2.64E+17,483502096,negative,I don't want to take ACT tomorrow. ):
2.63E+17,117096248,neutral,I wanna go to Chapel Hill tomorrow night but its going to be so cold. I'll just go to work instead!
2.28E+17,153441051,positive,Dear @misskahi and @SsoSso_1004 finally tomorrow Dream High 2 will be aired in my country...finally i can see you again^^ miss u alot~~
2.63E+17,424684518,negative,I'm going to the Duke game on Saturday. Haha. DUKE. What'a joke they are.
2.64E+17,848417731,positive,"Channel 4 30 years old on Friday! D'oh Showed some great programmes over the years, especially Paul Hogan."
2.61E+17,264629286,neutral,@Chavo_16 I started SOA but couldn't really get into in after the 7th episode. But I'll definitely check out Spartacus
2.63E+17,121950254,positive,Monday Night Football at #ciscos..win a chance at going to Hawaii for the Pro bowl !!! Happy Hour all night http://t.co/66LYYxm7
2.64E+17,428637558,negative,"Spain summons Argentine ambassador in oil dispute - Spain warned Argentina on Friday it risks becoming ""an... http://t.co/YOUzbZls"
2.58E+17,494366588,negative,"Monta Ellis commits his 1st foul! He's cold with 2 missed FTs, a foul and a miss to start Q3. #Bucks trail #Bulls 70-60, mid Q3."
2.64E+17,764842129,neutral,@Real_Liam_Payne guess who's going to your December 3rd concert at MSG! #ThisGirl
2.64E+17,558942842,negative,Niggas is having 7th grade fights on here you in high school I CAN'T EVEN DEAL.
2.64E+17,631225392,positive,I played rugby yesterday may have broken my finger but it was definitely worth the pain the game is more fun than I remember
2.64E+17,46958002,positive,"Every Thursday I go to Jesse Black in Casselberry, FL just for these girls http://t.co/brntAu0S"
2.64E+17,70409036,negative,"Dear Spurs, You are out of COC, not in Champions League and come May wont be in top 4. Why do you even exist?"
2.64E+17,798911048,positive,"Tomorrow...Walmart, Target, Walgreens, CVS, Kroger, whoever..I'm coming for that discounted candy...be ready for it ;)"
2.59E+17,47152159,positive,Dook tomorrow and on the 27th... The game we've all been waiting for... NC State http://t.co/BzrmgInj
2.62E+17,465934405,neutral,"I recorded The Wanted on Celebrity Juice so if anyone missed it, I'll stream it again on Saturday if anyone wants to see it?"
2.58E+17,310305819,positive,Dishonoured is awesome! Not quite sure where to rank it. Journey and Walking dead are one and two. I think it's 4th behind Mass Effect 3.
2.56E+17,24856383,neutral,I smooth just set aside 2 stacks for the Grammys in February.
2.58E+17,366341363,positive,"@dalykobos  Happy Birthday sweetheart. May all your days be special, just like you. Love, Grammy"
2.63E+17,388333847,positive,i sang an Avril Lavigne song for the talent show in the 5th grade.. i loved her so much
2.60E+17,366083367,positive,Guess which star is the 5th most greatest women in the world and won many Grammy awards and is a singer?
2.59E+17,38164846,positive,Nadal at the Parc des Princes this Saturday!: Big news! Rafael Nadal accepted the invitation of Paris Saint-Germ... http://t.co/Jp6KH4Ul
2.64E+17,797540935,positive,Wildcat madness tomorrow! Community pep rally! Bell game! Hope to see you all there!
2.64E+17,116526242,positive,Congrats to @MizzouSoccer as  Mizzou beats Kentucky 2-1! Tigers advance to face top-seed Florida in the semis on Friday at 6:30 pm! #MIZSEC
2.58E+17,344287840,neutral,I just want all of you to know that I foresaw Ricky Martin being gay when I was in 3rd grade
2.64E+17,617695760,positive,So Tomorrow gonna stay for the game with Israel yay:D
2.56E+17,525507607,positive,@dgenerationx116 ok! I hope Jennette visit your city someday and you may have the chance to meet her :D
2.63E+17,103784921,negative,"@McMwiti Really? really? Terry's guilt was well proven, TV footage was available. Suarez was punished of the strength of Evra's word. C'mon!"
2.59E+17,238744885,positive,Like Larry Bird in the Ole' 3PT Contest... Tonight at the Alfred E. Smith dinner #Romney went 1st and absolutely crushed it. #ObamaFailed
2.64E+17,356014436,positive,@HBBlanks @kaycegilman20 sparks fly by Taylor swift may or may not have been in the background. It was moment I'll never forget lol
2.64E+17,915807318,positive,It's November 1 so you know what that means. You'll see Valentine's Day stuff at Walmart soon. #CelebrateTheRightHoliday
2.64E+17,34914041,positive,Janowicz was #221 in January and the win over Murray today takes him to #46 - Good year! Mega potential! #36 if he beats Tipsarevic.
2.64E+17,24115508,negative,How's Channel 4 celebrating its 30th anniversary? Is it pretending the first 20 years when it was any fucking good never happened?
2.48E+17,456854364,neutral,@HCD_News is an official news that Nash and Thorton will play in Davos? Are they going to play on 29th match? Can i buy tickets from italy?
2.64E+17,350747215,neutral,Anonymous asked: May I know the format of unboxing video? and is it for album only? Can I do it for... http://t.co/nQ6P1q9T
2.64E+17,874370149,neutral,"@BobWildman Hi Bob.'m Fine.Tomorrow is a holiday here, All Souls' Day 'n the 15th Republic Day,another holiday.Now I'm a little busy ..."
2.51E+17,142124007,negative,OKC Thunder center Kendrick Perkins may miss the preseason due to a wrist injury
2.58E+17,18881445,positive,WOW!!! OMG Today for my 21st birthday I woke up and @jennettemccurdy follows me! I knew this day would come! Thanks Jennette! &lt;3
2.64E+17,510441175,positive,@Real_Liam_Payne Saturday I buy my ticket for the #TMHTOUR in Belgium! I'm so happy! :)
2.64E+17,27712041,positive,"DC tomorrow! Stoked to see friends at American, Georgetown and elsewhere. Text me if you are free. #fb"
2.62E+17,34433717,neutral,@_SchoolBoyJ you have a Top 5 SG with 2 6th men. and you left off Monta Ellis
2.55E+17,189714062,neutral,"@SuperSkin""Van full of veteran kickers due into #Redskins Park tomorrow. No word on whether it will run over Cundiff."" Watch it go wide Rt."
2.59E+17,737094356,negative,"This is ball shit because I broken my ankle on Sunday at football the army won't let me in for 1year thanks Callum ""Twat"""
2.64E+17,391451170,neutral,"RVP shit on AFC by moving to MUFC, yet served them brilliantly over 8 years, will the fans give him shit on Saturday? #cantwaittofindout!"
2.63E+17,175249986,positive,Nikon contest outlaws film images for first time (update Monday) - http://t.co/51XgR36N -  The rules for the Nikon Photo Contest ...
2.64E+17,125029249,negative,Doing some serious sucking up tonight so I can go Harry's tomorrow :( @hellomnamesjim
2.64E+17,27096404,positive,Excited to head to #florida tomorrow.  Participating in the #tyrf #strikeforce to make sure FL goes 4 #mittromney.  #tcot #txcot #DallasGOP
2.64E+17,823523827,neutral,"Today match against ACH Ljubljana, 2nd game in the Champions League!"
2.64E+17,230289814,negative,The Boys:  http://t.co/ALW4H4VN's Calvin Watkins explains why Sunday night games are bad luck for the Cowboys and... http://t.co/XbMUntwy
2.63E+17,56027687,positive,"@Cwell2strong4u  You sound like Will Ferrell on Old School. "" Got a big day tomorrow""! #soundsexciting #classic"
2.56E+17,613426575,negative,"'No Favorites' for Russia-Portugal Clash - Capello: MOSCOW, October 11 (RIA Novosti) - Russia's match with Portu... http://t.co/aQBz55zo"
2.44E+17,603153143,positive,"Apparently tomorrow is Nation Kissing Day. Ladies, you're more than welcome to stop by."
2.64E+17,479838893,positive,Going to see Kendrick Lamar with @Pea_Starks in jan :D
2.63E+17,419826564,positive,noel fielding may be one of the greatest people alive.
2.64E+17,48972177,neutral,"@ForlornLove no not yet, going Taiwan soon for training then passing out December 21st. Looking forward to not being a recruit/trainee ha"
2.52E+17,607080961,positive,Hope everybody enjoyed Ben Amos at Welton on Monday? Don't forget @DWindass10 will be at market weighton this coming Monday the 1st
2.64E+17,456969230,neutral,@cartermatic_15 hell yea bro the crew gnna meet up in Athens on the 17th
2.64E+17,821776364,positive,"Spirit Friday!Fill the halls with School colors and enjoy a dress down day!  No PJ, Yoga pants or Flip Flops/backless shoes. You Are Poland!"
2.64E+17,361477644,positive,"#7ThingsAboutMyBestfriend she is treating me to cookout tomorrow, first thing when I get to jacksonville.  @Scorpio_lovinn"
2.64E+17,75568792,positive,"Anyone wanna go see #shedseven at Boro on 14th December?? 17.50 each. Let me know, I really want to go."
2.64E+17,89386718,positive,This time tomorrow I will be en route to San Fran with my beautiful ladyfriend @kellyalbrecht. Life is pretty excellent.
2.64E+17,130715630,positive,#HalloweenFacts #Halloween also is recognized as the 3rd biggest party day after New Year's and Super Bowl Sunday.
2.56E+17,287535373,positive,@Matt_Law_SM he is one of the 1st names on Mancini's team sheet and he was one of the 1st names on capello's team sheet and that says it all
2.58E+17,329930757,negative,@CletisStump Brain is fried ... won't turn off ... feels like Ground Hog day ... may need shock treatments to reboot!!!
2.59E+17,266787604,positive,Met @kfreberg via Google+ Hangout on Wednesday! So cool to meet someone that you've actually cited in paper :)
2.58E+17,20141756,negative,"@ChrisLong88 look at the countries we're playing, we were 6th seeds. Also we're missing Ched Evans, Bellamy, Ramsey, Collins etc etc!"
2.64E+17,89409006,positive,"Another beauty of a day in Athens, Greece. I trust you'll have an exceptional Friday wherever in the world you are. Much love."
2.64E+17,627831432,positive,"Jeremy Lin picks up his 4th foul, all he does is turn it over!!!! Pistons are hot right now folks!!"
2.45E+17,398929639,negative,They better take Joe Pa to the Pet Semetary... They may never win agdin
2.17E+17,14732429,positive,Dr. Mohamed Morsi announced as Egypt's 1st elected President after the glorious 25th of Jan Revolution. Congratulations to #Egypt
2.62E+17,188237217,neutral,@Keith_er For sure. Tough Lovers are playig Dickens on the 8th if you'd like to join me.
2.64E+17,771437269,negative,"Activists demand release of Jharkhand tribal leader: New Delhi, Nov 1 (IANS) Condemning the arrest of woman trib... http://t.co/LZlgb1NW"
2.62E+17,393115054,positive,May your life one day be as awesome as you pretend it is on Facebook- Will Ferrell
2.48E+17,237079358,positive,@HTTR24_7 This may end up being more beneficial to us with Cofield playing more naturally at the end spot &amp; Baker clogging up the middle.
2.51E+17,80957405,negative,Acta gets the ax. Wrote about him and other managers on the hot seat on Tuesday http://t.co/wXmASsbT
2.64E+17,151617599,positive,Obama is good for Israel: Tens of millions of Americans will go to the polls on Tuesday to vote for a president ... http://t.co/LZZl0YhG
1.69E+17,289940935,negative,today is Desperation Day. If you know what i mean.
2.63E+17,264220770,positive,Republic day in turkey 29 Oct fire work awesome http://t.co/reSa1gjq
2.64E+17,38055266,neutral,Art may or may not be the hardest class EVER
2.64E+17,537387329,neutral,ATHENS (Reuters) - Greek lawyers launched their defense of a prominent journalist on Thursday charged with break... http://t.co/Scfu9vyc
2.39E+17,161805884,neutral,@FiveHoleRumors well by the sounds of it we may be adding Gagner too. Where are these guys all going to fit in?
2.58E+17,819010514,positive,"@redboy21 tbf it is, Hodgson currently has the same record as Capello and Hoddle but a better defensive. This is his 11th game in"
2.64E+17,872261180,positive,@stefnaaay I'll see you monday :3 Fancy coming to a nerd convention in Dublin on the 10th? ;D
2.64E+17,164121646,positive,"@ellevarner can't wait to see you Dec 5th, at MSG in NY &lt;3"
2.64E+17,620590484,positive,@louisvilleJoke: December 29th will show all the Louisville fans that Kentucky is the best
2.62E+17,43971936,negative,"Did you see that Andy Carroll header? What technique! ""C'mon! that's not technique. Technique is passing the ball 5 yards 50 times."""
2.64E+17,165010615,negative,"#HowToPissAGirlOff stick a dead goat through her letter box on february 14th with a note written in blood saying ""happy valentine's day"""
2.64E+17,43483596,positive,Flight starring Denzel Washington was a good ass movie go see it tomorrow when it comes out
2.54E+17,64688279,neutral,"@JonathanKimSing @_byronwong Gonna try using it with Sadat, will evaluate my progress tomorrow at the library lol..."
2.64E+17,80729071,positive,@nettyrossetti haha! This weekends crazy esp w/ mike working but I'm throwing you a welcome home 20th birthday 3.0 when you get back from FL
2.62E+17,517715368,positive,"First time listing to Red: ""Does this diva think she's Avril Lavigne?"" 2nd - 54th time: can't.stop.listening."
2.64E+17,194662052,negative,Unless you got a throw back Thursday picture with Michael Jackson I don't give a fuck about your faggot ass picture
2.61E+17,438322793,neutral,Inter Milan Transfer Rumours: 5 Players Linked to the San Siro in January:   Inter Milan  have started their new... http://t.co/vIn3RVrE
2.64E+17,633535376,neutral,That kind of year in KC. Rivers over 18 fantasy its for only 3rd time of the season....for now.
2.64E+17,119173035,positive,I can't wait to here this Negros explanation about Monday night!!! Smh un huh trust issues
2.59E+17,355275030,positive,Four -- now three -- tweets away from 9000. Here's where I mention that I'm pouring wine for a Friday night with Diablo III. #meta #classy
2.64E+17,96705511,neutral,Mizzou moves back the start time for their opener w/ SIUE on November 10th because of football.  #siuenation  http://t.co/L2xbKWm4
2.64E+17,764747773,positive,Jerzy boy Janowicz over Murray! What is going on in Paris?! We'll have a new Master's 1000 winner. No big 4 past the 3rd round.
2.64E+17,735524239,negative,Bad times when u missed Waterloo road last thursday when in Tenerife and dont realise it was the last episode :( #notfair
2.64E+17,348590880,positive,The DUKE is LOOSE. Duke Johnson pounds it in for a 7 yard Touchdown. #Miami leads #VTech 27-12 in the 4th.
2.64E+17,138386729,positive,"COOL!!! There's a Criminal Minds season 3 marathon on, and tomorrow it's a Castle season 3 one. http://t.co/GRRUt9mq"
2.63E+17,268059287,positive,"@PeteAbe hold out hope for Valentine, he may win manager of the year"
2.64E+17,303509036,positive,@jennettemccurdy Happy Thursday Jennette from Detroits #1 Radio station WROM Radio have a great weekend ahead We love a follow back from you
2.64E+17,225988631,neutral,Friday Night Lights with Mitt! http://t.co/lTZHpTzg #tcot #tlot #bcot #ccot #gop #nra #ocra #sgp #teaparty #twisters #breitbart #Israel
2.63E+17,370338998,neutral,"Nick Diaz may be suspended, but his manager is trying to set up his next fight, saying a match with Josh Koscheck... http://t.co/HOVcUE22"
2.63E+17,245308008,negative,Bale doesnt celebrate his goal but races over cuddling Dempsey on the 2nd. Illustrates perfectly the bullshitting spotlight whores they are.
2.56E+17,38812075,positive,PRESEASON! BASKETBALL! #kubball MT @DarnellMayberry Cole Aldrich will start in place of Kendrick Perkins against the Rockets tomorrow night.
2.63E+17,124783668,negative,Sunday is turning out to be the day when i play Temple Run. Social life is a joke only. Forever alone lvl 100000000.
2.62E+17,54841850,neutral,"@MrDDyer Mate, how are you lads enjoying Andy Carroll over there? Can we have him back in January? We're a bit desperate!"
2.64E+17,6640712,neutral,@Webwych QEII in Woolwich. Only 20 mins from home. :) my sister Becky is going to come and stay sat-mon I think.
2.51E+17,35813696,positive,Saturday's UFC on Fuel TV looks a lot better than the scheduled undercard of UFC 151. No surprise 151 got cancelled. http://t.co/Qve8SjEU
2.60E+17,629088425,negative,"stop that my dude...""@KButter5: dook football, even the sun shines on a dog's a$$ some days. #UNC"""
2.63E+17,333399199,negative,"Big mix up people, Channing Tatum is not here, it's just Anthonee Bercik, autographs tomorrow."
2.31E+17,254488759,neutral,Tomorrow im doing a poll at 5pm-Which series of Dancing on ice is ur fave The celeb+pro that won the series will get a shoutout
2.61E+17,288796952,negative,Born in February close to Valentines. Through all the heart pains I still look for Love guess Imma always b crazy
2.62E+17,47844809,negative,"I realize Bellamy is a freshman QB but the play selection leaves a lot to be desired, option toss on 3rd and 7 #CmonMan"
2.64E+17,36109143,positive,"Rare, 300kg meteorite discovered in Poland, biggest in Eastern Europe and may provide clues about Earth's core: http://t.co/KEp3zkLZ"
2.64E+17,529396403,neutral,@Richie_Fenners @ben_jamin_whit I'm back in rugby on a sat but if I do play it will have to be before 10 like!
2.63E+17,487995757,positive,"Smashing FIFA atm won the Capital One Cup,1st in the league and in the finals of the F.A Cup and Champions League"
2.64E+17,19462466,positive,"If San Antonio continues to play like they did tonight with little help from Parker in the 1st half &amp; no Ginobili, it'll be a great season!"
2.62E+17,368108768,neutral,We get to dress up in Halloween costumes on Wednesday. Sophia Grace and Rosie in the building ladies and gentleman.
2.64E+17,261761654,positive,@CoryJane1080: ALL ABOARD... 1st flight to Hong Kong then off to the UK from there.. #Tweet_Yah_Later enjoy
2.64E+17,635399546,positive,"@planetjedward Have a great time tomorrow , and maybe can you come to Belgium ?! :D xx"
2.64E+17,19795883,positive,"@jtidwell808 Lowry's getting $12 mil over 2 years, Lin's getting $25 over 3 but $14.8 mil in the 3rd year. I'd say Toronto got better value."
2.64E+17,30682999,neutral,Rivers throw a pick on 3rd and goal. Everyone here thought they would run the ball. Bolts lead 10-0 at half.
2.64E+17,48646629,negative,@HarrySilk Aston Villa are a joke mate and so is your profile pic u may wanna hit the gym b4 u head to the Bridge w your bitch slaps #JogOn
2.64E+17,67727890,negative,Las Vegas is my 3rd home and I'll be there after the election but The Wynn just lost my business after the bogus Obama comments.
2.64E+17,95143569,negative,Why every time twitter email me saying we found pple you may know its a bunch of niggas....where the hoes at @Twitter ?
2.60E+17,322569070,positive,"All Ricky Martin's fans interested in joining SIPs, you are welcome to do so. Theme Mustache 20oct Sat tag under #SexySoulsInterestingPics"
