phrases,tagged_phrases,dummy_labels,POS_TAGS_OF_PHRASE
as per day,as in_pos per in_pos day nn,1,<IN><IN><NN>
as per discussion,as in_pos per in_pos discussion nn,1,<IN><IN><NN>
as per feedback,as in_pos per in_pos feedback nn,1,<IN><IN><NN>
as per job,as in_pos per in_pos job nn,1,<IN><IN><NN>
as per manufacturer,as in_pos per in_pos manufacturer nn,1,<IN><IN><NN>
as per nov,as in_pos per in_pos nov nn,1,<IN><IN><NN>
as per oem,as in_pos per in_pos oem nn,1,<IN><IN><NN>
as per pm,as in_pos per in_pos pm nn,1,<IN><IN><NN>
as per pmmegger,as in_pos per in_pos pmmegger nn,1,<IN><IN><NN>
as per procedure,as in_pos per in_pos procedure nn,1,<IN><IN><NN>
as per recommendation,as in_pos per in_pos recommendation nn,1,<IN><IN><NN>
as per report,as in_pos per in_pos report nn,1,<IN><IN><NN>
as per rig,as in_pos per in_pos rig nn,1,<IN><IN><NN>
as per rms,as in_pos per in_pos rms nns,1,<IN><IN><NNS>
as per scehdule,as in_pos per in_pos scehdule nn,1,<IN><IN><NN>
as per task,as in_pos per in_pos task nn,1,<IN><IN><NN>
as per ther,as in_pos per in_pos ther nn,1,<IN><IN><NN>
as per wchb,as in_pos per in_pos wchb nn,1,<IN><IN><NN>
as required equipment,as in_pos required vbn equipment nn,1,<IN><VBN><NN>
as required motor,as in_pos required vbn motor nn,1,<IN><VBN><NN>
as required note,as in_pos required vbn note nn,1,<IN><VBN><NN>
as requiredok,as in_pos requiredok nn,1,<IN><NN>
as well,as in_pos well rb,1,<IN><RB>
asked,asked vbn,1,<VBN>
aspects,aspects nns,1,<NNS>
assemaly,assemaly nn,1,<NN>
assembled,assembled vbn,1,<VBN>
assembling,assembling vbg,1,<VBG>
assembly,assembly rb,1,<RB>
assembly good,assembly rb good jj,1,<RB><JJ>
assemblywe,assemblywe nn,1,<NN>
assigned,assigned vbn,1,<VBN>
assist,assist nn,1,<NN>
assistance,assistance nn,1,<NN>
assisted,assisted vbn,1,<VBN>
associated,associated vbn,1,<VBN>
assurance,assurance nn,1,<NN>
at ambient,at in_pos ambient nn,1,<IN><NN>
at ambient motor,at in_pos ambient jj motor nn,1,<IN><JJ><NN>
at ambient room,at in_pos ambient jj room nn,1,<IN><JJ><NN>
at correct run,at in_pos correct jj run nn,1,<IN><JJ><NN>
at correct temperature,at in_pos correct jj temperature nn,1,<IN><JJ><NN>
at deck,at in_pos deck nn,1,<IN><NN>
at eow,at in_pos eow nn,1,<IN><NN>
at full load,at in_pos full jj load nn,1,<IN><JJ><NN>
at fvd perform,at in_pos fvd jj perform nn,1,<IN><JJ><NN>
at good condition,at in_pos good jj condition nn,1,<IN><JJ><NN>
at in wc,at in_pos in in_pos wc nn,1,<IN><IN><NN>
at kv,at in_pos kv nn,1,<IN><NN>
at load side,at in_pos load jj side nn,1,<IN><JJ><NN>
at manual gauge,at in_pos manual jj gauge nn,1,<IN><JJ><NN>
at mcc,at in_pos mcc nn,1,<IN><NN>
at mcc starter,at in_pos mcc rbs starter nn,1,<IN><RBS><NN>
at moment,at in_pos moment nn,1,<IN><NN>
at motor,at in_pos motor nn,1,<IN><NN>
at mud pump,at in_pos mud rbs pump nn,1,<IN><RBS><NN>
at nde,at in_pos nde nn,1,<IN><NN>
at next pm,at in_pos next jj pm nn,1,<IN><JJ><NN>
at nonhazardous area,at in_pos nonhazardous jj area nn,1,<IN><JJ><NN>
at ohm,at in_pos ohm nn,1,<IN><NN>
at ohms,at in_pos ohms nn,1,<IN><NN>
at ohms panel,at in_pos ohms jj panel nn,1,<IN><JJ><NN>
at ohms push,at in_pos ohms jj push nn,1,<IN><JJ><NN>
at ohms step,at in_pos ohms jj step nn,1,<IN><JJ><NN>
at prm,at in_pos prm nn,1,<IN><NN>
at psi,at in_pos psi nn,1,<IN><NN>
at rpm,at in_pos rpm nn,1,<IN><NN>
at serial number,at in_pos serial jj number nn,1,<IN><JJ><NN>
at terminal box,at in_pos terminal jj box nn,1,<IN><JJ><NN>
at termination,at in_pos termination nn,1,<IN><NN>
at time,at in_pos time nn,1,<IN><NN>
at v,at in_pos v nn,1,<IN><NN>
at vac,at in_pos vac nn,1,<IN><NN>
at vdc,at in_pos vdc nn,1,<IN><NN>
at vfd,at in_pos vfd nn,1,<IN><NN>
atsks,atsks nns,1,<NNS>
attached,attached vbn,1,<VBN>
attatched,attatched vbn,1,<VBN>
attched,attched vbn,1,<VBN>
attempt,attempt nn,1,<NN>
attempted,attempted vbn,1,<VBN>
attention,attention nn,1,<NN>
aug,aug nn,1,<NN>
auto,auto nn,1,<NN>
automated,automated vbn,1,<VBN>
automatically overwritten,automatically rb overwritten vb,1,<RB><VB>
aux,aux nn,1,<NN>
auxialiries,auxialiries nns,1,<NNS>
auxiliaries,auxiliaries nns,1,<NNS>
auxmotors,auxmotors nns,1,<NNS>
availability,availability nn,1,<NN>
available,available jj,1,<JJ>
availlable,availlable jj,1,<JJ>
awaiting,awaiting vbg,1,<VBG>
aware,aware jj,1,<JJ>
ay,ay nn,1,<NN>
ayer,ayer nn,1,<NN>
az,az nn,1,<NN>
b,b nn,1,<NN>
b motor,b nn motor nn,1,<NN><NN>
back,back rb,1,<RB>
back due,back rb due jj,1,<RB><JJ>
back from overhaul,back rb from in_pos overhaul nn,1,<RB><IN><NN>
back in good condition,back rb in in_pos good jj condition nn,1,<RB><IN><JJ><NN>
back in motor,back rb in in_pos motor nn,1,<RB><IN><NN>
back in place,back rb in in_pos place nn,1,<RB><IN><NN>
back in serive,back rb in in_pos serive nn,1,<RB><IN><NN>
back in service,back rb in in_pos service nn,1,<RB><IN><NN>
back into alarm,back rb into in_pos alarm nn,1,<RB><IN><NN>
back into service,back rb into in_pos service nn,1,<RB><IN><NN>
back on board,back rb on in_pos board nn,1,<RB><IN><NN>
back on isolated motor,back rb on in_pos isolated jj motor nn,1,<RB><IN><JJ><NN>
back on line,back rb on in_pos line nn,1,<RB><IN><NN>
back on motor,back rb on in_pos motor nn,1,<RB><IN><NN>
back on n,back rb on in_pos n nn,1,<RB><IN><NN>
back on service,back rb on in_pos service nn,1,<RB><IN><NN>
back opened,back rb opened vbn,1,<RB><VBN>
bad,bad jj,1,<JJ>
badly corroded,badly rb corroded vbd,1,<RB><VBD>
bag,bag nn,1,<NN>
balance,balance nn,1,<NN>
balanced,balanced vbn,1,<VBN>
balancedthese,balancedthese nn,1,<NN>
balancing,balancing vbg,1,<VBG>
banding,banding nn,1,<NN>
bar,bar nn,1,<NN>
baring,baring nn,1,<NN>
barrier,barrier nn,1,<NN>
barring,barring vbg,1,<VBG>
bars,bars nns,1,<NNS>
base,base nn,1,<NN>
based,based vbn,1,<VBN>
bbls,bbls nn,1,<NN>
be achieved,be vb achieved vbn,1,<VB><VBN>
be attributed,be vb attributed vbn,1,<VB><VBN>
be closed,be vb closed vbn,1,<VB><VBN>
be commented,be vb commented vbn,1,<VB><VBN>
be connected,be vb connected vbn,1,<VB><VBN>
be done,be vb done vbn,1,<VB><VBN>
be heard,be vb heard vbn,1,<VB><VBN>
be moved,be vb moved vbn,1,<VB><VBN>
be obtained,be vb obtained vbn,1,<VB><VBN>
be perfomed,be vb perfomed vbn,1,<VB><VBN>
be ran,be vb ran nn,1,<VB><NN>
be run,be vb run vbn,1,<VB><VBN>
be sent,be vb sent vbn,1,<VB><VBN>
beaings,beaings nns,1,<NNS>
bearing,bearing nn,1,<NN>
bearings,bearings nns,1,<NNS>
bearinigs,bearinigs nns,1,<NNS>
bed,bed nn,1,<NN>
been,been vbn,1,<VBN>
before connect,before in_pos connect nn,1,<IN><NN>
before installation,before in_pos installation nn,1,<IN><NN>
before start,before in_pos start nn,1,<IN><NN>
behalf,behalf nn,1,<NN>
being,being vbg,1,<VBG>
bell,bell nn,1,<NN>
below,below in_pos,1,<IN>
below blower,below in_pos blower nn,1,<IN><NN>
below cleanliness,below in_pos cleanliness nn,1,<IN><NN>
below damage,below in_pos damage nn,1,<IN><NN>
below damageok,below in_pos damageok nn,1,<IN><NN>
below dirt,below in_pos dirt nn,1,<IN><NN>
below from abb,below in_pos from in_pos abb nn,1,<IN><IN><NN>
below galling,below in_pos galling vbg,1,<IN><VBG>
below inside,below in_pos inside rb,1,<IN><RB>
below interior,below in_pos interior jj,1,<IN><JJ>
below junction,below in_pos junction nn,1,<IN><NN>
below log,below in_pos log nn,1,<IN><NN>
below mechanical damage,below in_pos mechanical jj damage nn,1,<IN><JJ><NN>
below na damage,below in_pos na dt damage nn,1,<IN><DT><NN>
below none,below in_pos none nn,1,<IN><NN>
below ohms,below in_pos ohms nns,1,<IN><NNS>
below panel,below in_pos panel nn,1,<IN><NN>
below rust,below in_pos rust nn,1,<IN><NN>
below task,below in_pos task nn,1,<IN><NN>
below water,below in_pos water nn,1,<IN><NN>
belt,belt nn,1,<NN>
belts,belts nns,1,<NNS>
between pulley,between in_pos pulley nn,1,<IN><NN>
bf,bf nn,1,<NN>
big,big jj,1,<JJ>
blade,blade nn,1,<NN>
blades,blades nns,1,<NNS>
blades inspection,blades nns inspection nn,1,<NNS><NN>
blades meet,blades nns meet nn,1,<NNS><NN>
blew,blew nn,1,<NN>
block,block nn,1,<NN>
blockage,blockage nn,1,<NN>
blocks,blocks nns,1,<NNS>
blow,blow nn,1,<NN>
blow air,blow nn air nn,1,<NN><NN>
blow dirt,blow nn dirt nn,1,<NN><NN>
blower,blower nn,1,<NN>
blowers,blowers nns,1,<NNS>
blown,blown nn,1,<NN>
board,board nn,1,<NN>
body,body nn,1,<NN>
bolt,bolt nn,1,<NN>
bolted,bolted vbn,1,<VBN>
boltnot,boltnot nn,1,<NN>
bolts,bolts nns,1,<NNS>
bond,bond nn,1,<NN>
bonding,bonding nn,1,<NN>
bonds,bonds nns,1,<NNS>
bone,bone nn,1,<NN>
book,book nn,1,<NN>
boosted,boosted vbn,1,<VBN>
bop,bop nn,1,<NN>
bop closed,bop nn closed vbd,1,<NN><VBD>
both ac,both dt ac nn,1,<DT><NN>
both bearing,both dt bearing nn,1,<DT><NN>
both bearings,both dt bearings nns,1,<DT><NNS>
both berings,both dt berings nns,1,<DT><NNS>
both drive,both dt drive nn,1,<DT><NN>
both end,both dt end nn,1,<DT><NN>
both heaters,both dt heaters nns,1,<DT><NNS>
both louvers,both dt louvers nns,1,<DT><NNS>
both main,both dt main jj,1,<DT><JJ>
both motors,both dt motors nns,1,<DT><NNS>
both nondrive,both dt nondrive jj,1,<DT><JJ>
both parties,both dt parties nns,1,<DT><NNS>
both plugs,both dt plugs nns,1,<DT><NNS>
both sides,both dt sides nns,1,<DT><NNS>
both standpipes,both dt standpipes nns,1,<DT><NNS>
both units,both dt units nns,1,<DT><NNS>
both were,both dt were vbd,1,<DT><VBD>
both workshop,both dt workshop nn,1,<DT><NN>
boths,boths nns,1,<NNS>
bottom,bottom nn,1,<NN>
box,box nn,1,<NN>
boxes,boxes nns,1,<NNS>
bprdcmr,bprdcmr nn,1,<NN>
bprgeneric,bprgeneric nn,1,<NN>
bprmtrn,bprmtrn nn,1,<NN>
bracket,bracket nn,1,<NN>
brackets,brackets nns,1,<NNS>
brazil,brazil nn,1,<NN>
breakdown motor,breakdown nn motor nn,1,<NN><NN>
breaker,breaker nn,1,<NN>
briefly,briefly nn,1,<NN>
brl,brl nn,1,<NN>
broke,broke nn,1,<NN>
broken,broken nn,1,<NN>
brought,brought nn,1,<NN>
brush,brush nn,1,<NN>
brushed,brushed vbn,1,<VBN>
bucket,bucket nn,1,<NN>
buckets,buckets nns,1,<NNS>
buid,buid nn,1,<NN>
build,build nn,1,<NN>
buildup,buildup nn,1,<NN>
built,built nn,1,<NN>
bulletin,bulletin nn,1,<NN>
bulletins,bulletins nns,1,<NNS>
burned,burned vbn,1,<VBN>
burning,burning nn,1,<NN>
burnt,burnt nn,1,<NN>
bus,bus nn,1,<NN>
busbars,busbars nns,1,<NNS>
buss,buss nn,1,<NN>
button,button nn,1,<NN>
buttons,buttons nns,1,<NNS>
by accident,by in_pos accident nn,1,<IN><NN>
by aneesh,by in_pos aneesh jj,1,<IN><JJ>
by comparrison,by in_pos comparrison nn,1,<IN><NN>
by driller,by in_pos driller nn,1,<IN><NN>
by engineer,by in_pos engineer nn,1,<IN><NN>
by hand,by in_pos hand nn,1,<IN><NN>
by maint,by in_pos maint nn,1,<IN><NN>
by maurice,by in_pos maurice nn,1,<IN><NN>
by motor,by in_pos motor nn,1,<IN><NN>
by mrgopal anf,by in_pos mrgopal jj anf nn,1,<IN><JJ><NN>
by noticeable vibration,by in_pos noticeable jj vibration nn,1,<IN><JJ><NN>
by nov refer,by in_pos nov nns refer vbp,1,<IN><NNS><VBP>
by other shift,by in_pos other jj shift nn,1,<IN><JJ><NN>
by paint,by in_pos paint nn,1,<IN><NN>
by personel,by in_pos personel nns,1,<IN><NNS>
by ratheesh,by in_pos ratheesh nn,1,<IN><NN>
by rd,by in_pos rd nn,1,<IN><NN>
by shimmer,by in_pos shimmer nn,1,<IN><NN>
by tfs,by in_pos tfs nn,1,<IN><NN>
by third party,by in_pos third jj party nn,1,<IN><JJ><NN>
by transocean policy,by in_pos transocean jj policy nn,1,<IN><JJ><NN>
by traume,by in_pos traume nn,1,<IN><NN>
by vendor,by in_pos vendor nn,1,<IN><NN>
by vijay,by in_pos vijay nn,1,<IN><NN>
by visual checksmoreover,by in_pos visual jj checksmoreover nn,1,<IN><JJ><NN>
c,c nns,1,<NNS>
c cooling,c nns cooling vbg,1,<NNS><VBG>
cabinet,cabinet nn,1,<NN>
cabinets,cabinets nns,1,<NNS>
cabint,cabint nn,1,<NN>
cable,cable nn,1,<NN>
cableing,cableing vbg,1,<VBG>
cables,cables nns,1,<NNS>
cabling,cabling vbg,1,<VBG>
cad,cad nn,1,<NN>
calibrated,calibrated vbn,1,<VBN>
calibration,calibration nn,1,<NN>
calibrations,calibrations nns,1,<NNS>
call,call nn,1,<NN>
called,called vbn,1,<VBN>
came,came vbd,1,<VBD>
camera,camera nn,1,<NN>
can be checked,can md be vb checked vbn,1,<MD><VB><VBN>
can be cloased,can md be vb cloased vbn,1,<MD><VB><VBN>
can be closed,can md be vb closed vbn,1,<MD><VB><VBN>
can be controlled,can md be vb controlled vbn,1,<MD><VB><VBN>
can be done,can md be vb done vbn,1,<MD><VB><VBN>
can be expected,can md be vb expected vbn,1,<MD><VB><VBN>
can be found,can md be vb found vbn,1,<MD><VB><VBN>
can be noticed,can md be vb noticed vbn,1,<MD><VB><VBN>
can be put,can md be vb put vbn,1,<MD><VB><VBN>
can be seen,can md be vb seen vbn,1,<MD><VB><VBN>
can be stopped,can md be vb stopped vbn,1,<MD><VB><VBN>
can be used,can md be vb used vbn,1,<MD><VB><VBN>
cancelled,cancelled vbn,1,<VBN>
cant,cant nn,1,<NN>
cap,cap nn,1,<NN>
capability,capability nn,1,<NN>
cards,cards nns,1,<NNS>
care,care nn,1,<NN>
carlos,carlos nn,1,<NN>
carried,carried vbn,1,<VBN>
casing,casing vbg,1,<VBG>
cassette,cassette nn,1,<NN>
catalogue,catalogue nn,1,<NN>
cause,cause nn,1,<NN>
caused,caused vbn,1,<VBN>
cecked,cecked nns,1,<NNS>
celcius,celcius nn,1,<NN>
celsius,celsius nn,1,<NN>
censors,censors nns,1,<NNS>
center,center nn,1,<NN>
centres,centres nns,1,<NNS>
certification,certification nn,1,<NN>
certified,certified vbn,1,<VBN>
ch,ch nn,1,<NN>
chain,chain nn,1,<NN>
chair,chair nn,1,<NN>
challenging,challenging vbg,1,<VBG>
change,change nn,1,<NN>
changed,changed vbn,1,<VBN>
changing,changing vbg,1,<VBG>
characteristics,characteristics nns,1,<NNS>
charged,charged vbn,1,<VBN>
charger,charger nn,1,<NN>
charges,charges nns,1,<NNS>
charging,charging vbg,1,<VBG>
charles,charles nns,1,<NNS>
chart attached,chart nn attached vbd,1,<NN><VBD>
charts,charts nns,1,<NNS>
chattering,chattering vbg,1,<VBG>
check,check nn,1,<NN>
checked,checked nns,1,<NNS>
checking,checking vbg,1,<VBG>
checks,checks nns,1,<NNS>
chief,chief nn,1,<NN>
circuit,circuit nn,1,<NN>
circulating,circulating vbg,1,<VBG>
clean,clean nn,1,<NN>
cleaned,cleaned vbn,1,<VBN>
cleaner,cleaner nn,1,<NN>
cleaning,cleaning nn,1,<NN>
cleanliness,cleanliness nn,1,<NN>
cleanning,cleanning vbg,1,<VBG>
clear,clear jj,1,<JJ>
clockwise,clockwise nn,1,<NN>
close,close rb,1,<RB>
close visual,close rb visual jj,1,<RB><JJ>
closed,closed vbd,1,<VBD>
closer,closer nn,1,<NN>
closing,closing nn,1,<NN>
cmd,cmd nn,1,<NN>
cmkgkkd,cmkgkkd nn,1,<NN>
cmtut,cmtut nn,1,<NN>
cmtutbl,cmtutbl nn,1,<NN>
coating,coating vbg,1,<VBG>
code,code nn,1,<NN>
coded,coded vbn,1,<VBN>
codition,codition nn,1,<NN>
collected,collected vbn,1,<VBN>
colling,colling vbg,1,<VBG>
come,come vb,1,<VB>
comes out,comes vbz out rp,1,<VBZ><RP>
coming,coming vbg,1,<VBG>
comming,comming vbg,1,<VBG>
commissioning,commissioning vbg,1,<VBG>
common,common jj,1,<JJ>
communication,communication nn,1,<NN>
company,company nn,1,<NN>
compare,compare nn,1,<NN>
compared,compared vbn,1,<VBN>
comperable,comperable jj,1,<JJ>
complete,complete jj,1,<JJ>
complete torched,complete jj torched vbd,1,<JJ><VBD>
completed,completed vbn,1,<VBN>
completedplan,completedplan nn,1,<NN>
completely dead,completely rb dead jj,1,<RB><JJ>
completion,completion nn,1,<NN>
completions,completions nns,1,<NNS>
complettion,complettion nn,1,<NN>
complite,complite nn,1,<NN>
components,components nns,1,<NNS>
compressed,compressed vbn,1,<VBN>
compromised,compromised vbn,1,<VBN>
comressed,comressed vbn,1,<VBN>
conations,conations nns,1,<NNS>
concern,concern nn,1,<NN>
concerns,concerns nns,1,<NNS>
condensation,condensation nn,1,<NN>
condiditons,condiditons nns,1,<NNS>
condition,condition nn,1,<NN>
conditions,conditions nns,1,<NNS>
conditionsok,conditionsok nn,1,<NN>
conditon,conditon nn,1,<NN>
conditons,conditons nns,1,<NNS>
condtion,condtion nn,1,<NN>
conducted,conducted vbn,1,<VBN>
conductor,conductor nn,1,<NN>
conductors,conductors nns,1,<NNS>
cone,cone nn,1,<NN>
configuration,configuration nn,1,<NN>
confimed,confimed vbn,1,<VBN>
confirm,confirm nn,1,<NN>
confirmed,confirmed vbn,1,<VBN>
confusion,confusion nn,1,<NN>
conirmed,conirmed vbn,1,<VBN>
connected,connected vbn,1,<VBN>
connectedfunction,connectedfunction nn,1,<NN>
connection,connection nn,1,<NN>
connections,connections nns,1,<NNS>
consistant,consistant nn,1,<NN>
consistent,consistent nn,1,<NN>
console confirmed,console nn confirmed vbd,1,<NN><VBD>
consumables,consumables nns,1,<NNS>
contacting,contacting vbg,1,<VBG>
contactor,contactor nn,1,<NN>
contactors,contactors nns,1,<NNS>
contacts,contacts nns,1,<NNS>
contains reduced,contains nns reduced vbd,1,<NNS><VBD>
continue,continue nn,1,<NN>
continued,continued jj,1,<JJ>
continuing,continuing vbg,1,<VBG>
continuity,continuity nn,1,<NN>
control,control nn,1,<NN>
controller,controller nn,1,<NN>
controllers,controllers nns,1,<NNS>
controls,controls nns,1,<NNS>
convenience,convenience nn,1,<NN>
converter,converter nn,1,<NN>
cooled,cooled vbn,1,<VBN>
cooling,cooling vbg,1,<VBG>
corossion,corossion nn,1,<NN>
correct,correct nn,1,<NN>
correctd,correctd nn,1,<NN>
corrective,corrective nn,1,<NN>
correctly amp,correctly rb amp nn,1,<RB><NN>
correctly amps,correctly rb amps nns,1,<RB><NNS>
correctly checked,correctly rb checked vbn,1,<RB><VBN>
correctly closed,correctly rb closed vbd,1,<RB><VBD>
correctly if drilling,correctly rb if in_pos drilling nn,1,<RB><IN><NN>
correctly mpa,correctly rb mpa nn,1,<RB><NN>
correctly removed,correctly rb removed vbn,1,<RB><VBN>
correctly torque,correctly rb torque nn,1,<RB><NN>
correctly visualized,correctly rb visualized vbn,1,<RB><VBN>
correctlyis,correctlyis nn,1,<NN>
correctlyok,correctlyok nn,1,<NN>
correctlypulling,correctlypulling vbg,1,<VBG>
correspondence,correspondence nn,1,<NN>
corroded,corroded vbn,1,<VBN>
corrosion,corrosion nn,1,<NN>
corrosions,corrosions nns,1,<NNS>
corrsion,corrsion nn,1,<NN>
cost,cost nn,1,<NN>
costing,costing vbg,1,<VBG>
could be removed,could md be vb removed vbn,1,<MD><VB><VBN>
could have attributed,could md have vb attributed vbn,1,<MD><VB><VBN>
could have been,could md have vb been vbn,1,<MD><VB><VBN>
could have caused,could md have vb caused vbn,1,<MD><VB><VBN>
couldnt,couldnt nn,1,<NN>
counted,counted vbn,1,<VBN>
counter,counter nn,1,<NN>
counters,counters nns,1,<NNS>
couple,couple nn,1,<NN>
coupling,coupling vbg,1,<VBG>
cover,cover nn,1,<NN>
covered,covered vbn,1,<VBN>
covers,covers nns,1,<NNS>
covers confirmed,covers nns confirmed vbd,1,<NNS><VBD>
covers earth,covers nns earth vbp,1,<NNS><VBP>
covers installed,covers nns installed vbd,1,<NNS><VBD>
covers made,covers nns made vbd,1,<NNS><VBD>
covers ok,covers nns ok vbp,1,<NNS><VBP>
covers on drive,covers nns on in_pos drive nn,1,<NNS><IN><NN>
covers removed,covers nns removed vbd,1,<NNS><VBD>
covers repaired,covers nns repaired vbd,1,<NNS><VBD>
covers visualized,covers nns visualized vbd,1,<NNS><VBD>
covers while i,covers nns while in_pos i nn,1,<NNS><IN><NN>
cowl,cowl nn,1,<NN>
crack,crack nn,1,<NN>
cracked,cracked vbn,1,<VBN>
cracks,cracks nns,1,<NNS>
craig,craig nn,1,<NN>
crane,crane nn,1,<NN>
created,created vbn,1,<VBN>
crescent,crescent nn,1,<NN>
crew,crew nn,1,<NN>
crews,crews nns,1,<NNS>
critical,critical jj,1,<JJ>
cubical,cubical jj,1,<JJ>
cubicle,cubicle nn,1,<NN>
current,current jj,1,<JJ>
currently available,currently rb available jj,1,<RB><JJ>
currently in lt isolation,currently rb in in_pos lt jj isolation nn,1,<RB><IN><JJ><NN>
currently on warm stack,currently rb on in_pos warm jj stack nn,1,<RB><IN><JJ><NN>
currents,currents nns,1,<NNS>
currnt,currnt nn,1,<NN>
customer,customer nn,1,<NN>
cut,cut nn,1,<NN>
cuts,cuts nns,1,<NNS>
cycle,cycle nn,1,<NN>
cyprina,cyprina nn,1,<NN>
c°,c° nn,1,<NN>
d,d nn,1,<NN>
damage,damage nn,1,<NN>
damagechecks,damagechecks nns,1,<NNS>
damaged,damaged vbn,1,<VBN>
damagefound,damagefound nn,1,<NN>
damages,damages nns,1,<NNS>
dampeners,dampeners nns,1,<NNS>
damper,damper nn,1,<NN>
damperner,damperner nn,1,<NN>
dampers,dampers nns,1,<NNS>
dampner,dampner nn,1,<NN>
dampners,dampners nns,1,<NNS>
data,data nns,1,<NNS>
date,date nn,1,<NN>
dates,dates nns,1,<NNS>
david,david nn,1,<NN>
day,day nn,1,<NN>
days,days nns,1,<NNS>
dc,dc nn,1,<NN>
dci,dci nn,1,<NN>
de,de nns,1,<NNS>
de assigned,de nns assigned vbd,1,<NNS><VBD>
de c,de in_pos c nns,1,<IN><NNS>
de isolated,de rb isolated vbn,1,<RB><VBN>
de of motor,de in_pos of in_pos motor nn,1,<IN><IN><NN>
de vibration,de in_pos vibration nn,1,<IN><NN>
dear,dear nn,1,<NN>
debris,debris nn,1,<NN>
debris found,debris nn found vbd,1,<NN><VBD>
debrisok,debrisok nn,1,<NN>
december,december nn,1,<NN>
decided,decided vbd,1,<VBD>
deck,deck nn,1,<NN>
dedicated,dedicated vbn,1,<VBN>
deemed,deemed vbn,1,<VBN>
deepwater,deepwater nn,1,<NN>
deformities,deformities nns,1,<NNS>
deg,deg nn,1,<NN>
degraded,degraded vbn,1,<VBN>
degrading,degrading vbg,1,<VBG>
degree,degree nn,1,<NN>
degrees,degrees nns,1,<NNS>
degreesthe,degreesthe nn,1,<NN>
degreesthis,degreesthis nn,1,<NN>
deisolate,deisolate nn,1,<NN>
deisolated,deisolated vbn,1,<VBN>
demister,demister nn,1,<NN>
department,department nn,1,<NN>
dept,dept nn,1,<NN>
derric,derric nn,1,<NN>
desc,desc nn,1,<NN>
desiccant,desiccant nn,1,<NN>
designed,designed vbn,1,<VBN>
dessembiled,dessembiled vbn,1,<VBN>
details,details nns,1,<NNS>
detected,detected vbn,1,<VBN>
deteriorating,deteriorating vbg,1,<VBG>
deterioration,deterioration nn,1,<NN>
device,device nn,1,<NN>
devices,devices nns,1,<NNS>
did,did vbd,1,<VBD>
didnt,didnt nn,1,<NN>
diederik,diederik nn,1,<NN>
diff,diff nn,1,<NN>
differences,differences nns,1,<NNS>
different,different jj,1,<JJ>
digital,digital nn,1,<NN>
directed,directed vbn,1,<VBN>
direction,direction nn,1,<NN>
dirt,dirt nn,1,<NN>
dirt debris,dirt nn debris nn,1,<NN><NN>
dirts,dirts nns,1,<NNS>
disappeared,disappeared vbd,1,<VBD>
disassemble,disassemble jj,1,<JJ>
disassembled,disassembled vbn,1,<VBN>
discharge,discharge nn,1,<NN>
discoloration,discoloration nn,1,<NN>
disconection,disconection nn,1,<NN>
disconnect,disconnect nn,1,<NN>
disconnected,disconnected vbn,1,<VBN>
disconnecting,disconnecting vbg,1,<VBG>
disconnection,disconnection nn,1,<NN>
discrepancies,discrepancies nns,1,<NNS>
discrepency,discrepency nn,1,<NN>
discussed,discussed vbn,1,<VBN>
disjointed,disjointed vbn,1,<VBN>
dismanteling,dismanteling vbg,1,<VBG>
dismantled,dismantled vbn,1,<VBN>
dismantling,dismantling vbg,1,<VBG>
displacements,displacements nns,1,<NNS>
dissassembly,dissassembly rb,1,<RB>
do feed,do vbp feed vb,1,<VBP><VB>
dobe,dobe nn,1,<NN>
doc,doc nn,1,<NN>
document,document nn,1,<NN>
documentation,documentation nn,1,<NN>
documented,documented vbn,1,<VBN>
documents,documents nns,1,<NNS>
doesnt,doesnt nn,1,<NN>
dol,dol nn,1,<NN>
done,done vbn,1,<VBN>
dont,dont nn,1,<NN>
dont found,dont nn found vbd,1,<NN><VBD>
dont,dont nn,1,<NN>
dont found,dont nn found vbd,1,<NN><VBD>
door,door nn,1,<NN>
double,double rb,1,<RB>
down next,down rb next jj,1,<RB><JJ>
downloaded,downloaded vbn,1,<VBN>
drain,drain nn,1,<NN>
draw,draw nn,1,<NN>
drawer,drawer nn,1,<NN>
drawing,drawing vbg,1,<VBG>
drawings,drawings nns,1,<NNS>
drawworks,drawworks nns,1,<NNS>
dressed,dressed vbn,1,<VBN>
drill,drill nn,1,<NN>
drilled,drilled vbn,1,<VBN>
driller,driller nn,1,<NN>
drillers,drillers nns,1,<NNS>
drilling,drilling nn,1,<NN>
drive,drive nn,1,<NN>
drivers,drivers nns,1,<NNS>
drives,drives nns,1,<NNS>
dry,dry nn,1,<NN>
dryer,dryer nn,1,<NN>
drying,drying vbg,1,<VBG>
dubris,dubris nn,1,<NN>
duckting,duckting vbg,1,<VBG>
duct,duct nn,1,<NN>
ducting,ducting vbg,1,<VBG>
ductings,ductings nns,1,<NNS>
duction,duction nn,1,<NN>
ducts,ducts nns,1,<NNS>
ductwork,ductwork nn,1,<NN>
due,due jj,1,<JJ>
durinf,durinf nn,1,<NN>
during annual survey,during in_pos annual jj survey nn,1,<IN><JJ><NN>
during eow maint,during in_pos eow jj maint nn,1,<IN><JJ><NN>
during inspection,during in_pos inspection nn,1,<IN><NN>
during intrusive inspection,during in_pos intrusive jj inspection nn,1,<IN><JJ><NN>
during mcc,during in_pos mcc nn,1,<IN><NN>
during normal inspection,during in_pos normal jj inspection nn,1,<IN><JJ><NN>
